# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 1.9399945226 
2.45 2.9748018914 
2.55 4.8514226028 
2.65 1.6951805747 
2.75 0.4722448838 
2.85 0.0732816059 
2.95 0.0 
3.05 0.1279736822 
3.15 0.0 
3.25 0.0 
3.35 0.4243237863 
3.45 2.1004383895 
3.55 2.4561063805 
3.65 2.8595410326 
3.75 2.8783917045 
3.85 1.5662027588 
3.95 0.1144545654 
4.05 0.0 
4.15 0.2419413421 
4.25 0.4284249043 
4.35 1.5414437914 
4.45 1.7735480794 
4.55 1.4089158596 
4.65 0.3578903278 
4.75 0.1319155514 
4.85 0.0506128025 
4.95 0.5587685065 
5.05 0.4668338088 
5.15 0.6733213782 
5.25 0.4967356744 
5.35 0.3743531995 
5.45 0.2004121575 
5.55 0.8309980265 
5.65 2.1631120113 
5.75 2.9707531138 
5.85 2.4004133388 
5.95 0.723025399 
6.05 0.4065824459 
6.15 1.3220526111 
6.25 2.6668463923 
6.35 2.5096996366 
6.45 1.0731548366 
6.55 0.4856308425 
6.65 0.2019152109 
6.75 0.1306513085 
6.85 0.0253729166 
6.95 0.0369720392 
7.05 0.1556994538 
7.15 0.5007010995 
7.25 1.3477002697 
7.35 0.8925506977 
7.45 0.5791671835 
7.55 1.0338658606 
7.65 1.6783562189 
7.75 1.8930112241 
7.85 1.4683434619 
7.95 0.8288423645 
8.05 1.3228006477 
8.15 1.8730737277 
8.25 1.180727848 
8.35 0.8794037948 
8.45 0.9921052029 
8.55 1.335475485 
8.65 0.8751548131 
8.75 0.4742837601 
8.85 0.4104231507 
8.95 0.5053445384 
9.05 0.4724338766 
9.15 0.8532258162 
9.25 1.2871029493 
9.35 1.0554400961 
9.45 1.3465204456 
9.55 1.7427287759 
9.65 2.1542725127 
9.75 1.5467252206 
9.85 0.6380965558 
9.95 0.1683594377 
