# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
6050000 2.07225e-28
6051000 0.898089
6052000 1.12644
6053000 1.31241
6054000 1.44671
6055000 1.5924
6056000 1.73263
6057000 1.8459
6058000 1.96282
6059000 2.06243
6060000 2.16273
6061000 2.32574
6062000 2.39236
6063000 2.48384
6064000 2.5833
6065000 2.69109
6066000 2.79065
6067000 2.90183
6068000 3.00376
6069000 3.10648
6070000 3.21709
6071000 3.34113
6072000 3.4792
6073000 3.59018
6074000 3.71694
6075000 3.84275
6076000 3.92779
6077000 4.04106
6078000 4.17494
6079000 4.3386
6080000 4.44195
6081000 4.49248
6082000 4.64754
6083000 4.77053
6084000 4.88753
6085000 4.95869
6086000 5.02518
6087000 5.10159
6088000 5.14943
6089000 5.28993
6090000 5.40149
6091000 5.46963
6092000 5.55241
6093000 5.66341
6094000 5.71442
6095000 5.83134
6096000 5.91041
6097000 6.06659
6098000 6.09394
6099000 6.22553
6100000 6.31682
6101000 6.42693
6102000 6.51456
6103000 6.54858
6104000 6.65229
6105000 6.77237
6106000 6.81336
6107000 6.98352
6108000 7.05604
6109000 7.17689
6110000 7.2663
6111000 7.3585
6112000 7.44505
6113000 7.54439
6114000 7.6306
6115000 7.7263
6116000 7.81332
6117000 7.97895
6118000 8.07008
6119000 8.14244
6120000 8.24103
6121000 8.39785
6122000 8.43481
6123000 8.59419
6124000 8.61264
6125000 8.71077
6126000 8.83553
6127000 8.94454
6128000 9.02486
6129000 9.12209
6130000 9.26627
6131000 9.38723
6132000 9.48267
6133000 9.63015
6134000 9.71762
6135000 9.82858
6136000 9.89815
6137000 10.0363
6138000 10.1025
6139000 10.2515
6140000 10.2941
6141000 10.4301
6142000 10.5207
6143000 10.6008
6144000 10.7008
6145000 10.8498
6146000 10.8551
6147000 11.0054
6148000 10.9555
6149000 11.14
6150000 11.3851
6151000 11.3403
6152000 11.4375
6153000 11.5691
6154000 11.6372
6155000 11.6975
6156000 11.7609
6157000 11.9118
6158000 11.9986
6159000 12.1154
6160000 12.204
6161000 12.2477
6162000 12.3233
6163000 12.5396
6164000 12.547
6165000 12.6903
6166000 12.7353
6167000 12.9315
6168000 12.9699
6169000 13.1031
6170000 13.2022
6171000 13.2972
6172000 13.4269
6173000 13.5483
6174000 13.5932
6175000 13.7132
6176000 13.8576
6177000 13.9772
6178000 14.0645
6179000 14.1542
6180000 14.2771
6181000 14.38
6182000 14.5184
6183000 14.6055
6184000 14.7556
6185000 14.7871
6186000 14.8794
6187000 14.9969
6188000 15.089
6189000 15.2377
6190000 15.3028
6191000 15.3756
6192000 15.3902
6193000 15.5066
6194000 15.6606
6195000 15.7331
6196000 15.8508
6197000 15.9239
6198000 16.0221
6199000 16.1399
6200000 16.2452
6201000 16.2849
6202000 16.5118
6203000 16.6052
6204000 16.6762
6205000 16.872
6206000 16.9276
6207000 17.0169
6208000 17.1634
6209000 17.2166
6210000 17.3409
6211000 17.5347
6212000 17.5825
6213000 17.6541
6214000 17.8454
6215000 17.9852
6216000 18.0046
6217000 18.2493
6218000 18.2053
6219000 18.3484
6220000 18.4699
6221000 18.5137
6222000 18.681
6223000 18.669
6224000 18.7808
6225000 18.8874
6226000 18.996
6227000 19.128
6228000 19.2151
6229000 19.2697
6230000 19.3873
6231000 19.5685
6232000 19.7054
6233000 19.8314
6234000 19.9928
6235000 20.0568
6236000 20.2252
6237000 20.3189
6238000 20.4547
6239000 20.5376
6240000 20.5232
6241000 20.7802
6242000 20.8473
6243000 20.9066
6244000 20.9967
6245000 21.1985
6246000 21.2134
6247000 21.2524
6248000 21.3349
6249000 21.511
6250000 21.6407
6251000 21.6883
6252000 21.8243
6253000 21.8982
6254000 21.9826
6255000 22.096
6256000 22.2287
6257000 22.2795
6258000 22.4185
6259000 22.4636
6260000 22.4648
6261000 22.6217
6262000 22.7858
6263000 22.8364
6264000 23.0181
6265000 23.0598
6266000 23.1739
6267000 23.2441
6268000 23.3243
6269000 23.5589
6270000 23.5676
6271000 23.6285
6272000 23.7638
6273000 23.8906
6274000 24.0305
6275000 24.0892
6276000 24.1411
6277000 24.2518
6278000 24.3751
6279000 24.5533
6280000 24.6756
6281000 24.8538
6282000 24.9634
6283000 25.0416
6284000 25.0758
6285000 25.2988
6286000 25.312
6287000 25.4291
6288000 25.5901
6289000 25.7871
6290000 25.9749
6291000 26.0352
6292000 25.9715
6293000 26.1834
6294000 26.3442
6295000 26.4522
6296000 26.6036
6297000 26.6478
6298000 26.7448
6299000 26.8489
6300000 26.91
6301000 27.0581
6302000 27.1866
6303000 27.2801
6304000 27.3075
6305000 27.3587
6306000 27.5321
6307000 27.5242
6308000 27.8213
6309000 27.8581
6310000 27.9857
6311000 28.0488
6312000 28.1332
6313000 28.341
6314000 28.4365
6315000 28.5764
6316000 28.6626
6317000 28.6257
6318000 28.7302
6319000 28.9192
6320000 29.0125
6321000 29.1613
6322000 29.2981
6323000 29.334
6324000 29.433
6325000 29.4709
6326000 29.7355
6327000 29.7279
6328000 29.8614
6329000 30.0105
6330000 30.0409
6331000 30.1852
6332000 30.4729
6333000 30.5309
6334000 30.5723
6335000 30.7449
6336000 30.8785
6337000 30.9702
6338000 31.1031
6339000 31.1255
6340000 31.151
6341000 31.2455
6342000 31.3827
6343000 31.3701
6344000 31.5823
6345000 31.6202
6346000 31.7088
6347000 31.7781
6348000 31.8902
6349000 32.0528
6350000 32.0065
6351000 32.1018
6352000 32.2543
6353000 32.3962
6354000 32.5627
6355000 32.562
6356000 32.7668
6357000 32.7813
6358000 32.9749
6359000 32.9723
6360000 33.0443
6361000 33.1387
6362000 33.2625
6363000 33.264
6364000 33.384
6365000 33.4008
6366000 33.6132
6367000 33.747
6368000 33.8814
6369000 33.9897
6370000 34.1294
6371000 34.177
6372000 34.2393
6373000 34.3132
6374000 34.4952
6375000 34.5497
6376000 34.6456
6377000 34.809
6378000 34.9273
6379000 35.0651
6380000 35.1683
6381000 35.2397
6382000 35.3983
6383000 35.3498
6384000 35.554
6385000 35.6687
6386000 35.7492
6387000 35.7683
6388000 35.8455
6389000 35.9884
6390000 36.127
6391000 36.2069
6392000 36.2141
6393000 36.3746
6394000 36.4533
6395000 36.5811
6396000 36.7391
6397000 36.7924
6398000 36.9237
6399000 37.0892
6400000 37.1178
6401000 37.3111
6402000 37.4728
6403000 37.5859
6404000 37.7782
6405000 37.8697
6406000 37.8991
6407000 37.93
6408000 38.055
6409000 38.1166
6410000 38.2213
6411000 38.367
6412000 38.3943
6413000 38.55
6414000 38.7216
6415000 38.7926
6416000 38.8268
6417000 39.0175
6418000 38.9745
6419000 39.1696
6420000 39.26
6421000 39.3916
6422000 39.4621
6423000 39.4749
6424000 39.6382
6425000 39.7566
6426000 39.8725
6427000 40.0758
6428000 40.1391
6429000 40.2996
6430000 40.3109
6431000 40.5828
6432000 40.7118
6433000 40.8147
6434000 40.9283
6435000 41.1566
6436000 41.0931
6437000 41.2799
6438000 41.4346
6439000 41.4794
6440000 41.5538
6441000 41.6751
6442000 41.7832
6443000 41.9021
6444000 42.0385
6445000 42.1634
6446000 42.2274
6447000 42.4575
6448000 42.5855
6449000 42.625
6450000 42.7136
6451000 42.9462
6452000 42.9461
6453000 43.113
6454000 43.1385
6455000 43.2672
6456000 43.2017
6457000 43.309
6458000 43.377
6459000 43.397
6460000 43.4584
6461000 43.5825
6462000 43.8281
6463000 44.0013
6464000 44.201
6465000 44.2368
6466000 44.4408
6467000 44.5294
6468000 44.5413
6469000 44.7171
6470000 44.8222
6471000 44.9003
6472000 45.0493
6473000 45.214
6474000 45.3744
6475000 45.5051
6476000 45.5229
6477000 45.6132
6478000 45.6511
6479000 45.9788
6480000 45.9311
6481000 46.0268
6482000 46.1779
6483000 46.3112
6484000 46.4666
6485000 46.5013
6486000 46.4872
6487000 46.73
6488000 46.8783
6489000 46.9971
6490000 47.0147
6491000 47.1831
6492000 47.2186
6493000 47.2581
6494000 47.47
6495000 47.5282
6496000 47.4826
6497000 47.6169
6498000 47.6192
6499000 47.8673
6500000 48.0324
6501000 48.177
6502000 48.174
6503000 48.3137
6504000 48.3746
6505000 48.5733
6506000 48.4954
6507000 48.6421
6508000 48.7577
6509000 48.8826
6510000 49.0553
6511000 49.1727
6512000 49.2733
6513000 49.2823
6514000 49.3896
6515000 49.5055
6516000 49.6319
6517000 49.6827
6518000 49.7733
6519000 49.9311
6520000 50.0978
6521000 50.1091
6522000 50.1436
6523000 50.233
6524000 50.4139
6525000 50.2738
6526000 50.4116
6527000 50.4887
6528000 50.5644
6529000 50.73
6530000 50.7911
6531000 50.8689
6532000 51.0042
6533000 51.0073
6534000 51.2491
6535000 51.2964
6536000 51.364
6537000 51.4568
6538000 51.4974
6539000 51.5056
6540000 51.582
6541000 51.7398
6542000 51.9854
6543000 52.1682
6544000 52.2882
6545000 52.398
6546000 52.4433
6547000 52.6158
6548000 52.7206
6549000 52.7065
6550000 52.9769
6551000 53.1377
6552000 53.1908
6553000 53.271
6554000 53.5034
6555000 53.4917
6556000 53.4967
6557000 53.7392
6558000 53.7167
6559000 53.9272
6560000 54.0241
6561000 54.1654
6562000 54.186
6563000 54.2475
6564000 54.3832
6565000 54.4153
6566000 54.5796
6567000 54.5715
6568000 54.6212
6569000 54.8618
6570000 54.8616
6571000 55.0116
6572000 54.9464
6573000 55.0887
6574000 55.0676
6575000 55.3012
6576000 55.4937
6577000 55.427
6578000 55.5529
6579000 55.7024
6580000 55.9445
6581000 56.0671
6582000 56.1788
6583000 56.1659
6584000 56.2827
6585000 56.3874
6586000 56.478
6587000 56.5798
6588000 56.6749
6589000 56.8258
6590000 56.8537
6591000 56.9042
6592000 57.0352
6593000 57.1563
6594000 57.1858
6595000 57.3867
6596000 57.3495
6597000 57.5608
6598000 57.7637
6599000 57.7603
6600000 57.9126
6601000 57.8879
6602000 58.0027
6603000 58.1213
6604000 58.3047
6605000 58.3609
6606000 58.5633
6607000 58.452
6608000 58.6326
6609000 58.6873
6610000 58.7122
6611000 58.824
6612000 58.9396
6613000 59.1759
6614000 59.2176
6615000 59.2658
6616000 59.3042
6617000 59.5205
6618000 59.5317
6619000 59.698
6620000 59.9799
6621000 59.8036
6622000 59.8225
6623000 60.0232
6624000 60.1006
6625000 60.298
6626000 60.3398
6627000 60.4448
6628000 60.6117
6629000 60.5104
6630000 60.7715
6631000 60.7797
6632000 60.9826
6633000 61.0775
6634000 61.1793
6635000 61.3436
6636000 61.4239
6637000 61.5424
6638000 61.6648
6639000 61.8059
6640000 61.854
6641000 62.0058
6642000 62.1048
6643000 62.095
6644000 62.3404
6645000 62.3696
6646000 62.5066
6647000 62.5094
6648000 62.6663
6649000 62.7129
6650000 62.9553
6651000 63.0531
6652000 63.1524
6653000 63.0692
6654000 63.2018
6655000 63.3115
6656000 63.3989
6657000 63.3213
6658000 63.5057
6659000 63.6181
6660000 63.6818
6661000 63.8066
6662000 63.6498
6663000 63.9296
6664000 64.0131
6665000 64.1154
6666000 64.1929
6667000 64.3033
6668000 64.4784
6669000 64.5124
6670000 64.5665
6671000 64.7593
6672000 64.7437
6673000 65.0409
6674000 65.0827
6675000 65.0628
6676000 65.0796
6677000 65.2292
6678000 65.4721
6679000 65.7302
6680000 65.6801
6681000 65.7733
6682000 66.0248
6683000 66.1182
6684000 66.1477
6685000 66.0868
6686000 66.2657
6687000 66.4972
6688000 66.5409
6689000 66.7287
6690000 66.86
6691000 66.9388
6692000 66.9931
6693000 67.0788
6694000 67.0578
6695000 67.2381
6696000 67.4375
6697000 67.5406
6698000 67.6141
6699000 67.688
6700000 67.7364
6701000 67.8367
6702000 67.8925
6703000 67.9296
6704000 67.9856
6705000 68.0781
6706000 68.1658
6707000 68.2695
6708000 68.2456
6709000 68.3833
6710000 68.5032
6711000 68.5522
6712000 68.8088
6713000 68.7229
6714000 68.9272
6715000 68.9983
6716000 69.2009
6717000 69.2114
6718000 69.359
6719000 69.3882
6720000 69.3675
6721000 69.4495
6722000 69.6563
6723000 69.733
6724000 69.8715
6725000 69.9448
6726000 70.0481
6727000 70.1345
6728000 70.2591
6729000 70.199
6730000 70.2757
6731000 70.4344
6732000 70.6243
6733000 70.7702
6734000 70.7268
6735000 71.0257
6736000 71.0572
6737000 71.0003
6738000 71.3698
6739000 71.2284
6740000 71.4541
6741000 71.631
6742000 71.6636
6743000 71.8727
6744000 71.9072
6745000 72.0245
6746000 72.1946
6747000 72.0486
6748000 72.2075
6749000 72.2364
6750000 72.436
6751000 72.5059
6752000 72.628
6753000 72.736
6754000 72.7632
6755000 72.9969
6756000 72.9242
6757000 73.1019
6758000 73.2404
6759000 73.3096
6760000 73.4102
6761000 73.4856
6762000 73.7418
6763000 73.7327
6764000 73.7619
6765000 73.7226
6766000 73.933
6767000 73.9126
6768000 73.9786
6769000 74.1422
6770000 74.2512
6771000 74.4829
6772000 74.4171
6773000 74.567
6774000 74.7098
6775000 74.7496
6776000 74.8882
6777000 75.0424
