# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
6050000 6.18409e-30
6051000 0.874427
6052000 1.05186
6053000 1.19065
6054000 1.32595
6055000 1.43569
6056000 1.5555
6057000 1.655
6058000 1.81314
6059000 1.98503
6060000 2.05866
6061000 2.19191
6062000 2.28541
6063000 2.34435
6064000 2.47393
6065000 2.5784
6066000 2.75174
6067000 2.86612
6068000 2.98077
6069000 3.069
6070000 3.19234
6071000 3.28047
6072000 3.40003
6073000 3.4726
6074000 3.57649
6075000 3.69715
6076000 3.77553
6077000 3.92039
6078000 4.02208
6079000 4.09288
6080000 4.17548
6081000 4.28682
6082000 4.40855
6083000 4.46211
6084000 4.56623
6085000 4.67372
6086000 4.77408
6087000 4.86801
6088000 4.99936
6089000 5.07103
6090000 5.19324
6091000 5.31474
6092000 5.40745
6093000 5.50019
6094000 5.60646
6095000 5.695
6096000 5.80451
6097000 5.89938
6098000 5.96793
6099000 6.10179
6100000 6.1545
6101000 6.18478
6102000 6.24891
6103000 6.38585
6104000 6.49017
6105000 6.56521
6106000 6.6621
6107000 6.73995
6108000 6.78176
6109000 6.91015
6110000 6.99837
6111000 7.06153
6112000 7.12267
6113000 7.24223
6114000 7.3268
6115000 7.46839
6116000 7.52284
6117000 7.60203
6118000 7.70527
6119000 7.76712
6120000 7.87044
6121000 7.88094
6122000 8.04849
6123000 8.14833
6124000 8.19641
6125000 8.33894
6126000 8.39108
6127000 8.46721
6128000 8.55469
6129000 8.62697
6130000 8.70551
6131000 8.71887
6132000 8.87097
6133000 8.99098
6134000 9.07553
6135000 9.11947
6136000 9.26088
6137000 9.36507
6138000 9.42561
6139000 9.5296
6140000 9.55509
6141000 9.68654
6142000 9.79636
6143000 9.85385
6144000 10.0302
6145000 10.1176
6146000 10.2033
6147000 10.3116
6148000 10.4051
6149000 10.5479
6150000 10.679
6151000 10.8313
6152000 10.8438
6153000 10.9419
6154000 11.0588
6155000 11.1463
6156000 11.3071
6157000 11.3189
6158000 11.4781
6159000 11.6384
6160000 11.7707
6161000 11.8468
6162000 11.9302
6163000 12.0494
6164000 12.1579
6165000 12.3259
6166000 12.312
6167000 12.3814
6168000 12.5025
6169000 12.577
6170000 12.6311
6171000 12.6939
6172000 12.8274
6173000 12.8713
6174000 13.0022
6175000 13.0633
6176000 13.1178
6177000 13.2676
6178000 13.3487
6179000 13.4963
6180000 13.5914
6181000 13.6752
6182000 13.7999
6183000 13.8508
6184000 13.9479
6185000 14.0375
6186000 14.1931
6187000 14.2956
6188000 14.3206
6189000 14.4789
6190000 14.5564
6191000 14.5743
6192000 14.6865
6193000 14.7581
6194000 14.8137
6195000 14.8016
6196000 14.9454
6197000 15.013
6198000 15.0443
6199000 15.1771
6200000 15.3096
6201000 15.4351
6202000 15.5073
6203000 15.6075
6204000 15.739
6205000 15.7573
6206000 15.8136
6207000 15.8899
6208000 16.0379
6209000 16.1672
6210000 16.2738
6211000 16.3668
6212000 16.474
6213000 16.4944
6214000 16.5769
6215000 16.7587
6216000 16.8325
6217000 16.8119
6218000 16.9961
6219000 17.0292
6220000 17.2177
6221000 17.3128
6222000 17.4522
6223000 17.4745
6224000 17.5459
6225000 17.6291
6226000 17.7804
6227000 17.8886
6228000 18.0313
6229000 18.1144
6230000 18.1494
6231000 18.2641
6232000 18.3145
6233000 18.4287
6234000 18.4333
6235000 18.6502
6236000 18.7674
6237000 18.8177
6238000 18.9337
6239000 19.0485
6240000 19.0576
6241000 19.2627
6242000 19.2325
6243000 19.3841
6244000 19.4659
6245000 19.5087
6246000 19.5593
6247000 19.6961
6248000 19.8114
6249000 19.9282
6250000 19.9716
6251000 20.0613
6252000 20.1512
6253000 20.1928
6254000 20.2268
6255000 20.3551
6256000 20.4359
6257000 20.5819
6258000 20.6827
6259000 20.8003
6260000 20.7898
6261000 20.9203
6262000 21.0621
