# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
50000 5.12297e-29
51000 0.44407
52000 0.482086
53000 0.537367
54000 0.60269
55000 0.626379
56000 0.669136
57000 0.698898
58000 0.735193
59000 0.767954
60000 0.790586
61000 0.84479
62000 0.874355
63000 0.89121
64000 0.90823
65000 0.961102
66000 0.989099
67000 1.01798
68000 1.02895
69000 1.07177
70000 1.08356
71000 1.11442
72000 1.14931
73000 1.171
74000 1.17836
75000 1.20511
76000 1.19868
77000 1.22266
78000 1.23057
79000 1.27961
80000 1.28483
81000 1.31708
82000 1.31968
83000 1.34929
84000 1.36846
85000 1.40948
86000 1.41031
87000 1.42769
88000 1.44653
89000 1.48114
90000 1.49952
91000 1.49957
92000 1.52182
93000 1.53122
94000 1.55078
95000 1.57803
96000 1.61245
97000 1.61986
98000 1.65807
99000 1.66833
100000 1.63355
101000 1.67094
102000 1.7177
103000 1.73953
104000 1.73721
105000 1.74372
106000 1.75626
107000 1.7947
108000 1.80518
109000 1.82599
110000 1.84084
111000 1.87609
112000 1.88272
113000 1.88174
114000 1.89412
115000 1.89966
116000 1.91953
117000 1.94294
118000 1.96401
119000 1.94978
120000 1.97547
121000 2.01497
122000 2.03679
123000 2.00995
124000 2.04052
125000 2.069
126000 2.07247
127000 2.0689
128000 2.0669
129000 2.08024
130000 2.0775
131000 2.11905
132000 2.12003
133000 2.1265
134000 2.14867
135000 2.14014
136000 2.15749
137000 2.1708
138000 2.18314
139000 2.20843
140000 2.20782
141000 2.20182
142000 2.25325
143000 2.27028
144000 2.27276
145000 2.29291
146000 2.27838
147000 2.29002
148000 2.32221
149000 2.33604
150000 2.35474
151000 2.33857
152000 2.36797
153000 2.3647
154000 2.38862
155000 2.41151
156000 2.42701
157000 2.45514
158000 2.44691
159000 2.45227
160000 2.46475
161000 2.51784
162000 2.52725
163000 2.49349
164000 2.51979
165000 2.54177
166000 2.54466
167000 2.54899
168000 2.57935
169000 2.55853
170000 2.59105
171000 2.61156
172000 2.63658
173000 2.61327
174000 2.64007
175000 2.65242
176000 2.66497
177000 2.65323
178000 2.68675
179000 2.67882
180000 2.69689
181000 2.71555
182000 2.72931
183000 2.74438
184000 2.75732
185000 2.77311
186000 2.76032
187000 2.78592
188000 2.80377
189000 2.81859
190000 2.80795
191000 2.79519
192000 2.82278
193000 2.85183
194000 2.83145
195000 2.83376
196000 2.83662
197000 2.8646
198000 2.9048
199000 2.96032
200000 2.94285
201000 2.92118
202000 2.94604
203000 2.95021
204000 2.94107
205000 2.93361
206000 2.93503
207000 2.9425
208000 2.97359
209000 2.99827
210000 2.97835
211000 3.00195
212000 3.00787
213000 2.99653
214000 2.99916
215000 3.05003
216000 3.05418
217000 3.08865
218000 3.06848
219000 3.05814
220000 3.05043
221000 3.08851
222000 3.07493
223000 3.10228
224000 3.09233
225000 3.08937
226000 3.10678
227000 3.11871
228000 3.12924
229000 3.14382
230000 3.13055
231000 3.1727
232000 3.18706
233000 3.18614
234000 3.20742
235000 3.2114
236000 3.24237
237000 3.23493
238000 3.26738
239000 3.23154
240000 3.28356
241000 3.27453
242000 3.2445
243000 3.26447
244000 3.30222
245000 3.32548
246000 3.32671
247000 3.29818
248000 3.30637
249000 3.3434
250000 3.33577
251000 3.37007
252000 3.32371
253000 3.35669
254000 3.42159
255000 3.41147
256000 3.39417
257000 3.42097
258000 3.40945
259000 3.40685
260000 3.42745
261000 3.43762
262000 3.46104
263000 3.47056
264000 3.48526
265000 3.48274
266000 3.5172
267000 3.52194
268000 3.51873
269000 3.50275
270000 3.49906
271000 3.533
272000 3.52763
273000 3.5506
274000 3.54243
275000 3.58027
276000 3.57254
277000 3.62462
278000 3.62534
279000 3.63046
280000 3.66421
281000 3.68427
282000 3.68367
283000 3.68195
284000 3.66407
285000 3.71207
286000 3.7233
287000 3.77091
288000 3.75057
289000 3.75761
290000 3.76493
291000 3.74461
292000 3.78206
293000 3.82457
294000 3.79834
295000 3.77413
296000 3.80643
297000 3.82706
298000 3.83041
299000 3.85388
300000 3.80693
301000 3.83892
302000 3.85473
303000 3.86052
304000 3.86843
305000 3.87897
306000 3.87695
307000 3.89589
308000 3.90895
309000 3.87449
310000 3.91123
311000 3.95095
312000 3.94074
313000 3.94885
314000 3.96935
315000 3.9993
316000 3.96089
317000 3.9917
318000 3.99749
319000 3.99566
320000 4.00937
321000 4.02132
322000 3.99377
323000 4.00759
324000 4.0157
325000 4.04949
326000 4.04407
327000 4.03917
328000 4.04651
329000 4.0427
330000 4.05618
331000 4.0742
332000 4.06964
333000 4.08788
334000 4.10056
335000 4.16279
336000 4.09614
337000 4.1081
338000 4.08219
339000 4.11975
340000 4.15248
341000 4.10461
342000 4.13934
343000 4.12041
344000 4.18674
345000 4.14343
346000 4.18257
347000 4.16943
348000 4.18344
349000 4.22178
350000 4.24599
351000 4.22283
352000 4.21476
353000 4.28476
354000 4.25686
355000 4.27843
356000 4.29295
357000 4.31589
358000 4.30641
359000 4.31531
360000 4.30789
361000 4.33476
362000 4.34856
363000 4.38936
364000 4.37016
365000 4.35079
366000 4.34165
367000 4.37613
368000 4.32848
369000 4.39559
370000 4.39163
371000 4.39641
372000 4.43007
373000 4.42208
374000 4.43832
375000 4.43488
376000 4.45266
377000 4.46252
378000 4.43846
379000 4.4672
380000 4.44847
381000 4.47895
382000 4.43243
383000 4.45912
384000 4.47217
385000 4.49108
386000 4.49593
387000 4.51196
388000 4.4797
389000 4.51264
390000 4.55658
391000 4.5804
392000 4.53612
393000 4.54766
394000 4.54774
395000 4.55113
396000 4.5463
397000 4.57626
398000 4.55893
399000 4.57527
400000 4.60937
401000 4.57942
402000 4.58893
403000 4.60535
404000 4.59799
405000 4.62619
406000 4.59808
407000 4.62064
408000 4.63757
409000 4.67714
410000 4.68348
411000 4.69974
412000 4.68011
413000 4.69912
414000 4.67517
415000 4.66913
416000 4.69998
417000 4.71428
418000 4.6981
419000 4.66773
420000 4.71372
421000 4.74174
422000 4.738
423000 4.7305
424000 4.75945
425000 4.79379
426000 4.76516
427000 4.75743
428000 4.74742
429000 4.77984
430000 4.78971
431000 4.75269
432000 4.76147
433000 4.80057
434000 4.82651
435000 4.81005
436000 4.82769
437000 4.82947
438000 4.86101
439000 4.85841
440000 4.85606
441000 4.87893
442000 4.87825
443000 4.89171
444000 4.88509
445000 4.87068
446000 4.88303
447000 4.86912
448000 4.88619
449000 4.89725
450000 4.92157
451000 4.87116
452000 4.93133
453000 4.94632
454000 4.93958
455000 4.95383
