# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 5.17342e-29
51000 0.399088
52000 0.444702
53000 0.494913
54000 0.531961
55000 0.57076
56000 0.587549
57000 0.63435
58000 0.651333
59000 0.689578
60000 0.71963
61000 0.74536
62000 0.779914
63000 0.827887
64000 0.817437
65000 0.843383
66000 0.883188
67000 0.896439
68000 0.933601
69000 0.979243
70000 0.973695
71000 0.962621
72000 1.00228
73000 1.00665
74000 1.03002
75000 1.07459
76000 1.09154
77000 1.10849
78000 1.12085
79000 1.15066
80000 1.17581
81000 1.21104
82000 1.20832
83000 1.23232
84000 1.24924
85000 1.27833
86000 1.3169
87000 1.31653
88000 1.35427
89000 1.36777
90000 1.37946
91000 1.39429
92000 1.42909
93000 1.44246
94000 1.47002
95000 1.46533
96000 1.49839
97000 1.47552
98000 1.51993
99000 1.54195
100000 1.56431
101000 1.59193
102000 1.57595
103000 1.60355
104000 1.62941
105000 1.60231
106000 1.6391
107000 1.65009
108000 1.69486
109000 1.67238
110000 1.68401
111000 1.69547
112000 1.71153
113000 1.72172
114000 1.72329
115000 1.75764
116000 1.74905
117000 1.74643
118000 1.74584
119000 1.79113
120000 1.81641
121000 1.81396
122000 1.82427
123000 1.83958
124000 1.84763
125000 1.86399
126000 1.8701
127000 1.87057
128000 1.91742
129000 1.91863
130000 1.9143
131000 1.9388
132000 1.94556
133000 1.96252
134000 1.96501
135000 1.97026
136000 1.94274
137000 1.9786
138000 1.99906
139000 2.01611
140000 2.01482
141000 2.01873
142000 2.04694
143000 2.0537
144000 2.06131
145000 2.05148
146000 2.07723
147000 2.08044
148000 2.07994
149000 2.09275
150000 2.09703
151000 2.11801
152000 2.09394
153000 2.11044
154000 2.14019
155000 2.12384
156000 2.11661
157000 2.14199
158000 2.14449
159000 2.1612
160000 2.16984
161000 2.15914
162000 2.16413
163000 2.17506
164000 2.19825
165000 2.18173
166000 2.20037
167000 2.2393
168000 2.22614
169000 2.25263
170000 2.25402
171000 2.23907
172000 2.25309
173000 2.30508
174000 2.32615
175000 2.29767
176000 2.34621
177000 2.36756
178000 2.3519
179000 2.39792
180000 2.37646
181000 2.39821
182000 2.41242
183000 2.4225
184000 2.41134
185000 2.42773
186000 2.43254
187000 2.45653
188000 2.45696
189000 2.42267
190000 2.44683
191000 2.4338
192000 2.47853
193000 2.47527
194000 2.45844
195000 2.47549
196000 2.48798
197000 2.50801
198000 2.51333
199000 2.49308
200000 2.57181
201000 2.55422
202000 2.54572
203000 2.54553
204000 2.56357
205000 2.57334
206000 2.59836
207000 2.57963
208000 2.55672
209000 2.58166
210000 2.57477
211000 2.58278
212000 2.61057
213000 2.58
214000 2.60004
215000 2.64661
216000 2.62865
217000 2.60879
218000 2.65436
219000 2.63779
220000 2.63413
221000 2.65622
222000 2.66244
223000 2.69196
224000 2.68248
225000 2.6851
226000 2.69048
227000 2.70915
228000 2.71235
229000 2.7058
230000 2.72694
231000 2.72349
232000 2.75812
233000 2.75465
234000 2.78224
235000 2.788
236000 2.77135
237000 2.79051
238000 2.77146
239000 2.82328
240000 2.79307
241000 2.80339
242000 2.8101
243000 2.81564
244000 2.87017
245000 2.84838
246000 2.82001
247000 2.85024
248000 2.86588
249000 2.86809
250000 2.85861
251000 2.86839
252000 2.88596
253000 2.88497
254000 2.90082
255000 2.90117
256000 2.91474
257000 2.89736
258000 2.90325
259000 2.92988
260000 2.95302
261000 2.94709
262000 2.96657
263000 2.9684
264000 2.97827
265000 2.9816
266000 3.0126
267000 3.03756
268000 3.03576
269000 3.01613
270000 3.03237
271000 3.04443
272000 3.05576
273000 3.05953
274000 3.05473
275000 3.05245
276000 3.07668
277000 3.06831
278000 3.08576
279000 3.09285
280000 3.11744
281000 3.14531
282000 3.14808
283000 3.13935
284000 3.14889
285000 3.15052
286000 3.17279
287000 3.16323
288000 3.15942
289000 3.16986
290000 3.16496
291000 3.18741
292000 3.20171
293000 3.20426
294000 3.22009
295000 3.23683
296000 3.2397
297000 3.25365
298000 3.24179
299000 3.21558
300000 3.24133
301000 3.20896
302000 3.21376
303000 3.2536
304000 3.21429
305000 3.244
306000 3.24776
307000 3.28048
308000 3.261
309000 3.2514
310000 3.29249
311000 3.28943
312000 3.31006
313000 3.27302
314000 3.29798
315000 3.33468
316000 3.3329
317000 3.33049
318000 3.30615
319000 3.31364
320000 3.35114
321000 3.38536
322000 3.37474
323000 3.38076
324000 3.39608
325000 3.38287
326000 3.39843
327000 3.40464
328000 3.38601
329000 3.41271
330000 3.39167
331000 3.41888
332000 3.42266
333000 3.4467
334000 3.39494
335000 3.44587
336000 3.45045
337000 3.40826
338000 3.44496
339000 3.47132
340000 3.42986
341000 3.41965
342000 3.46196
343000 3.42753
344000 3.43641
345000 3.47035
346000 3.47984
347000 3.49141
348000 3.53226
349000 3.5173
350000 3.49108
351000 3.50526
352000 3.50212
353000 3.47246
354000 3.50971
355000 3.52198
356000 3.49203
357000 3.51224
358000 3.53406
359000 3.53541
360000 3.53789
361000 3.54102
362000 3.55711
363000 3.53347
364000 3.5297
365000 3.55404
366000 3.55977
367000 3.55488
368000 3.55626
369000 3.56876
370000 3.57814
371000 3.57599
372000 3.58476
373000 3.5836
374000 3.57299
375000 3.57799
376000 3.56282
377000 3.59349
378000 3.59906
379000 3.61029
380000 3.6017
381000 3.58552
382000 3.59507
383000 3.60975
384000 3.60132
385000 3.62038
386000 3.59839
387000 3.62804
388000 3.62762
389000 3.64591
390000 3.63624
391000 3.66976
392000 3.6487
393000 3.6598
394000 3.66827
395000 3.65641
396000 3.6732
397000 3.64864
398000 3.65219
399000 3.67213
400000 3.66739
401000 3.70046
402000 3.69272
403000 3.68951
404000 3.68557
405000 3.71535
406000 3.72267
407000 3.70043
408000 3.68065
409000 3.6759
410000 3.69731
411000 3.72362
412000 3.72473
413000 3.70212
414000 3.68161
415000 3.72141
416000 3.70597
417000 3.72386
418000 3.74655
419000 3.74393
420000 3.75399
421000 3.768
422000 3.74465
423000 3.8093
424000 3.81082
425000 3.79956
426000 3.78583
427000 3.79172
428000 3.79029
429000 3.83263
430000 3.81386
431000 3.83701
432000 3.80506
433000 3.79762
434000 3.81466
435000 3.84291
436000 3.84511
437000 3.81242
438000 3.85126
439000 3.84821
440000 3.86575
441000 3.87888
442000 3.84949
443000 3.86087
444000 3.84935
445000 3.86305
446000 3.86055
447000 3.86846
448000 3.88682
449000 3.87332
450000 3.88037
451000 3.85221
452000 3.87571
453000 3.86922
454000 3.86317
455000 3.85143
456000 3.88531
457000 3.9089
458000 3.85311
459000 3.86036
460000 3.86933
461000 3.85641
462000 3.87773
463000 3.91428
464000 3.88906
465000 3.89048
466000 3.89128
467000 3.8942
468000 3.89304
469000 3.88499
470000 3.88442
471000 3.90397
472000 3.92918
473000 3.89855
474000 3.92046
475000 3.93575
476000 3.91931
477000 3.93577
478000 3.9393
479000 3.93033
480000 3.92362
481000 3.89978
482000 3.92978
483000 3.91405
484000 3.94486
485000 3.92851
486000 3.94962
487000 3.93032
488000 3.94767
489000 3.94868
490000 3.96096
491000 3.9682
492000 4.00082
493000 3.98749
494000 3.96097
495000 4.00153
496000 3.97895
497000 3.98656
498000 3.98547
499000 4.03184
500000 4.01034
501000 3.97942
502000 4.0003
503000 4.02091
504000 3.98493
505000 3.98105
506000 3.9985
507000 3.98647
508000 3.99071
509000 4.02256
510000 3.9942
511000 3.99146
512000 3.99588
513000 4.0164
514000 3.99798
515000 4.00874
516000 3.98617
517000 4.02601
518000 4.01719
519000 4.03687
520000 4.02561
521000 4.05084
522000 4.08271
523000 4.05714
524000 4.07786
525000 4.07461
526000 4.07625
527000 4.09071
528000 4.07833
529000 4.0682
530000 4.04329
531000 4.08158
532000 4.0624
533000 4.07713
534000 4.0652
535000 4.09948
536000 4.07865
537000 4.10183
538000 4.10116
539000 4.07169
540000 4.08545
541000 4.11183
542000 4.09993
543000 4.10001
544000 4.10189
545000 4.12445
546000 4.09748
547000 4.13497
548000 4.12129
549000 4.1362
550000 4.13233
551000 4.1376
552000 4.11355
553000 4.14627
554000 4.14596
555000 4.15681
556000 4.17491
557000 4.14802
558000 4.16911
559000 4.17912
560000 4.13975
561000 4.15729
562000 4.18125
563000 4.17686
564000 4.19726
565000 4.21698
566000 4.21738
567000 4.19765
568000 4.22111
569000 4.19219
570000 4.20591
571000 4.21046
572000 4.19188
573000 4.22579
574000 4.2482
575000 4.2305
576000 4.2416
577000 4.22297
578000 4.27722
579000 4.23258
580000 4.26487
581000 4.22215
582000 4.26684
583000 4.26965
584000 4.32156
585000 4.28285
586000 4.28806
587000 4.31955
588000 4.29935
589000 4.26928
590000 4.29723
591000 4.31593
592000 4.30805
593000 4.30242
594000 4.30314
595000 4.30878
596000 4.30057
597000 4.2847
598000 4.30054
599000 4.30664
600000 4.3089
601000 4.26769
602000 4.27839
603000 4.33579
604000 4.28344
605000 4.3073
606000 4.28627
607000 4.29258
608000 4.30553
609000 4.3182
610000 4.30265
611000 4.33473
612000 4.31161
613000 4.34863
614000 4.32033
615000 4.35088
616000 4.37718
617000 4.32883
618000 4.36751
619000 4.39148
620000 4.36648
621000 4.31986
622000 4.40492
623000 4.36923
624000 4.36708
625000 4.35247
626000 4.35843
627000 4.36888
628000 4.37598
629000 4.38101
630000 4.36184
631000 4.39536
632000 4.38985
633000 4.40865
634000 4.36751
635000 4.34776
636000 4.38526
637000 4.40169
638000 4.38819
639000 4.4098
640000 4.40142
641000 4.38989
642000 4.38539
643000 4.39986
644000 4.38294
645000 4.37533
646000 4.412
647000 4.41275
648000 4.40626
649000 4.37997
650000 4.43035
651000 4.42836
652000 4.407
653000 4.40662
654000 4.43898
655000 4.42889
656000 4.41558
657000 4.46055
658000 4.4391
659000 4.46452
660000 4.48761
661000 4.46403
662000 4.46568
663000 4.46143
664000 4.4872
665000 4.46147
666000 4.47272
667000 4.48914
668000 4.47113
669000 4.47591
670000 4.44745
671000 4.46068
672000 4.45121
673000 4.48041
674000 4.4777
675000 4.46851
676000 4.46794
677000 4.45924
678000 4.47146
679000 4.44399
680000 4.47748
681000 4.49025
682000 4.45092
683000 4.482
684000 4.47799
685000 4.44855
686000 4.4607
687000 4.50188
688000 4.49494
689000 4.52275
690000 4.49978
691000 4.50246
692000 4.49382
693000 4.52617
694000 4.49628
695000 4.50611
696000 4.50856
697000 4.51811
698000 4.48341
699000 4.49732
700000 4.51491
701000 4.49633
702000 4.50504
703000 4.49724
704000 4.52432
705000 4.5048
706000 4.50608
707000 4.49318
708000 4.48568
709000 4.52431
710000 4.53218
711000 4.53071
712000 4.53023
713000 4.52774
714000 4.53514
715000 4.50515
716000 4.51909
717000 4.53584
718000 4.54139
719000 4.54563
720000 4.52755
721000 4.49815
722000 4.55291
723000 4.51542
724000 4.51947
725000 4.56234
726000 4.56879
727000 4.55016
728000 4.52443
729000 4.50663
730000 4.54734
731000 4.54874
732000 4.53736
733000 4.5778
734000 4.5356
735000 4.56065
736000 4.54259
737000 4.57879
738000 4.56365
739000 4.5915
740000 4.62892
741000 4.5546
742000 4.58864
743000 4.56022
744000 4.6084
745000 4.58518
746000 4.58697
747000 4.55876
748000 4.59828
749000 4.62184
750000 4.60002
751000 4.59677
752000 4.60463
753000 4.62776
754000 4.6124
755000 4.62148
756000 4.62888
757000 4.65593
758000 4.62866
759000 4.59428
760000 4.64269
761000 4.64151
762000 4.63655
763000 4.66368
764000 4.63688
765000 4.65637
766000 4.71071
767000 4.71421
768000 4.64967
769000 4.6744
770000 4.71641
771000 4.69957
772000 4.67172
773000 4.64608
774000 4.65443
775000 4.68856
776000 4.69509
777000 4.67927
778000 4.68413
779000 4.69948
780000 4.71129
781000 4.70334
782000 4.69633
783000 4.72044
784000 4.68889
785000 4.68439
786000 4.67859
787000 4.67616
788000 4.67232
789000 4.71878
790000 4.71323
791000 4.69969
792000 4.70444
793000 4.70134
794000 4.71061
795000 4.69556
796000 4.73972
797000 4.73972
798000 4.73105
799000 4.73759
800000 4.72008
801000 4.75986
802000 4.70723
803000 4.72501
804000 4.6933
805000 4.73491
806000 4.71307
807000 4.71794
808000 4.71678
809000 4.7687
810000 4.76115
811000 4.78323
812000 4.77598
813000 4.75179
814000 4.78556
815000 4.77254
816000 4.78067
817000 4.79156
818000 4.78283
819000 4.76736
820000 4.78445
821000 4.78077
822000 4.77955
823000 4.78429
824000 4.80854
825000 4.80384
826000 4.81576
827000 4.78411
828000 4.79811
829000 4.79345
830000 4.79773
831000 4.82003
832000 4.77321
833000 4.8295
834000 4.86401
835000 4.82425
836000 4.79709
837000 4.81135
838000 4.84114
839000 4.82605
840000 4.83388
841000 4.86085
842000 4.8543
843000 4.81935
844000 4.85351
845000 4.88586
846000 4.85073
847000 4.85575
848000 4.86507
849000 4.82202
850000 4.86841
851000 4.8546
852000 4.86672
853000 4.85305
854000 4.86474
855000 4.87303
856000 4.89149
857000 4.89501
858000 4.90687
859000 4.86859
860000 4.91294
861000 4.92909
862000 4.90591
863000 4.94299
864000 4.93498
865000 4.92818
866000 4.93049
867000 4.89526
868000 4.94585
869000 4.94025
870000 4.91714
871000 4.94346
872000 4.91774
873000 4.96432
874000 4.9387
875000 4.94542
876000 4.89788
877000 4.90388
878000 4.90389
879000 4.94594
880000 4.93852
881000 4.95359
882000 4.9694
883000 4.96679
884000 4.95686
885000 4.92533
886000 4.94661
887000 4.96541
888000 4.94277
889000 4.91759
890000 4.94759
891000 4.98156
892000 4.95119
893000 4.9415
894000 4.94495
895000 4.98574
896000 4.95605
897000 4.98124
898000 4.97323
899000 5.00075
900000 4.95654
901000 4.957
902000 4.97578
903000 4.97277
904000 4.99263
905000 4.9852
906000 4.94963
907000 4.94963
908000 4.97136
909000 4.97518
910000 4.96067
911000 4.95527
912000 4.98726
913000 4.99268
914000 4.96848
