# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
50000 2.53717e-28
51000 0.393429
52000 0.483986
53000 0.569663
54000 0.627921
55000 0.728389
56000 0.78095
57000 0.804011
58000 0.858654
59000 0.901827
60000 0.965215
61000 1.03326
62000 1.09667
63000 1.12611
64000 1.13296
65000 1.18392
66000 1.25443
67000 1.32186
68000 1.35953
69000 1.40551
70000 1.4748
71000 1.52381
72000 1.58588
73000 1.5923
74000 1.67208
75000 1.71994
76000 1.73321
77000 1.73175
78000 1.79182
79000 1.86048
80000 1.92067
81000 2.00933
82000 1.96498
83000 2.03132
84000 2.02623
85000 2.07271
86000 2.07706
87000 2.10358
88000 2.12399
89000 2.14019
90000 2.20793
91000 2.24591
92000 2.30071
93000 2.30929
94000 2.35778
95000 2.39038
96000 2.39595
97000 2.43587
98000 2.47859
99000 2.51441
100000 2.49323
101000 2.57268
102000 2.63654
103000 2.72998
104000 2.70776
105000 2.65139
106000 2.74746
107000 2.86399
108000 2.9057
109000 2.89419
110000 2.97569
111000 3.04614
112000 3.05471
113000 3.05456
114000 3.06614
115000 3.20507
116000 3.19143
117000 3.23622
118000 3.21976
119000 3.21252
120000 3.25058
121000 3.28667
122000 3.32802
123000 3.44666
124000 3.42928
125000 3.42683
126000 3.48872
127000 3.53
128000 3.51774
129000 3.55823
130000 3.62617
131000 3.72998
132000 3.73778
133000 3.74084
134000 3.78484
135000 3.80777
136000 3.72524
137000 3.76946
138000 3.88567
139000 3.95816
140000 3.97539
141000 4.00208
142000 4.05947
143000 4.00185
144000 4.04251
145000 4.08781
146000 4.20534
147000 4.2409
148000 4.25361
149000 4.27006
150000 4.34578
151000 4.33706
152000 4.25122
153000 4.29483
154000 4.31853
155000 4.38431
156000 4.4223
157000 4.52625
158000 4.55918
159000 4.54793
160000 4.53872
161000 4.63092
162000 4.6695
163000 4.6775
164000 4.70396
165000 4.69519
166000 4.70286
167000 4.76273
168000 4.80333
169000 4.77054
170000 4.80144
171000 4.92437
172000 4.85694
173000 4.89365
174000 4.88989
175000 4.9561
176000 5.06188
177000 5.03684
178000 5.09127
179000 4.98742
180000 5.02487
181000 5.05051
182000 5.20411
183000 5.22729
184000 5.25975
185000 5.35017
186000 5.2928
187000 5.28163
188000 5.33184
189000 5.342
190000 5.35148
191000 5.32933
192000 5.43975
193000 5.35058
194000 5.42632
195000 5.52431
196000 5.57751
197000 5.50197
198000 5.51763
199000 5.55747
200000 5.59818
201000 5.54088
202000 5.61805
203000 5.56911
204000 5.61871
205000 5.63967
206000 5.71326
207000 5.80637
208000 5.73555
209000 5.72185
210000 5.7516
211000 5.788
212000 5.7991
213000 5.82117
214000 5.8969
215000 5.84608
216000 5.8958
217000 5.86216
218000 5.94542
219000 6.00773
220000 6.0457
221000 6.00796
222000 5.975
223000 6.06757
224000 5.98983
225000 6.03212
226000 6.11105
227000 6.11999
