# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
50000 4.3449e-31
51000 0.95669
52000 1.247
53000 1.49129
54000 1.69095
55000 1.8808
56000 2.07059
57000 2.29939
58000 2.50542
59000 2.69778
60000 2.88432
61000 3.05874
62000 3.13603
63000 3.31334
64000 3.45699
65000 3.68798
66000 3.90708
67000 4.07858
68000 4.18815
69000 4.34613
70000 4.49234
71000 4.65303
72000 4.80256
73000 4.94211
74000 5.07525
75000 5.24204
76000 5.40007
77000 5.56816
78000 5.68832
79000 5.84957
80000 6.02946
81000 6.20176
82000 6.38491
83000 6.55212
84000 6.62428
85000 6.82713
86000 6.979
87000 7.04631
88000 7.22196
89000 7.40718
90000 7.56777
91000 7.65864
92000 7.76727
93000 7.91735
94000 8.02942
95000 8.22238
96000 8.37302
97000 8.54165
98000 8.66117
99000 8.83814
100000 9.019
101000 9.12244
102000 9.25151
103000 9.38352
104000 9.56873
105000 9.69413
106000 9.82236
107000 9.91929
108000 10.1679
109000 10.3017
110000 10.4099
111000 10.5909
112000 10.7337
113000 10.9096
114000 11.0169
115000 11.1668
116000 11.3401
117000 11.4834
118000 11.5523
119000 11.6153
120000 11.8181
121000 11.9311
122000 11.9635
123000 12.1296
124000 12.3419
125000 12.463
126000 12.4714
127000 12.5713
128000 12.7485
129000 12.809
130000 12.9932
131000 13.0477
132000 13.1748
133000 13.3484
134000 13.3736
135000 13.4817
136000 13.6682
137000 13.8313
138000 13.959
139000 14.1732
140000 14.3562
141000 14.5254
142000 14.5636
143000 14.6002
144000 14.7059
145000 14.7516
146000 14.8928
147000 15.0052
148000 15.156
149000 15.1981
150000 15.3983
151000 15.4264
152000 15.4604
153000 15.5266
154000 15.5917
155000 15.7378
156000 15.8771
157000 15.9453
158000 16.0562
159000 16.2152
160000 16.291
161000 16.4979
162000 16.5089
163000 16.584
164000 16.716
165000 16.9467
166000 17.0021
167000 17.1766
168000 17.3226
169000 17.3971
170000 17.547
171000 17.5683
172000 17.6806
173000 17.7842
174000 17.993
175000 17.9952
176000 18.0558
177000 18.19
178000 18.3434
179000 18.416
180000 18.6089
181000 18.7012
182000 18.8038
183000 18.8863
184000 18.9588
185000 19.1409
186000 19.1436
187000 19.2574
188000 19.2341
189000 19.3884
190000 19.4775
191000 19.6657
192000 19.8264
193000 19.9994
194000 19.9562
195000 20.0735
196000 20.2161
197000 20.2257
198000 20.4222
199000 20.4831
200000 20.6198
201000 20.6856
202000 20.7887
203000 20.8627
204000 21.0227
205000 21.1684
206000 21.2273
207000 21.3597
208000 21.4923
209000 21.5105
210000 21.695
211000 21.7829
212000 21.9151
213000 22.0513
214000 22.1826
215000 22.2785
216000 22.4258
217000 22.419
218000 22.5033
219000 22.6432
220000 22.7493
221000 22.8265
222000 23.0232
223000 23.0791
224000 23.1603
225000 23.4216
226000 23.6477
227000 23.678
228000 23.7575
229000 23.8274
230000 23.8837
231000 23.9468
232000 24.0131
233000 24.16
234000 24.2095
235000 24.2871
236000 24.295
237000 24.471
238000 24.434
239000 24.547
240000 24.7331
241000 24.8548
242000 25.0608
243000 25.3809
244000 25.3391
245000 25.3258
246000 25.463
247000 25.5952
248000 25.6889
249000 25.763
250000 25.832
251000 25.9799
252000 25.9386
253000 26.1781
254000 26.3444
255000 26.4286
256000 26.4855
257000 26.5715
258000 26.6976
259000 26.8572
260000 27.0228
261000 27.0286
262000 27.1783
263000 27.163
264000 27.3761
265000 27.4774
266000 27.5877
267000 27.8631
268000 27.9115
269000 28.0031
270000 28.0092
271000 28.2167
272000 28.3789
273000 28.4434
274000 28.5322
275000 28.5778
276000 28.7015
277000 28.7751
278000 28.7501
279000 28.9728
280000 28.9764
281000 29.151
282000 29.1311
283000 29.2815
284000 29.4094
285000 29.6122
286000 29.7672
287000 29.8764
288000 30.0005
289000 30.1106
290000 30.1823
291000 30.2076
292000 30.4001
293000 30.6888
294000 30.7468
295000 30.835
296000 30.8811
297000 30.8827
298000 30.9616
299000 31.146
300000 31.2565
301000 31.4037
302000 31.5093
303000 31.5249
304000 31.6408
305000 31.8467
306000 31.8759
307000 31.9974
308000 32.1309
309000 32.1961
310000 32.3461
311000 32.5223
312000 32.5403
313000 32.6759
314000 32.6147
315000 32.8191
316000 32.9199
317000 33.1221
318000 33.1565
319000 33.3062
320000 33.466
321000 33.467
322000 33.558
323000 33.7599
324000 33.7704
325000 33.8987
326000 33.9514
327000 34.0386
328000 34.133
329000 34.1907
330000 34.2979
331000 34.4573
332000 34.5349
333000 34.6791
334000 34.7445
335000 34.7502
336000 34.8756
337000 34.9568
338000 35.1178
339000 35.2802
340000 35.4371
341000 35.4382
342000 35.5682
343000 35.6657
344000 35.7083
345000 35.7754
346000 35.9232
347000 36.0728
348000 36.0991
349000 36.1973
350000 36.3482
351000 36.4482
352000 36.4945
353000 36.6094
354000 36.6419
355000 36.867
356000 36.9141
357000 36.9447
358000 37.1484
359000 37.2698
360000 37.4026
361000 37.5646
362000 37.6094
363000 37.6477
364000 37.7938
365000 37.8412
366000 38.1065
367000 38.0529
368000 38.221
369000 38.3166
370000 38.5261
371000 38.653
372000 38.6869
373000 38.7757
374000 38.7981
375000 38.9358
376000 39.0589
377000 39.2279
378000 39.2531
379000 39.2564
380000 39.4415
381000 39.488
382000 39.6387
383000 39.9367
384000 40.0738
385000 40.1372
386000 40.1904
387000 40.5491
388000 40.5812
389000 40.5087
390000 40.6544
391000 40.6474
392000 40.7633
393000 40.901
394000 40.9282
395000 40.8746
396000 40.9442
397000 41.2177
398000 41.3329
399000 41.4563
400000 41.5471
401000 41.7493
402000 41.7935
403000 41.8468
404000 42.0336
405000 42.1566
406000 42.2993
407000 42.304
408000 42.2025
409000 42.4674
410000 42.6107
