# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 1.533e-28
51000 0.955775
52000 1.22626
53000 1.47574
54000 1.65099
55000 1.87159
56000 2.07871
57000 2.3158
58000 2.47469
59000 2.66609
60000 2.80141
61000 3.01972
62000 3.22434
63000 3.43296
64000 3.57225
65000 3.7368
66000 3.95328
67000 4.12241
68000 4.30521
69000 4.56598
70000 4.62547
71000 4.83062
72000 4.96379
73000 5.18019
74000 5.27863
75000 5.38857
76000 5.6104
77000 5.77195
78000 6.00195
79000 6.19161
80000 6.35475
81000 6.56682
82000 6.76379
83000 6.91272
84000 7.04918
85000 7.18504
86000 7.34576
87000 7.51806
88000 7.70664
89000 7.81999
90000 7.98159
91000 8.23814
92000 8.32405
93000 8.54094
94000 8.62278
95000 8.90037
96000 9.04255
97000 9.15884
98000 9.40737
99000 9.57815
100000 9.69501
101000 9.94219
102000 10.1402
103000 10.3243
104000 10.4258
105000 10.6113
106000 10.7678
107000 10.9778
108000 11.0994
109000 11.2744
110000 11.3978
111000 11.4724
112000 11.6162
113000 11.7711
114000 11.8966
115000 12.0148
116000 12.2804
117000 12.4416
118000 12.5889
119000 12.7158
120000 12.9571
121000 13.0087
122000 13.2333
123000 13.3832
124000 13.489
125000 13.54
126000 13.7096
127000 13.8951
128000 14.0594
129000 14.2152
130000 14.3235
131000 14.5749
132000 14.5985
133000 14.8529
134000 15.0027
135000 15.1673
136000 15.2534
137000 15.3882
138000 15.6419
139000 15.8602
140000 16.0357
141000 16.1821
142000 16.348
143000 16.5107
144000 16.6652
145000 16.7732
146000 16.8719
147000 17.0159
148000 17.0976
149000 17.2015
150000 17.4036
151000 17.5419
152000 17.6899
153000 17.6903
154000 17.8613
155000 18.0125
156000 18.2563
157000 18.5009
158000 18.6178
159000 18.6914
160000 18.845
161000 18.9458
162000 19.0561
163000 19.1438
164000 19.2209
165000 19.3674
166000 19.5486
167000 19.716
168000 19.887
169000 20.0023
170000 20.0512
171000 20.2655
172000 20.3485
173000 20.4259
174000 20.6631
175000 20.7675
176000 20.8595
177000 21.1694
178000 21.2781
179000 21.3597
180000 21.3913
181000 21.6536
182000 21.8525
183000 22.1084
184000 22.1824
185000 22.1734
186000 22.4559
187000 22.6668
188000 22.8256
189000 23.0427
190000 23.2167
191000 23.4053
192000 23.486
193000 23.7157
194000 23.8872
195000 24.0031
196000 24.0732
197000 24.3757
198000 24.4723
199000 24.6285
200000 24.8088
201000 25.0403
202000 25.1603
203000 25.2416
204000 25.3379
205000 25.4863
206000 25.6134
207000 25.789
208000 25.9673
209000 26.0482
210000 26.1388
211000 26.3672
212000 26.4807
213000 26.4852
214000 26.6697
215000 26.7662
216000 26.9734
217000 27.142
218000 27.3246
219000 27.4926
220000 27.5345
221000 27.6175
222000 27.7629
223000 27.841
224000 27.8619
225000 28.1038
226000 28.2919
227000 28.5808
228000 28.6875
229000 28.8655
230000 28.8824
231000 29.0616
232000 28.9803
233000 29.1584
234000 29.4196
235000 29.4185
236000 29.6112
237000 29.5534
238000 29.7604
239000 30.0404
240000 30.0326
241000 30.3039
242000 30.5707
243000 30.6476
244000 30.715
245000 30.7715
246000 30.8831
247000 31.0236
248000 31.0766
249000 31.3059
250000 31.4237
251000 31.6283
252000 31.7078
253000 31.7114
254000 31.8271
255000 32.1729
256000 32.2642
257000 32.1964
258000 32.2867
259000 32.4085
260000 32.586
261000 32.716
262000 32.889
263000 33.0334
264000 32.9702
265000 33.134
266000 33.2793
267000 33.5387
268000 33.5187
269000 33.6415
270000 33.8289
271000 33.9552
272000 34.0594
273000 34.3632
274000 34.3757
275000 34.5259
276000 34.724
277000 34.9679
278000 35.1169
279000 35.2818
280000 35.3732
281000 35.448
282000 35.535
283000 35.6909
284000 35.8708
285000 35.9215
286000 36.0296
287000 36.1394
288000 36.2782
289000 36.4746
290000 36.6364
291000 36.7728
292000 37.101
293000 37.1969
294000 37.286
295000 37.4378
296000 37.6191
297000 37.7923
298000 37.795
299000 37.8451
300000 37.8761
301000 38.027
302000 38.2178
303000 38.3598
304000 38.384
305000 38.4134
306000 38.7234
307000 38.7711
308000 38.8914
309000 38.9912
310000 39.2667
311000 39.4264
312000 39.5403
313000 39.6215
314000 39.7377
315000 39.9429
316000 40.1528
317000 40.1829
318000 40.235
319000 40.6221
320000 40.6568
321000 40.804
322000 40.976
323000 41.2916
324000 41.3874
325000 41.5826
326000 41.764
327000 41.8378
328000 41.8978
329000 42.1425
330000 42.2998
331000 42.3283
332000 42.3935
333000 42.5916
334000 42.7732
335000 42.888
336000 43.0398
337000 43.0326
338000 43.1543
339000 43.3155
340000 43.4137
341000 43.5802
342000 43.6641
343000 43.8116
344000 43.8124
345000 43.8197
346000 43.9491
347000 44.1084
348000 44.2986
349000 44.4117
350000 44.4421
351000 44.6351
352000 44.6553
353000 44.737
354000 45.0825
355000 45.1338
356000 45.231
357000 45.372
358000 45.3141
359000 45.5737
360000 45.734
361000 45.8513
362000 46.0003
363000 45.9912
364000 46.1011
365000 46.3603
366000 46.5156
367000 46.5127
368000 46.6626
369000 46.6607
370000 46.7879
371000 46.9693
372000 47.129
373000 47.3241
374000 47.4698
375000 47.4405
376000 47.6684
377000 47.6613
378000 47.8555
379000 47.8757
380000 48.025
381000 48.2884
382000 48.1958
383000 48.2695
384000 48.4855
385000 48.4601
386000 48.635
387000 48.68
388000 48.9392
389000 49.0368
390000 49.2192
391000 49.216
392000 49.4671
393000 49.5221
394000 49.6744
395000 49.9663
396000 49.9449
397000 50.0385
398000 50.1776
399000 50.3236
400000 50.641
401000 50.603
402000 50.8881
403000 51.0789
404000 51.0679
405000 51.2275
406000 51.3606
407000 51.4191
408000 51.5949
409000 51.7989
410000 52.0565
411000 52.035
412000 52.3564
413000 52.5669
414000 52.484
415000 52.6616
416000 52.8834
417000 52.9327
418000 53.0171
419000 53.3457
420000 53.4952
421000 53.617
422000 53.4848
423000 53.7239
424000 53.6492
425000 53.9016
426000 53.9776
427000 54.1767
428000 54.2397
429000 54.3277
430000 54.3531
431000 54.5656
432000 54.7174
433000 54.927
434000 54.8967
435000 54.9172
436000 55.0842
437000 55.237
438000 55.3292
439000 55.3111
440000 55.4937
441000 55.6154
442000 55.6751
443000 55.6958
444000 55.8037
445000 56.0631
446000 56.3182
447000 56.3809
448000 56.4053
449000 56.5031
450000 56.8073
451000 56.8542
452000 57.0888
453000 57.1007
454000 57.2177
455000 57.3084
456000 57.4172
457000 57.6341
458000 57.7603
459000 57.7703
460000 58.0323
461000 58.2223
462000 58.1608
463000 58.2606
464000 58.38
465000 58.7423
466000 58.7998
467000 58.8815
468000 58.9552
469000 59.2941
470000 59.3373
471000 59.4529
472000 59.7606
473000 59.7282
474000 59.8752
475000 59.8764
476000 60.051
477000 60.223
478000 60.328
479000 60.3073
480000 60.511
481000 60.7932
482000 60.7666
483000 60.9985
484000 61.0659
485000 61.281
486000 61.3273
487000 61.3668
488000 61.5636
489000 61.6964
490000 61.7499
491000 61.8696
492000 62.1109
493000 62.1182
494000 62.2036
495000 62.3831
496000 62.5201
497000 62.6316
498000 62.7561
499000 62.8342
500000 62.9999
501000 63.009
502000 63.2127
503000 63.2985
504000 63.4225
505000 63.3948
506000 63.5053
507000 63.6085
508000 63.7633
509000 63.8747
510000 64.0003
511000 64.0296
512000 64.1649
513000 64.2335
514000 64.3343
515000 64.4461
516000 64.6391
517000 64.6477
518000 64.8772
519000 65.0716
520000 65.2731
521000 65.306
522000 65.3392
523000 65.6723
524000 65.6443
525000 65.8381
526000 65.9185
527000 66.0731
528000 66.2811
529000 66.208
530000 66.4467
531000 66.6339
532000 66.7133
533000 66.7101
534000 66.9656
535000 66.9638
536000 67.2476
537000 67.313
538000 67.4251
539000 67.5805
540000 67.7337
541000 68.031
542000 68.0556
543000 68.0963
544000 68.3271
545000 68.4299
546000 68.6288
547000 68.8233
548000 68.9477
549000 69.0631
550000 69.0277
551000 69.1181
552000 69.2956
553000 69.3766
554000 69.4085
555000 69.5767
556000 69.8039
557000 69.7706
558000 69.956
559000 70.2182
560000 70.2421
561000 70.2897
562000 70.4238
563000 70.5202
564000 70.9206
