# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
50000 1.18329e-31
51000 0.122728
52000 0.122857
53000 0.133032
54000 0.145501
55000 0.141216
56000 0.153365
57000 0.162167
58000 0.172531
59000 0.174303
60000 0.179195
61000 0.183879
62000 0.18605
63000 0.186097
64000 0.194471
65000 0.205778
66000 0.206755
67000 0.21461
68000 0.219038
69000 0.239618
70000 0.224345
71000 0.232993
72000 0.227332
73000 0.237707
74000 0.232999
75000 0.240024
76000 0.250782
77000 0.241428
78000 0.255152
79000 0.269245
80000 0.267904
81000 0.268611
82000 0.264635
83000 0.275044
84000 0.282365
85000 0.266053
86000 0.267562
87000 0.281629
88000 0.288234
89000 0.292057
90000 0.298361
91000 0.294961
92000 0.297792
93000 0.294959
94000 0.300275
95000 0.286447
96000 0.303569
97000 0.304461
98000 0.304165
99000 0.303811
100000 0.313267
101000 0.316809
102000 0.324591
103000 0.319159
104000 0.322616
105000 0.332161
106000 0.332055
107000 0.32967
108000 0.329915
109000 0.341015
110000 0.351704
111000 0.342879
112000 0.341778
113000 0.345346
114000 0.356678
115000 0.359087
116000 0.358883
117000 0.364579
118000 0.366778
119000 0.373179
120000 0.37031
121000 0.366665
122000 0.369916
123000 0.371382
124000 0.378457
125000 0.386419
126000 0.378151
127000 0.383775
128000 0.380519
129000 0.379269
130000 0.405771
131000 0.390877
132000 0.395627
133000 0.402781
134000 0.407832
135000 0.396782
136000 0.397667
137000 0.409304
138000 0.413806
139000 0.40293
140000 0.399443
141000 0.41871
142000 0.414292
143000 0.420513
144000 0.423853
145000 0.418172
146000 0.400401
147000 0.424581
148000 0.428892
149000 0.41849
150000 0.42435
151000 0.43134
152000 0.434174
153000 0.435493
154000 0.442417
155000 0.441165
156000 0.431362
157000 0.43522
158000 0.437886
159000 0.439506
160000 0.447176
161000 0.442694
162000 0.439389
163000 0.456048
164000 0.452131
165000 0.442583
166000 0.450958
167000 0.454486
168000 0.456764
169000 0.459649
170000 0.458637
171000 0.451822
172000 0.456044
173000 0.458253
174000 0.462625
175000 0.456888
176000 0.459355
177000 0.451403
178000 0.462051
179000 0.470351
180000 0.448167
181000 0.45974
182000 0.46877
183000 0.463483
184000 0.465071
185000 0.458128
186000 0.458036
187000 0.458974
188000 0.473606
189000 0.463071
190000 0.459084
191000 0.475897
192000 0.463936
193000 0.467997
194000 0.475958
195000 0.480056
196000 0.479526
197000 0.485519
198000 0.471371
199000 0.471448
200000 0.481161
201000 0.481149
202000 0.481763
203000 0.48854
204000 0.50267
205000 0.494445
206000 0.491071
207000 0.5015
208000 0.503127
209000 0.510734
210000 0.493172
211000 0.492902
212000 0.50507
213000 0.498362
214000 0.481696
215000 0.50621
216000 0.505509
217000 0.503542
218000 0.510951
219000 0.495912
220000 0.504855
221000 0.506335
222000 0.507803
223000 0.498429
224000 0.499981
225000 0.519591
226000 0.507044
227000 0.524383
228000 0.509997
229000 0.510277
230000 0.507877
231000 0.508564
232000 0.519844
233000 0.510844
234000 0.513447
235000 0.516489
236000 0.525234
237000 0.513158
238000 0.520603
239000 0.523704
240000 0.524549
241000 0.512426
242000 0.526694
243000 0.522997
244000 0.538977
245000 0.531119
246000 0.547121
247000 0.533495
248000 0.524665
249000 0.527312
250000 0.553495
251000 0.541004
252000 0.542178
253000 0.543401
254000 0.540519
255000 0.539844
256000 0.551821
257000 0.539412
258000 0.545642
259000 0.555879
260000 0.538416
261000 0.537058
262000 0.554983
263000 0.546537
264000 0.560639
265000 0.56417
266000 0.55299
267000 0.544554
268000 0.568035
269000 0.558132
270000 0.552145
271000 0.559891
272000 0.547576
273000 0.551826
274000 0.559421
275000 0.556105
276000 0.558586
277000 0.554034
278000 0.561418
279000 0.563552
280000 0.564772
281000 0.551548
282000 0.562821
283000 0.559315
284000 0.576593
285000 0.558036
286000 0.556809
287000 0.568362
288000 0.575275
289000 0.571459
290000 0.567864
291000 0.560624
292000 0.567946
293000 0.575602
294000 0.573695
295000 0.575862
296000 0.577143
297000 0.578304
298000 0.579512
299000 0.567708
300000 0.577062
301000 0.576536
302000 0.577735
303000 0.585004
304000 0.584786
305000 0.566899
306000 0.576578
307000 0.579496
308000 0.584777
309000 0.578735
310000 0.581365
311000 0.57826
312000 0.582084
313000 0.570177
314000 0.585975
315000 0.580439
316000 0.576692
317000 0.574518
318000 0.579914
319000 0.576658
320000 0.596002
321000 0.593104
322000 0.581393
323000 0.600259
324000 0.590119
325000 0.595644
326000 0.593455
327000 0.582748
328000 0.595511
329000 0.596873
330000 0.591736
331000 0.593343
332000 0.593044
333000 0.611751
334000 0.591034
335000 0.596329
336000 0.593775
337000 0.593478
338000 0.595454
339000 0.594101
340000 0.594702
341000 0.597877
342000 0.596258
343000 0.599746
344000 0.583426
345000 0.57829
346000 0.612358
347000 0.607629
348000 0.605623
349000 0.604088
350000 0.591164
351000 0.591176
352000 0.596215
353000 0.598134
354000 0.594255
355000 0.598316
356000 0.598153
357000 0.596477
358000 0.602268
359000 0.59953
360000 0.597023
361000 0.598732
362000 0.587838
363000 0.609466
364000 0.618226
365000 0.601948
366000 0.605047
367000 0.587012
368000 0.610564
369000 0.609313
370000 0.629057
371000 0.625383
372000 0.592779
373000 0.60256
374000 0.624808
375000 0.600658
376000 0.604989
377000 0.611912
378000 0.626738
379000 0.599881
380000 0.608984
381000 0.629111
382000 0.609115
383000 0.612904
384000 0.618787
385000 0.627773
386000 0.60951
387000 0.63278
388000 0.609186
389000 0.620643
390000 0.629106
391000 0.615621
392000 0.640903
393000 0.6178
394000 0.637112
395000 0.636188
396000 0.629731
397000 0.612851
398000 0.632975
399000 0.608218
400000 0.629332
401000 0.638508
402000 0.630287
403000 0.615475
404000 0.633491
405000 0.643138
406000 0.640555
407000 0.628449
408000 0.639729
409000 0.650299
410000 0.635219
411000 0.633499
412000 0.632025
413000 0.639728
414000 0.631677
415000 0.625307
416000 0.636579
417000 0.640353
418000 0.647235
419000 0.646323
420000 0.65599
421000 0.645473
422000 0.6533
423000 0.647211
424000 0.650268
425000 0.649501
426000 0.656357
427000 0.643547
428000 0.672287
429000 0.635374
430000 0.648049
431000 0.650006
432000 0.663986
433000 0.656184
434000 0.649193
435000 0.649856
436000 0.657993
437000 0.657868
438000 0.653399
439000 0.664239
440000 0.659049
441000 0.648725
442000 0.663227
443000 0.654614
444000 0.648357
445000 0.653406
446000 0.658464
447000 0.662434
448000 0.656295
449000 0.662728
450000 0.660393
451000 0.672831
452000 0.652583
453000 0.668267
454000 0.646791
455000 0.669696
456000 0.664987
457000 0.682401
458000 0.670166
459000 0.671425
460000 0.670416
461000 0.672787
462000 0.662086
463000 0.653298
464000 0.664736
465000 0.67494
466000 0.677599
467000 0.666262
468000 0.667633
469000 0.66205
470000 0.684808
471000 0.672268
472000 0.669332
473000 0.677025
474000 0.676069
475000 0.683319
476000 0.684869
477000 0.674309
478000 0.690719
479000 0.6802
480000 0.669014
481000 0.666287
482000 0.683103
483000 0.678678
484000 0.683122
485000 0.677848
486000 0.669289
487000 0.662707
488000 0.689507
489000 0.691127
490000 0.683322
491000 0.682444
492000 0.68238
493000 0.701095
494000 0.68234
495000 0.673277
496000 0.680731
497000 0.69244
498000 0.695694
499000 0.685212
500000 0.66841
501000 0.677904
502000 0.684243
503000 0.684522
504000 0.670878
505000 0.68084
506000 0.674346
507000 0.685584
508000 0.672467
509000 0.677116
510000 0.678115
511000 0.699622
512000 0.68898
513000 0.678701
514000 0.680667
515000 0.686243
516000 0.694217
517000 0.687823
518000 0.67566
519000 0.696071
520000 0.688776
521000 0.692655
522000 0.690176
523000 0.676117
524000 0.699976
525000 0.685112
526000 0.68655
527000 0.69657
528000 0.685642
529000 0.699516
530000 0.684887
531000 0.689645
532000 0.69972
533000 0.697885
534000 0.685601
535000 0.682768
536000 0.690391
537000 0.681662
538000 0.710305
539000 0.701453
540000 0.674393
541000 0.696953
542000 0.694598
543000 0.700163
544000 0.69827
545000 0.685636
546000 0.694538
547000 0.686829
548000 0.695746
549000 0.684336
550000 0.702954
551000 0.675356
552000 0.696997
553000 0.680391
554000 0.685269
555000 0.669352
556000 0.688619
557000 0.692284
558000 0.682785
559000 0.687187
560000 0.699916
561000 0.670245
562000 0.688471
563000 0.695619
564000 0.694852
565000 0.681497
566000 0.690935
567000 0.695897
568000 0.680569
569000 0.683098
570000 0.6979
571000 0.678392
572000 0.691865
573000 0.697491
574000 0.694512
575000 0.696968
576000 0.706131
577000 0.689153
578000 0.695729
579000 0.708909
580000 0.705839
581000 0.700023
582000 0.711772
583000 0.701509
584000 0.706286
585000 0.695127
586000 0.7005
587000 0.708068
588000 0.713438
589000 0.707321
590000 0.713882
591000 0.708365
592000 0.718302
593000 0.712347
594000 0.691156
595000 0.700621
596000 0.703911
597000 0.710531
598000 0.720141
599000 0.712677
600000 0.702556
601000 0.710212
602000 0.709005
603000 0.692022
604000 0.715584
605000 0.7087
606000 0.70787
607000 0.730617
608000 0.711043
609000 0.713069
610000 0.721937
611000 0.729946
612000 0.720913
613000 0.723856
614000 0.736911
615000 0.711982
616000 0.735833
617000 0.731308
618000 0.731577
619000 0.730001
620000 0.731176
621000 0.728333
622000 0.727323
623000 0.745012
624000 0.727964
625000 0.727701
626000 0.738034
627000 0.720648
628000 0.73265
629000 0.731819
630000 0.738659
631000 0.741736
632000 0.732129
633000 0.730964
634000 0.723435
635000 0.737324
636000 0.725769
637000 0.72256
638000 0.72128
639000 0.741574
640000 0.737963
641000 0.740665
642000 0.729392
643000 0.734095
644000 0.733504
645000 0.725964
646000 0.740551
647000 0.737237
648000 0.740147
649000 0.741462
650000 0.73871
651000 0.751764
652000 0.746189
653000 0.722463
654000 0.747564
655000 0.749178
656000 0.744447
657000 0.740778
658000 0.751828
659000 0.729805
660000 0.737703
661000 0.749208
662000 0.732175
663000 0.743833
664000 0.739477
665000 0.738875
666000 0.743636
667000 0.749849
668000 0.753319
669000 0.729086
670000 0.742737
671000 0.739058
672000 0.744673
673000 0.741493
674000 0.748854
675000 0.744374
676000 0.756067
677000 0.753453
678000 0.753172
679000 0.741001
680000 0.737269
681000 0.759908
682000 0.762567
683000 0.755674
684000 0.744607
685000 0.758582
686000 0.750678
687000 0.7376
688000 0.760331
689000 0.756417
690000 0.76114
691000 0.752179
692000 0.758252
693000 0.764547
694000 0.744716
695000 0.756158
696000 0.759228
697000 0.761454
698000 0.763898
699000 0.751832
700000 0.747859
701000 0.758862
702000 0.770412
703000 0.75992
704000 0.765942
705000 0.749971
706000 0.763277
707000 0.772
708000 0.758926
709000 0.766388
710000 0.770905
711000 0.755197
712000 0.776655
713000 0.774494
714000 0.770702
715000 0.761756
716000 0.764761
717000 0.766883
718000 0.756109
719000 0.770949
720000 0.771927
721000 0.773688
722000 0.773265
723000 0.770927
724000 0.77608
725000 0.766557
726000 0.75418
727000 0.778865
728000 0.772742
729000 0.766114
730000 0.778009
731000 0.759001
732000 0.773726
733000 0.768339
734000 0.772116
735000 0.767698
736000 0.777657
737000 0.777697
738000 0.768462
739000 0.762429
740000 0.789967
741000 0.767809
742000 0.759452
743000 0.779414
744000 0.762759
745000 0.77114
746000 0.77925
747000 0.768241
748000 0.774818
749000 0.770648
750000 0.779716
751000 0.791366
752000 0.779883
753000 0.760582
754000 0.792712
755000 0.771736
756000 0.783718
757000 0.780915
758000 0.785561
759000 0.785171
760000 0.784002
761000 0.784748
762000 0.788534
763000 0.786455
764000 0.784316
765000 0.765371
766000 0.787245
767000 0.784197
768000 0.773229
769000 0.784684
770000 0.784013
771000 0.779663
772000 0.772744
773000 0.790225
774000 0.775669
775000 0.792451
776000 0.787271
777000 0.80984
778000 0.784485
779000 0.794032
780000 0.799053
781000 0.809671
782000 0.785976
783000 0.796482
784000 0.78585
785000 0.791906
786000 0.801063
787000 0.788804
788000 0.773222
789000 0.789096
790000 0.796474
791000 0.792948
792000 0.793138
793000 0.785189
794000 0.786486
795000 0.785877
796000 0.787216
797000 0.774261
798000 0.784245
799000 0.775439
800000 0.789871
801000 0.789407
802000 0.795177
803000 0.791651
804000 0.782405
805000 0.796878
806000 0.782221
807000 0.779904
808000 0.805071
809000 0.793829
810000 0.812251
811000 0.787167
812000 0.790703
813000 0.799603
814000 0.785697
815000 0.802863
816000 0.792004
817000 0.781357
818000 0.801777
819000 0.789334
820000 0.798904
821000 0.803307
822000 0.784217
823000 0.798091
824000 0.816111
825000 0.800392
826000 0.793475
827000 0.799621
828000 0.799794
829000 0.801212
830000 0.804031
831000 0.780226
832000 0.798436
833000 0.812371
834000 0.794699
835000 0.801491
836000 0.793437
837000 0.791966
838000 0.805483
839000 0.799997
840000 0.790884
841000 0.804658
842000 0.78976
843000 0.79512
844000 0.796827
845000 0.786608
846000 0.809556
847000 0.801847
848000 0.81165
849000 0.805594
850000 0.797896
851000 0.812579
852000 0.803847
853000 0.801967
854000 0.8015
855000 0.814731
856000 0.810774
857000 0.814546
858000 0.799113
859000 0.816056
860000 0.814703
861000 0.803642
862000 0.80867
863000 0.806756
864000 0.805295
865000 0.800385
866000 0.815559
867000 0.824363
868000 0.802012
869000 0.797549
870000 0.821623
871000 0.788249
872000 0.807655
873000 0.803651
874000 0.800441
875000 0.801421
876000 0.81063
877000 0.819092
878000 0.805856
879000 0.808315
880000 0.801021
881000 0.799726
882000 0.807637
883000 0.819334
884000 0.807382
885000 0.814414
886000 0.804853
887000 0.805602
888000 0.800582
889000 0.808132
890000 0.803551
891000 0.806649
892000 0.820782
893000 0.816238
894000 0.799773
895000 0.809357
896000 0.817515
897000 0.814774
898000 0.801377
899000 0.815713
900000 0.80296
901000 0.799909
902000 0.819018
903000 0.8026
904000 0.798229
905000 0.813633
906000 0.826076
907000 0.800437
908000 0.819807
909000 0.825685
910000 0.811669
911000 0.810241
912000 0.792281
913000 0.814781
914000 0.816114
915000 0.815104
916000 0.819877
917000 0.805476
918000 0.809482
919000 0.82797
920000 0.823057
921000 0.81976
922000 0.828633
923000 0.811249
924000 0.819376
925000 0.813908
926000 0.825668
927000 0.826511
928000 0.825918
929000 0.829054
930000 0.806101
931000 0.831381
932000 0.823928
933000 0.80219
934000 0.815488
935000 0.817445
936000 0.819098
937000 0.810103
938000 0.824467
939000 0.814021
940000 0.805516
941000 0.834255
942000 0.81882
943000 0.81331
944000 0.834951
945000 0.835985
946000 0.808835
947000 0.83637
948000 0.825568
949000 0.806769
950000 0.816951
951000 0.831472
952000 0.817471
953000 0.821896
954000 0.815548
955000 0.823079
956000 0.824911
957000 0.81772
958000 0.815018
959000 0.828549
960000 0.825053
961000 0.8195
962000 0.820375
963000 0.829495
964000 0.839715
965000 0.824926
966000 0.810627
967000 0.825542
968000 0.835667
969000 0.824537
970000 0.817143
971000 0.811369
972000 0.829441
973000 0.839612
974000 0.82094
975000 0.819038
976000 0.836277
977000 0.828868
978000 0.839391
979000 0.832472
980000 0.812471
981000 0.836035
982000 0.839066
983000 0.837627
984000 0.818481
985000 0.830235
986000 0.83779
987000 0.829019
988000 0.835055
989000 0.822397
990000 0.832312
991000 0.855952
992000 0.811976
993000 0.832674
994000 0.833786
995000 0.827041
996000 0.826972
997000 0.820182
998000 0.83815
999000 0.838101
1000000 0.826212
1001000 0.835205
1002000 0.836981
1003000 0.825904
1004000 0.835885
1005000 0.841588
1006000 0.82379
1007000 0.833879
1008000 0.829353
1009000 0.826902
1010000 0.836698
1011000 0.82445
1012000 0.847646
1013000 0.836351
1014000 0.820748
1015000 0.829655
1016000 0.852944
1017000 0.836364
1018000 0.824953
1019000 0.851124
1020000 0.835193
1021000 0.828045
1022000 0.828603
1023000 0.821081
1024000 0.825068
1025000 0.828393
1026000 0.822943
1027000 0.809869
1028000 0.827314
1029000 0.827374
1030000 0.830392
1031000 0.82293
1032000 0.830729
1033000 0.824739
1034000 0.845631
1035000 0.814805
1036000 0.84965
1037000 0.826545
1038000 0.835687
1039000 0.828173
1040000 0.822555
1041000 0.83576
1042000 0.834019
1043000 0.837103
1044000 0.831421
1045000 0.829016
1046000 0.843632
1047000 0.842601
1048000 0.834674
1049000 0.828051
1050000 0.854287
1051000 0.848322
1052000 0.822886
1053000 0.857572
1054000 0.848926
1055000 0.841163
1056000 0.848184
1057000 0.855714
1058000 0.848031
1059000 0.839682
1060000 0.859513
1061000 0.842259
1062000 0.847965
1063000 0.835765
1064000 0.832934
1065000 0.8611
1066000 0.838243
1067000 0.855719
1068000 0.83703
1069000 0.843962
1070000 0.839889
1071000 0.847741
1072000 0.841708
1073000 0.844829
1074000 0.853003
1075000 0.847429
1076000 0.861864
1077000 0.840912
1078000 0.861757
1079000 0.844945
1080000 0.859893
1081000 0.85181
1082000 0.841346
1083000 0.852956
1084000 0.855132
1085000 0.846883
1086000 0.859585
1087000 0.839365
1088000 0.844644
1089000 0.872197
1090000 0.864853
1091000 0.8471
1092000 0.862682
1093000 0.841475
1094000 0.855406
1095000 0.865829
1096000 0.852581
1097000 0.83141
1098000 0.861489
1099000 0.857818
1100000 0.849926
1101000 0.853164
1102000 0.863659
1103000 0.833908
1104000 0.861173
1105000 0.859191
1106000 0.854781
1107000 0.843993
1108000 0.865491
1109000 0.842947
1110000 0.845538
1111000 0.853387
1112000 0.838576
1113000 0.863437
1114000 0.851607
1115000 0.842695
1116000 0.856853
1117000 0.849101
1118000 0.862266
1119000 0.834573
1120000 0.843597
1121000 0.850153
1122000 0.861739
1123000 0.871651
1124000 0.860631
1125000 0.84854
1126000 0.855095
1127000 0.857722
1128000 0.850801
1129000 0.837788
1130000 0.853643
1131000 0.839485
1132000 0.858398
1133000 0.854507
1134000 0.847156
1135000 0.87424
1136000 0.86648
1137000 0.843524
1138000 0.855561
1139000 0.862082
1140000 0.835242
1141000 0.851762
1142000 0.863442
1143000 0.859045
1144000 0.862301
1145000 0.858234
1146000 0.868177
1147000 0.859495
1148000 0.870644
1149000 0.870538
1150000 0.864881
1151000 0.877651
1152000 0.886527
1153000 0.859957
1154000 0.853759
1155000 0.873648
1156000 0.885755
1157000 0.861898
1158000 0.865934
1159000 0.858052
1160000 0.873518
1161000 0.864603
1162000 0.868842
1163000 0.862614
1164000 0.862933
1165000 0.852921
1166000 0.881922
1167000 0.858985
1168000 0.864744
1169000 0.856299
1170000 0.856481
1171000 0.874116
1172000 0.855679
1173000 0.85879
1174000 0.86903
1175000 0.866037
1176000 0.875736
1177000 0.87005
1178000 0.872371
1179000 0.868596
1180000 0.867757
1181000 0.861029
1182000 0.881512
1183000 0.870352
1184000 0.861697
1185000 0.872005
1186000 0.865265
1187000 0.857609
1188000 0.869164
1189000 0.863802
1190000 0.871416
1191000 0.857755
1192000 0.87009
1193000 0.864565
1194000 0.861128
1195000 0.851816
1196000 0.877019
1197000 0.850016
1198000 0.87509
1199000 0.868053
1200000 0.882303
1201000 0.872258
1202000 0.888351
1203000 0.879829
1204000 0.881901
1205000 0.877706
1206000 0.863298
1207000 0.878258
1208000 0.855213
1209000 0.881283
1210000 0.870921
1211000 0.861069
1212000 0.871764
1213000 0.880214
1214000 0.875883
1215000 0.876361
1216000 0.873739
1217000 0.869003
1218000 0.880584
1219000 0.878403
1220000 0.878462
1221000 0.870909
1222000 0.870225
1223000 0.864767
1224000 0.882565
1225000 0.865243
1226000 0.871444
1227000 0.879293
1228000 0.873409
1229000 0.874995
1230000 0.889999
1231000 0.878414
1232000 0.874331
1233000 0.878996
1234000 0.878036
1235000 0.883381
1236000 0.871391
1237000 0.872932
1238000 0.864039
1239000 0.875838
1240000 0.881811
1241000 0.884529
1242000 0.871044
1243000 0.880459
1244000 0.868966
1245000 0.880749
1246000 0.877833
1247000 0.876266
1248000 0.882599
1249000 0.875927
1250000 0.883944
1251000 0.884003
1252000 0.874181
1253000 0.887808
1254000 0.864617
1255000 0.877718
1256000 0.879819
1257000 0.879126
1258000 0.88482
1259000 0.889455
1260000 0.869519
1261000 0.893175
1262000 0.886518
1263000 0.891417
1264000 0.881057
1265000 0.88741
1266000 0.886162
1267000 0.893499
1268000 0.892813
1269000 0.88598
1270000 0.895767
1271000 0.884461
1272000 0.906555
1273000 0.896618
1274000 0.91598
1275000 0.898631
1276000 0.909524
1277000 0.891604
1278000 0.893073
1279000 0.889965
1280000 0.905462
1281000 0.921042
1282000 0.895937
1283000 0.883195
1284000 0.900683
1285000 0.897161
1286000 0.906909
1287000 0.894717
1288000 0.887121
1289000 0.89242
1290000 0.883877
1291000 0.905978
1292000 0.887383
1293000 0.899023
1294000 0.898218
1295000 0.920375
1296000 0.890493
1297000 0.885411
1298000 0.892943
1299000 0.900133
1300000 0.890914
1301000 0.907835
1302000 0.891188
1303000 0.894833
1304000 0.914404
1305000 0.905273
1306000 0.886876
1307000 0.902584
1308000 0.89656
1309000 0.897536
1310000 0.900286
1311000 0.887773
1312000 0.905754
1313000 0.894326
1314000 0.894595
1315000 0.908006
1316000 0.90339
1317000 0.886111
1318000 0.909996
1319000 0.908574
1320000 0.894604
1321000 0.884759
1322000 0.900639
1323000 0.877835
1324000 0.891024
1325000 0.892093
1326000 0.894956
1327000 0.896085
1328000 0.89654
1329000 0.89455
1330000 0.891587
1331000 0.909595
1332000 0.888551
1333000 0.885268
1334000 0.887932
1335000 0.884257
1336000 0.889704
1337000 0.90086
1338000 0.898391
1339000 0.880257
1340000 0.891706
1341000 0.904279
1342000 0.894746
1343000 0.887719
1344000 0.897691
1345000 0.889045
1346000 0.886843
1347000 0.90005
1348000 0.888993
1349000 0.901331
1350000 0.891284
1351000 0.91496
1352000 0.893579
1353000 0.894779
1354000 0.91376
1355000 0.893156
1356000 0.903685
1357000 0.91708
1358000 0.906708
1359000 0.91275
1360000 0.898954
1361000 0.908592
1362000 0.907321
1363000 0.889425
1364000 0.904585
1365000 0.900205
1366000 0.909984
1367000 0.908872
1368000 0.904516
1369000 0.89844
1370000 0.918578
1371000 0.899834
1372000 0.924899
1373000 0.915818
1374000 0.923161
1375000 0.905333
1376000 0.902873
1377000 0.902046
1378000 0.927901
1379000 0.912579
1380000 0.913392
1381000 0.913858
1382000 0.919262
1383000 0.91356
1384000 0.917644
1385000 0.900664
1386000 0.915264
1387000 0.911664
1388000 0.935075
1389000 0.911028
1390000 0.915797
1391000 0.935063
1392000 0.908351
1393000 0.914246
1394000 0.933532
1395000 0.900327
1396000 0.904068
1397000 0.918619
1398000 0.927913
1399000 0.89677
1400000 0.915324
1401000 0.901158
1402000 0.918413
1403000 0.907142
1404000 0.922105
1405000 0.922927
1406000 0.895912
1407000 0.916889
1408000 0.917701
1409000 0.897765
1410000 0.912086
1411000 0.916695
1412000 0.919601
1413000 0.920103
1414000 0.911144
1415000 0.894209
1416000 0.9191
1417000 0.914636
1418000 0.896246
1419000 0.913732
1420000 0.913419
1421000 0.92087
1422000 0.907664
1423000 0.910202
1424000 0.907158
1425000 0.912472
1426000 0.908952
1427000 0.900996
1428000 0.905611
1429000 0.912618
1430000 0.904693
1431000 0.915737
1432000 0.917143
1433000 0.913757
1434000 0.916546
1435000 0.909756
1436000 0.914744
1437000 0.907034
1438000 0.908455
1439000 0.921529
1440000 0.905037
1441000 0.904486
1442000 0.913038
1443000 0.892519
1444000 0.903825
1445000 0.913162
1446000 0.919255
1447000 0.911127
1448000 0.915913
1449000 0.901276
1450000 0.898742
1451000 0.909654
1452000 0.907065
1453000 0.901951
1454000 0.909595
1455000 0.920527
1456000 0.911776
1457000 0.91583
1458000 0.911391
1459000 0.897417
1460000 0.915955
1461000 0.899106
1462000 0.923081
1463000 0.908626
1464000 0.910824
1465000 0.918719
1466000 0.910799
1467000 0.92941
1468000 0.901621
1469000 0.921035
1470000 0.906522
1471000 0.915582
1472000 0.930462
1473000 0.913799
1474000 0.921354
1475000 0.934915
1476000 0.91721
1477000 0.922391
1478000 0.922268
1479000 0.920718
1480000 0.92681
1481000 0.929563
1482000 0.918967
1483000 0.919725
1484000 0.935891
1485000 0.92889
1486000 0.926386
1487000 0.917562
1488000 0.939966
1489000 0.914648
1490000 0.934944
1491000 0.933723
1492000 0.924604
1493000 0.932076
1494000 0.935729
1495000 0.939808
1496000 0.930048
1497000 0.91719
1498000 0.934446
1499000 0.945433
1500000 0.929485
