# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 1.53358e-28
51000 0.653815
52000 0.786544
53000 0.853515
54000 0.935858
55000 1.03235
56000 1.11637
57000 1.21411
58000 1.23408
59000 1.30299
60000 1.36312
61000 1.43915
62000 1.54153
63000 1.59372
64000 1.6656
65000 1.72338
66000 1.77604
67000 1.82511
68000 1.87538
69000 1.94419
70000 2.01791
71000 2.04629
72000 2.12324
73000 2.14649
74000 2.23175
75000 2.25886
76000 2.28195
77000 2.36575
78000 2.40633
79000 2.48685
80000 2.51492
81000 2.52765
82000 2.61959
83000 2.67931
84000 2.73262
85000 2.75719
86000 2.81182
87000 2.85715
88000 2.85614
89000 2.94935
90000 3.03096
91000 3.04171
92000 3.07788
93000 3.13727
94000 3.13617
95000 3.17264
96000 3.21679
97000 3.27428
98000 3.32326
99000 3.35958
100000 3.395
101000 3.49475
102000 3.507
103000 3.55563
104000 3.58923
105000 3.65095
106000 3.64882
107000 3.72065
108000 3.79168
109000 3.79436
110000 3.84454
111000 3.86605
112000 3.88622
113000 3.91431
114000 3.93579
115000 3.97658
116000 4.00835
117000 4.06049
118000 4.112
119000 4.15068
120000 4.19754
121000 4.19302
122000 4.22604
123000 4.2995
124000 4.32074
125000 4.34262
126000 4.36767
127000 4.45492
128000 4.45827
129000 4.48287
130000 4.52377
131000 4.53418
132000 4.65732
133000 4.6854
134000 4.69603
135000 4.75375
136000 4.76602
137000 4.78701
138000 4.8286
139000 4.92911
140000 4.89736
141000 4.93948
142000 4.99089
143000 4.9853
144000 5.06922
145000 5.1003
146000 5.15653
147000 5.19248
148000 5.25569
149000 5.23024
150000 5.22393
151000 5.27453
152000 5.31603
153000 5.33423
154000 5.37476
155000 5.40726
156000 5.41987
157000 5.45149
158000 5.48138
159000 5.50826
160000 5.56346
161000 5.5703
162000 5.59859
163000 5.58807
164000 5.67398
165000 5.67619
166000 5.73691
167000 5.76776
168000 5.76441
169000 5.83049
170000 5.86506
171000 5.8362
172000 5.86262
173000 5.88172
174000 5.9504
175000 5.96352
176000 6.0379
177000 5.99683
178000 6.03916
179000 6.04265
180000 6.02602
181000 6.0372
182000 6.07795
183000 6.127
184000 6.13505
185000 6.17913
186000 6.18159
187000 6.2116
188000 6.24305
189000 6.25769
190000 6.2467
191000 6.24332
192000 6.27365
193000 6.27766
194000 6.33622
195000 6.41397
196000 6.38299
197000 6.45143
198000 6.50642
199000 6.51037
200000 6.51917
201000 6.47584
202000 6.51281
203000 6.54988
204000 6.58
205000 6.63575
206000 6.67472
207000 6.65544
208000 6.68437
209000 6.71001
210000 6.74595
211000 6.78032
212000 6.80637
213000 6.84594
214000 6.84249
215000 6.84087
216000 6.89916
217000 6.95753
218000 6.99081
219000 7.04386
220000 7.10563
221000 7.03971
222000 7.12479
223000 7.13964
224000 7.15228
225000 7.15496
226000 7.21636
227000 7.21777
228000 7.25451
229000 7.30522
230000 7.34448
231000 7.32563
232000 7.35133
233000 7.45052
234000 7.35141
235000 7.45872
236000 7.4857
237000 7.48483
238000 7.55103
239000 7.58736
240000 7.58713
241000 7.578
242000 7.65742
243000 7.66537
244000 7.70512
245000 7.6986
246000 7.75322
247000 7.73907
248000 7.80104
249000 7.7783
250000 7.86122
251000 7.80143
252000 7.81892
253000 7.86293
254000 7.87583
255000 7.86213
256000 7.90256
257000 7.98157
258000 7.95316
259000 8.00517
260000 8.02874
261000 8.04864
262000 8.11224
263000 8.11609
264000 8.16383
265000 8.20675
266000 8.1623
267000 8.22767
268000 8.23119
269000 8.26729
270000 8.28481
271000 8.36707
272000 8.31716
273000 8.39182
274000 8.37903
275000 8.43851
276000 8.42568
277000 8.43355
278000 8.48466
279000 8.50255
280000 8.54748
281000 8.60943
282000 8.62833
283000 8.66502
284000 8.66271
285000 8.68093
286000 8.68033
287000 8.67883
288000 8.73625
289000 8.76102
290000 8.8052
291000 8.75066
292000 8.73851
293000 8.83743
294000 8.84362
295000 8.88801
296000 8.94842
297000 8.95369
298000 8.95438
299000 8.98497
300000 9.0439
301000 9.06274
302000 9.05614
303000 9.05773
304000 9.16021
305000 9.15144
306000 9.13257
307000 9.18172
308000 9.18052
309000 9.23012
310000 9.20873
311000 9.21313
312000 9.31852
313000 9.32237
314000 9.28571
315000 9.27088
316000 9.35141
317000 9.32334
318000 9.3565
319000 9.3282
320000 9.33534
321000 9.38392
322000 9.45705
323000 9.40551
324000 9.41672
325000 9.42623
326000 9.47075
327000 9.47842
328000 9.53434
329000 9.50039
330000 9.55127
331000 9.6161
332000 9.61183
333000 9.62279
334000 9.63031
335000 9.6658
336000 9.68415
337000 9.76172
338000 9.82219
339000 9.75171
340000 9.71815
341000 9.79302
342000 9.81642
343000 9.88425
344000 9.80312
345000 9.90048
346000 9.96382
347000 9.9993
348000 9.97448
349000 9.98117
350000 10.0483
351000 10.0574
352000 10.0412
353000 10.094
354000 10.0908
355000 10.0609
