# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
50000 1.02276e-28
51000 0.263081
52000 0.28704
53000 0.32289
54000 0.35435
55000 0.37034
56000 0.420277
57000 0.432605
58000 0.456762
59000 0.475568
60000 0.472377
61000 0.492054
62000 0.500482
63000 0.512098
64000 0.519832
65000 0.554524
66000 0.576294
67000 0.604403
68000 0.629989
69000 0.634495
70000 0.629705
71000 0.664784
72000 0.674357
73000 0.723671
74000 0.690599
75000 0.729761
76000 0.774252
77000 0.803238
78000 0.83142
79000 0.847212
80000 0.812068
81000 0.843136
82000 0.838879
83000 0.873871
84000 0.892263
85000 0.884227
86000 0.895584
87000 0.918501
88000 0.949287
89000 0.958504
90000 0.944305
91000 0.92359
92000 0.966479
93000 1.02176
94000 1.02986
95000 1.02962
96000 1.07503
97000 1.08913
98000 1.03599
99000 1.08417
100000 1.11931
101000 1.12545
102000 1.09793
103000 1.06827
104000 1.09635
105000 1.10053
106000 1.1014
107000 1.15253
108000 1.14961
109000 1.1181
110000 1.15817
111000 1.17804
112000 1.15385
113000 1.18296
114000 1.22278
115000 1.2054
116000 1.19715
117000 1.20455
118000 1.21566
119000 1.21772
120000 1.23634
121000 1.21282
122000 1.2135
123000 1.27864
124000 1.2817
125000 1.29881
126000 1.34344
127000 1.30491
128000 1.33841
129000 1.34635
130000 1.36473
131000 1.37466
132000 1.35151
133000 1.36857
134000 1.3651
135000 1.36786
136000 1.43061
137000 1.40175
138000 1.40963
139000 1.40518
140000 1.41466
141000 1.45069
142000 1.45356
143000 1.48178
144000 1.48824
145000 1.49655
146000 1.50823
147000 1.56775
148000 1.55937
149000 1.56785
150000 1.51584
151000 1.507
152000 1.52796
153000 1.54292
154000 1.56216
155000 1.60964
156000 1.56212
157000 1.58474
158000 1.60093
159000 1.59533
160000 1.65643
161000 1.67767
162000 1.65595
163000 1.6819
164000 1.74488
165000 1.68421
166000 1.68262
167000 1.70766
168000 1.78512
169000 1.78219
170000 1.7032
171000 1.70643
172000 1.7454
173000 1.77165
174000 1.77833
175000 1.77997
176000 1.78676
177000 1.78334
178000 1.85975
179000 1.82921
180000 1.85945
181000 1.86677
182000 1.83535
183000 1.8551
184000 1.80879
185000 1.81474
186000 1.85296
187000 1.84832
188000 1.85681
189000 1.85988
190000 1.93794
191000 1.94261
192000 1.93618
193000 1.94398
194000 1.93178
195000 1.94949
196000 1.9139
197000 1.88914
198000 1.91488
199000 1.94566
200000 1.93936
201000 1.93426
202000 1.956
203000 1.96419
204000 2.02863
205000 1.96061
206000 1.98988
207000 2.01811
208000 2.0626
209000 2.05889
210000 2.09705
211000 2.08421
212000 2.04896
213000 2.10134
214000 2.11568
215000 2.117
216000 2.0953
217000 2.12354
218000 2.10164
219000 2.14986
220000 2.12489
221000 2.14084
222000 2.17068
223000 2.23847
224000 2.21949
225000 2.20638
226000 2.19646
227000 2.19776
228000 2.21593
229000 2.22001
230000 2.26102
231000 2.25873
232000 2.33204
233000 2.29573
234000 2.29507
235000 2.30073
236000 2.28643
237000 2.38522
238000 2.26353
239000 2.31382
240000 2.33063
241000 2.39204
242000 2.39482
243000 2.39467
244000 2.38904
245000 2.41222
246000 2.45363
247000 2.40605
248000 2.4768
249000 2.49539
250000 2.48567
251000 2.53346
252000 2.55782
253000 2.46074
254000 2.48406
255000 2.57579
256000 2.53647
257000 2.5433
258000 2.5856
259000 2.5969
260000 2.59043
261000 2.59909
262000 2.61376
263000 2.61057
264000 2.63209
265000 2.60651
266000 2.64931
267000 2.63016
268000 2.62378
269000 2.65331
270000 2.67688
271000 2.62628
272000 2.66569
273000 2.63113
274000 2.70188
275000 2.72365
276000 2.76447
277000 2.75758
278000 2.68038
279000 2.72071
280000 2.68553
281000 2.6813
282000 2.71545
283000 2.71236
284000 2.73774
285000 2.73216
286000 2.73379
287000 2.76396
288000 2.72687
289000 2.71697
290000 2.76323
291000 2.7645
292000 2.74644
293000 2.8223
294000 2.81089
295000 2.75649
296000 2.82992
297000 2.85792
