# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 5.14732e-29
51000 0.39516
52000 0.446018
53000 0.486546
54000 0.516078
55000 0.558087
56000 0.597877
57000 0.619406
58000 0.636554
59000 0.646127
60000 0.683489
61000 0.728666
62000 0.789703
63000 0.796285
64000 0.811508
65000 0.856655
66000 0.8847
67000 0.89988
68000 0.935538
69000 0.926407
70000 0.966009
71000 1.00343
72000 1.01587
73000 1.04503
74000 1.08772
75000 1.11762
76000 1.12224
77000 1.13725
78000 1.1264
79000 1.15637
80000 1.1769
81000 1.20935
82000 1.21651
83000 1.23775
84000 1.2724
85000 1.31792
86000 1.33477
87000 1.34629
88000 1.34339
89000 1.36687
90000 1.41848
91000 1.42537
92000 1.42013
93000 1.44743
94000 1.51424
95000 1.5412
96000 1.53986
97000 1.58084
98000 1.57077
99000 1.56814
100000 1.60034
101000 1.59452
102000 1.63383
103000 1.64862
104000 1.68599
105000 1.66295
106000 1.66025
107000 1.68372
108000 1.69643
109000 1.69267
110000 1.7213
111000 1.73454
112000 1.72554
113000 1.758
114000 1.77431
115000 1.77507
116000 1.79735
117000 1.78842
118000 1.82095
119000 1.81316
120000 1.84878
121000 1.84286
122000 1.84604
123000 1.85811
124000 1.89203
125000 1.8845
126000 1.90666
127000 1.92233
128000 1.91665
129000 1.93769
130000 1.93652
131000 1.97921
132000 1.95363
133000 1.99245
134000 1.97167
135000 2.00843
136000 2.04983
137000 2.02786
138000 2.04483
139000 2.06299
140000 2.06955
141000 2.08457
142000 2.09593
143000 2.09989
144000 2.12845
145000 2.14445
146000 2.12486
147000 2.15192
148000 2.17645
149000 2.1771
150000 2.19102
151000 2.18772
152000 2.21269
153000 2.21545
154000 2.20319
155000 2.20198
156000 2.23287
157000 2.2616
158000 2.24094
159000 2.26281
160000 2.29824
161000 2.30858
162000 2.30931
163000 2.31588
164000 2.35822
165000 2.37929
166000 2.38749
167000 2.3606
168000 2.37371
169000 2.38588
170000 2.41583
171000 2.41768
172000 2.39953
173000 2.43885
174000 2.41807
175000 2.43276
176000 2.46162
177000 2.45029
178000 2.48444
179000 2.48863
180000 2.50168
181000 2.51195
182000 2.52905
183000 2.50517
184000 2.51937
185000 2.51135
186000 2.54087
187000 2.56051
188000 2.55382
189000 2.60282
190000 2.60645
191000 2.60399
192000 2.60069
193000 2.59948
194000 2.61245
195000 2.63318
196000 2.63215
197000 2.65827
198000 2.65257
199000 2.65031
200000 2.68406
201000 2.70337
202000 2.7102
203000 2.69735
204000 2.68442
205000 2.69602
206000 2.74237
207000 2.74174
208000 2.73948
209000 2.77028
210000 2.75174
211000 2.75306
212000 2.76276
213000 2.76383
214000 2.8119
215000 2.77623
216000 2.7967
217000 2.766
218000 2.78042
219000 2.80945
220000 2.83259
221000 2.83426
222000 2.85136
223000 2.88562
224000 2.87505
225000 2.89541
226000 2.92577
227000 2.87233
228000 2.8943
229000 2.9262
230000 2.89724
231000 2.92197
232000 2.9395
233000 2.95351
234000 2.94579
235000 2.93662
236000 2.9585
237000 2.94001
238000 2.97366
239000 2.99043
240000 2.99178
241000 3.01376
242000 3.01368
243000 2.98727
244000 2.99574
245000 3.00931
246000 3.00998
247000 3.01911
248000 3.0551
249000 3.05043
250000 3.05893
251000 3.0559
252000 3.06713
253000 3.08148
254000 3.07619
255000 3.09173
256000 3.10651
257000 3.09061
258000 3.10681
259000 3.11459
260000 3.08656
261000 3.08262
262000 3.10448
263000 3.10049
264000 3.12038
265000 3.12021
266000 3.14283
267000 3.1408
268000 3.14672
269000 3.16205
270000 3.15654
271000 3.16037
272000 3.15629
273000 3.15141
274000 3.14157
275000 3.17904
276000 3.1668
277000 3.16409
278000 3.1882
279000 3.17247
280000 3.15216
281000 3.21076
282000 3.18141
283000 3.22239
284000 3.21389
285000 3.21897
286000 3.19934
287000 3.22612
288000 3.21545
289000 3.26445
290000 3.23192
291000 3.25054
292000 3.25452
293000 3.26689
294000 3.26684
295000 3.29051
296000 3.27847
297000 3.31683
298000 3.31191
299000 3.31398
300000 3.33632
301000 3.32811
302000 3.34489
303000 3.34917
304000 3.35957
305000 3.35028
306000 3.33179
307000 3.37569
308000 3.354
309000 3.37274
310000 3.37559
311000 3.36215
312000 3.4062
313000 3.41598
314000 3.39134
315000 3.40578
316000 3.39861
317000 3.39148
318000 3.39823
319000 3.41416
320000 3.42936
321000 3.4224
322000 3.40834
323000 3.42935
324000 3.45835
325000 3.46159
326000 3.45226
327000 3.44157
328000 3.4854
329000 3.47569
330000 3.47372
331000 3.48678
332000 3.49584
333000 3.50197
334000 3.51288
335000 3.4903
336000 3.48151
337000 3.47518
338000 3.49355
339000 3.49936
340000 3.49805
341000 3.54791
342000 3.53218
343000 3.53427
344000 3.52407
345000 3.52354
346000 3.53021
347000 3.54504
348000 3.59684
349000 3.58528
350000 3.57186
351000 3.55889
352000 3.57321
353000 3.57407
354000 3.55853
355000 3.5955
356000 3.5926
357000 3.61848
358000 3.61526
359000 3.59595
360000 3.60587
361000 3.5861
362000 3.60944
363000 3.6607
364000 3.6607
365000 3.62241
366000 3.66381
367000 3.63843
368000 3.64316
369000 3.62641
370000 3.66311
371000 3.63372
372000 3.63759
373000 3.67822
374000 3.67855
375000 3.67915
376000 3.68871
377000 3.68222
378000 3.69909
379000 3.67793
380000 3.66678
381000 3.71286
382000 3.69038
383000 3.68816
384000 3.7164
385000 3.71706
386000 3.74636
387000 3.72576
388000 3.73817
389000 3.73185
390000 3.73121
391000 3.7414
392000 3.74563
393000 3.76375
394000 3.75191
395000 3.68699
396000 3.73565
397000 3.72414
398000 3.72946
399000 3.73306
400000 3.74353
401000 3.74809
402000 3.73444
403000 3.7381
404000 3.77583
405000 3.74837
406000 3.75829
407000 3.7797
408000 3.77367
409000 3.78751
410000 3.76524
411000 3.78962
412000 3.81041
413000 3.78699
414000 3.795
415000 3.81601
416000 3.84875
417000 3.81107
418000 3.80912
419000 3.8444
420000 3.84008
421000 3.82424
422000 3.82231
423000 3.83963
424000 3.83178
425000 3.82358
426000 3.85951
427000 3.84373
428000 3.867
429000 3.85864
430000 3.853
431000 3.83889
432000 3.86376
433000 3.88831
434000 3.88831
435000 3.88316
436000 3.87084
437000 3.9223
438000 3.89079
439000 3.87895
440000 3.87823
441000 3.90187
442000 3.89251
443000 3.91696
444000 3.92842
445000 3.92934
446000 3.94516
447000 3.92094
448000 3.91559
449000 3.91692
450000 3.9158
451000 3.91911
452000 3.91273
453000 3.9272
454000 3.9095
455000 3.93642
456000 3.95427
457000 3.92881
458000 3.94288
459000 3.95799
460000 3.93481
461000 3.9494
462000 3.95399
463000 3.97476
464000 3.97639
465000 3.93103
466000 3.94736
467000 3.95051
468000 3.97259
469000 4.0127
470000 3.95825
471000 3.98833
472000 3.98577
473000 4.0254
474000 4.01563
475000 4.03398
476000 4.03543
477000 3.99486
478000 4.00263
479000 4.01546
480000 4.0058
481000 4.04509
482000 4.05464
483000 4.05486
484000 4.05502
485000 4.01812
486000 4.06044
487000 4.06734
488000 4.05986
489000 4.04804
490000 4.04168
491000 4.06677
492000 4.07059
493000 4.06604
494000 4.10035
495000 4.07566
496000 4.09947
497000 4.07888
498000 4.08069
499000 4.12372
500000 4.11402
501000 4.129
502000 4.1517
503000 4.1347
504000 4.09892
505000 4.12491
506000 4.12046
507000 4.13105
508000 4.12187
509000 4.14513
510000 4.14606
511000 4.13903
512000 4.14455
513000 4.11503
514000 4.1019
515000 4.13402
516000 4.16037
517000 4.13533
518000 4.1422
519000 4.13657
520000 4.19034
521000 4.16337
522000 4.16238
523000 4.14784
524000 4.20151
525000 4.1934
526000 4.19952
527000 4.17852
528000 4.19135
529000 4.22077
530000 4.21651
531000 4.1931
532000 4.2268
533000 4.21861
534000 4.21339
535000 4.23311
536000 4.20996
537000 4.24773
538000 4.22807
539000 4.2598
540000 4.25041
541000 4.23982
542000 4.25359
543000 4.27769
544000 4.27299
545000 4.28354
546000 4.27657
547000 4.27775
548000 4.25013
549000 4.22684
550000 4.25833
551000 4.23347
552000 4.25434
553000 4.27084
554000 4.26878
555000 4.23937
556000 4.24023
557000 4.30091
558000 4.29258
559000 4.29549
560000 4.27309
561000 4.29458
562000 4.31983
563000 4.34313
564000 4.28109
565000 4.29184
566000 4.34052
567000 4.30011
568000 4.32217
569000 4.3138
570000 4.32456
571000 4.32704
572000 4.31682
573000 4.33501
574000 4.34788
575000 4.31296
576000 4.3448
577000 4.32644
578000 4.35476
579000 4.32991
580000 4.37236
581000 4.36478
582000 4.38621
583000 4.3578
584000 4.35488
585000 4.33401
586000 4.39865
587000 4.37418
588000 4.36821
589000 4.4005
590000 4.41409
591000 4.38027
592000 4.3664
593000 4.36817
594000 4.39859
595000 4.38318
596000 4.37792
597000 4.37811
598000 4.3995
599000 4.38024
600000 4.37964
601000 4.40315
602000 4.39685
603000 4.42791
604000 4.41508
605000 4.43793
606000 4.45274
607000 4.43602
608000 4.45629
609000 4.43603
