# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 1.02622e-28
51000 1.61109
52000 2.36533
53000 2.90851
54000 3.43643
55000 4.06716
56000 4.60859
57000 5.17173
58000 5.6714
59000 6.25014
60000 6.6867
61000 7.23938
62000 7.68141
63000 8.31322
64000 8.81426
65000 9.40794
66000 9.98695
67000 10.3574
68000 10.9598
69000 11.4953
70000 12.1582
71000 12.5306
72000 13.0999
73000 13.4663
74000 14.0931
75000 14.6025
76000 14.9128
77000 15.4919
78000 16.0795
79000 16.5449
80000 17.1283
81000 17.4933
82000 17.9403
83000 18.6673
84000 19.0421
85000 19.5454
86000 20.221
87000 20.77
88000 21.2351
89000 21.6935
90000 22.1899
91000 22.5756
92000 23.0501
93000 23.5157
94000 23.9803
95000 24.4877
96000 25.0237
97000 25.4763
98000 25.9846
99000 26.2805
100000 26.6312
101000 27.2075
102000 27.6302
103000 28.1488
104000 28.6459
105000 29.2383
106000 29.6033
107000 30.1052
108000 30.4776
109000 30.9595
110000 31.4441
111000 32.0141
112000 32.744
113000 33.1739
114000 33.594
115000 33.9082
116000 34.4087
117000 34.9024
118000 35.3741
119000 35.8467
120000 36.2618
121000 36.8905
122000 37.3781
123000 37.7939
124000 38.5102
125000 38.939
126000 39.2898
127000 39.9268
128000 40.2918
129000 40.7178
130000 41.102
131000 41.9885
132000 42.4649
133000 42.9465
134000 43.4709
135000 43.7607
136000 44.3756
137000 45.0471
138000 45.4341
139000 45.935
140000 46.4464
141000 47.093
142000 47.7064
143000 48.1978
144000 48.8827
145000 49.4393
146000 50.0742
147000 50.3716
148000 51.0465
149000 51.4264
150000 51.9965
151000 52.5288
152000 53.0905
153000 53.6696
154000 53.8879
155000 54.2452
156000 54.7632
157000 55.2551
158000 55.6197
159000 56.0787
160000 56.9136
161000 57.2836
162000 57.4725
163000 58.0074
164000 58.593
165000 59.1202
166000 59.5226
167000 60.0383
168000 60.5435
169000 61.1417
170000 61.3928
171000 61.7076
172000 62.213
173000 62.6173
174000 63.0472
175000 63.7946
176000 64.1201
177000 64.5997
178000 64.9837
179000 65.5218
180000 66.0698
181000 66.3288
182000 66.8423
183000 67.3495
184000 67.8849
185000 68.3688
186000 68.848
187000 69.2072
188000 69.8617
189000 70.5774
190000 70.9784
191000 71.3779
192000 71.9301
193000 72.4219
194000 72.7115
195000 73.2529
196000 73.5412
197000 74.1587
198000 74.593
199000 74.9559
200000 75.5925
201000 75.9813
202000 76.4134
203000 77.0259
204000 77.4449
205000 78.1251
206000 78.5849
207000 79.007
208000 79.6003
209000 80.0253
210000 80.6245
211000 81.2166
212000 81.6514
213000 82.1115
214000 82.7
215000 83.2237
216000 83.6899
217000 83.8153
218000 84.6868
219000 84.85
220000 85.402
221000 85.6549
222000 86.3449
223000 86.8112
224000 87.3364
225000 88.1324
226000 88.8437
227000 89.2337
228000 89.5902
229000 90.4687
230000 90.7264
231000 91.1478
232000 91.8213
233000 92.1798
234000 92.6627
235000 93.2538
236000 93.8013
237000 94.0024
238000 94.6313
239000 95.3943
240000 95.8068
241000 96.1541
242000 96.7661
243000 97.3877
244000 98.0338
245000 98.6216
246000 98.7084
247000 99.3265
248000 99.9327
249000 100.321
250000 100.52
251000 100.887
252000 101.614
253000 101.873
254000 102.333
255000 102.676
256000 103.534
257000 104.039
258000 104.458
259000 104.876
260000 105.329
261000 105.717
262000 106.188
263000 106.628
264000 107.169
265000 107.715
266000 108.515
267000 108.857
268000 108.886
269000 109.695
270000 109.971
271000 110.643
272000 110.924
273000 111.356
274000 111.817
275000 112.128
276000 112.861
277000 113.408
278000 113.666
279000 114.135
280000 114.674
281000 115.568
282000 115.607
283000 116.026
284000 116.676
285000 116.987
286000 117.271
287000 117.844
288000 118.506
289000 119.131
290000 119.663
291000 120.186
292000 120.293
293000 120.722
294000 120.93
295000 121.572
296000 121.864
297000 122.459
298000 122.71
299000 123.277
300000 123.703
301000 123.85
302000 124.367
303000 124.708
304000 125.147
305000 125.798
306000 126.085
307000 126.575
308000 126.854
309000 127.444
310000 127.827
311000 127.909
312000 128.424
313000 129.034
314000 129.602
315000 129.706
316000 130.244
317000 130.623
318000 131.038
319000 131.534
320000 132.08
321000 132.285
322000 132.679
323000 133.217
324000 133.686
325000 133.863
326000 134.5
327000 134.878
328000 135.643
329000 136.011
330000 136.592
331000 137.048
332000 137.445
333000 137.962
334000 138.7
335000 139.191
336000 139.48
337000 139.963
338000 140.385
339000 141.04
340000 141.382
341000 141.784
342000 142.253
343000 142.584
344000 142.956
345000 143.495
346000 144.253
347000 144.711
348000 145.538
349000 146.013
350000 146.532
351000 146.897
352000 147.579
353000 147.817
354000 148.495
355000 148.723
356000 149.056
357000 149.629
358000 150.197
359000 150.539
360000 151.251
361000 151.476
362000 152.176
363000 152.376
364000 153.101
365000 153.413
366000 154.331
367000 154.749
368000 155.231
369000 155.514
370000 155.926
371000 156.296
372000 156.667
373000 157.383
374000 158.06
375000 158.215
376000 158.8
377000 159.35
378000 159.669
379000 160.307
380000 160.689
381000 161.338
382000 161.719
383000 162.446
384000 162.603
385000 163.147
386000 163.489
387000 164.213
388000 164.602
389000 165.287
390000 165.74
391000 166.087
392000 166.465
393000 167.016
394000 167.77
395000 168.314
396000 168.573
397000 169.176
398000 169.934
399000 170.238
400000 170.83
401000 170.989
402000 171.896
403000 172.234
404000 172.747
405000 173.652
406000 174.106
407000 174.36
408000 174.61
409000 175.48
410000 175.574
411000 175.784
412000 176.76
413000 177.321
414000 177.624
415000 178.151
416000 178.343
417000 179.368
418000 179.808
419000 180.456
420000 180.532
421000 181.392
422000 181.926
423000 182.55
424000 183.549
425000 183.77
426000 184.133
427000 184.525
428000 184.688
429000 185.253
430000 185.71
431000 186.603
432000 187.041
433000 187.426
434000 187.916
435000 188.644
436000 188.994
437000 189.724
438000 190.019
439000 190.741
440000 191.286
441000 192.119
442000 192.256
443000 192.788
444000 193.184
445000 193.541
446000 194.309
447000 194.946
448000 195.78
449000 196.185
450000 196.619
451000 197.002
452000 197.413
453000 197.855
454000 198.343
455000 198.646
456000 199.249
457000 199.388
458000 200.161
459000 200.341
460000 200.607
461000 201.036
462000 201.666
463000 202.047
464000 202.83
465000 203.147
466000 203.771
467000 204.149
468000 204.37
469000 204.822
470000 205.851
471000 206.496
472000 206.96
473000 207.473
474000 208.044
475000 208.752
476000 209.039
477000 209.504
478000 209.969
479000 210.289
480000 210.563
481000 211.273
482000 211.651
483000 212.053
484000 212.576
485000 213.447
486000 213.955
487000 214.83
488000 215.204
489000 215.733
490000 216.4
491000 216.649
492000 217.206
493000 217.72
494000 218.042
495000 218.578
496000 218.902
497000 219.617
498000 220.113
499000 220.551
500000 220.898
501000 221.513
502000 222.201
503000 222.894
504000 223.211
505000 223.702
506000 224.741
507000 225.072
508000 225.7
509000 225.816
