# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
50000 3.9443e-31
51000 0.986068
52000 1.26917
53000 1.5135
54000 1.75722
55000 1.96386
56000 2.19657
57000 2.42261
58000 2.66194
59000 2.84112
60000 3.02591
61000 3.1648
62000 3.44759
63000 3.59042
64000 3.78151
65000 3.94804
66000 4.15925
67000 4.34562
68000 4.54251
69000 4.70065
70000 4.90256
71000 5.07626
72000 5.27539
73000 5.52254
74000 5.72695
75000 5.90974
76000 6.02304
77000 6.14425
78000 6.25532
79000 6.44084
80000 6.5528
81000 6.75175
82000 6.82428
83000 7.03734
84000 7.09611
85000 7.25995
86000 7.35553
87000 7.49914
88000 7.71655
89000 7.82888
90000 7.94203
91000 8.16179
92000 8.27431
93000 8.38822
94000 8.51529
95000 8.67966
96000 8.76839
97000 8.93274
98000 9.11151
99000 9.25645
100000 9.35306
101000 9.50397
102000 9.62846
103000 9.85676
104000 10.1142
105000 10.2313
106000 10.2973
107000 10.3987
108000 10.5951
109000 10.7709
110000 10.8977
111000 11.011
112000 11.1052
113000 11.2494
114000 11.3884
115000 11.5523
116000 11.6573
117000 11.823
118000 12.0275
119000 12.1363
120000 12.2093
121000 12.3237
122000 12.4501
123000 12.6143
124000 12.789
125000 12.8193
126000 12.9347
127000 13.0636
128000 13.1656
129000 13.2676
130000 13.3937
131000 13.4695
132000 13.6666
133000 13.792
134000 13.9536
135000 14.1603
136000 14.2865
137000 14.3638
138000 14.4398
139000 14.5005
140000 14.5999
141000 14.6857
142000 14.8324
143000 14.9043
144000 15.1084
145000 15.2159
146000 15.3683
147000 15.442
148000 15.5863
149000 15.7112
150000 15.8106
151000 15.9023
152000 16.0113
153000 16.2109
154000 16.3302
155000 16.4467
156000 16.4857
157000 16.7256
158000 16.8456
159000 17.0032
160000 16.9938
161000 17.2004
162000 17.3725
163000 17.5571
164000 17.6764
165000 17.8043
166000 17.9055
167000 17.9306
168000 18.0233
169000 18.0944
170000 18.2874
171000 18.5012
172000 18.656
173000 18.6755
174000 18.6982
175000 18.8619
176000 19.0177
177000 19.1955
178000 19.2085
179000 19.2775
180000 19.3942
181000 19.5261
182000 19.5856
183000 19.738
184000 19.8444
185000 20.0279
186000 20.0072
187000 20.1469
188000 20.372
189000 20.5164
190000 20.6762
191000 20.6816
192000 20.8093
193000 20.8839
194000 20.9124
195000 20.9944
196000 21.1523
197000 21.3602
198000 21.3503
199000 21.4578
200000 21.5836
201000 21.6518
202000 21.7786
203000 21.864
204000 21.9982
205000 22.1779
206000 22.3093
207000 22.4637
208000 22.632
209000 22.6944
210000 22.6987
211000 22.9978
212000 23.0506
213000 23.17
214000 23.2983
215000 23.3461
216000 23.4745
217000 23.6362
218000 23.7092
219000 23.7169
220000 23.8277
221000 24.0716
222000 24.1856
223000 24.3578
224000 24.537
225000 24.4541
226000 24.7199
227000 24.7888
228000 24.83
229000 25.046
230000 25.1589
231000 25.2027
232000 25.3423
233000 25.4937
234000 25.4333
235000 25.564
236000 25.6261
237000 25.7668
238000 25.8668
239000 26.0901
240000 26.1236
241000 26.2748
242000 26.3775
243000 26.4973
244000 26.4913
245000 26.7186
246000 26.6683
247000 26.8825
248000 26.8837
249000 27.1149
250000 27.2234
251000 27.3465
252000 27.3886
253000 27.4701
254000 27.6908
255000 27.6915
256000 27.7839
257000 27.9269
258000 28.046
259000 28.163
260000 28.308
261000 28.4683
262000 28.5343
263000 28.6236
264000 28.6765
265000 28.7602
266000 28.8734
267000 28.973
268000 29.1524
