# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 2.02354e-28
51000 0.397049
52000 0.423025
53000 0.485038
54000 0.514574
55000 0.538528
56000 0.599986
57000 0.634147
58000 0.675403
59000 0.712432
60000 0.718045
61000 0.762403
62000 0.782428
63000 0.839428
64000 0.842689
65000 0.857269
66000 0.894735
67000 0.924242
68000 0.951631
69000 0.999086
70000 1.00824
71000 1.01835
72000 1.02335
73000 1.05254
74000 1.06875
75000 1.11055
76000 1.09925
77000 1.1568
78000 1.16923
79000 1.18705
80000 1.19724
81000 1.20496
82000 1.24414
83000 1.28815
84000 1.29134
85000 1.31518
86000 1.3308
87000 1.33473
88000 1.35168
89000 1.36542
90000 1.39283
91000 1.42176
92000 1.45265
93000 1.44678
94000 1.47537
95000 1.48103
96000 1.50269
97000 1.52764
98000 1.53866
99000 1.5233
100000 1.56813
101000 1.55732
102000 1.58379
103000 1.57626
104000 1.61951
105000 1.63829
106000 1.63943
107000 1.67307
108000 1.64984
109000 1.66271
110000 1.69672
111000 1.71111
112000 1.73197
113000 1.72494
114000 1.74551
115000 1.7808
116000 1.77253
117000 1.77671
118000 1.78685
119000 1.81233
120000 1.84353
121000 1.83999
122000 1.87247
123000 1.86847
124000 1.89295
125000 1.91847
126000 1.94196
127000 1.92011
128000 1.92211
129000 1.93182
130000 1.94107
131000 1.97582
132000 1.97033
133000 1.99685
134000 1.97789
135000 2.03501
136000 2.04201
137000 2.02736
138000 2.01907
139000 2.06776
140000 2.08361
141000 2.09011
142000 2.08334
143000 2.08368
144000 2.0887
145000 2.10707
146000 2.09802
147000 2.08712
148000 2.12253
149000 2.12645
150000 2.14139
151000 2.13659
152000 2.15428
153000 2.21123
154000 2.20101
155000 2.17651
156000 2.19186
157000 2.17954
158000 2.22711
159000 2.24662
160000 2.24077
161000 2.25283
162000 2.26845
163000 2.27665
164000 2.27387
165000 2.28236
166000 2.27566
167000 2.29508
168000 2.30612
169000 2.33572
170000 2.32758
171000 2.32187
172000 2.34244
173000 2.34071
174000 2.37917
175000 2.37634
176000 2.37979
177000 2.37839
