# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 5.12528e-29
51000 0.487047
52000 0.568103
53000 0.620902
54000 0.650898
55000 0.689596
56000 0.706313
57000 0.756062
58000 0.814799
59000 0.823988
60000 0.838093
61000 0.88358
62000 0.923878
63000 0.958064
64000 0.984383
65000 1.01287
66000 1.02039
67000 1.0794
68000 1.12978
69000 1.12727
70000 1.1687
71000 1.18161
72000 1.19806
73000 1.2575
74000 1.28958
75000 1.29582
76000 1.31154
77000 1.3331
78000 1.36843
79000 1.37886
80000 1.36757
81000 1.44113
82000 1.4862
83000 1.53319
84000 1.53646
85000 1.56135
86000 1.59803
87000 1.62417
88000 1.6755
89000 1.6957
90000 1.67046
91000 1.6828
92000 1.69811
93000 1.73912
94000 1.76721
95000 1.7896
96000 1.83163
97000 1.85668
98000 1.9239
99000 1.97408
100000 1.98466
101000 1.97618
102000 2.01211
103000 2.0675
104000 2.05967
105000 2.08099
106000 2.06902
107000 2.08986
108000 2.11625
109000 2.13867
110000 2.15072
111000 2.16589
112000 2.22714
113000 2.227
114000 2.22715
115000 2.25616
116000 2.28645
117000 2.31976
118000 2.35248
119000 2.33367
120000 2.35927
121000 2.39373
122000 2.40544
123000 2.40829
124000 2.43147
125000 2.44099
126000 2.42299
127000 2.47088
128000 2.48149
129000 2.52846
130000 2.52455
131000 2.55847
132000 2.57115
133000 2.60068
134000 2.62281
135000 2.65058
136000 2.67391
137000 2.68406
138000 2.6929
139000 2.74127
140000 2.69133
141000 2.76529
142000 2.78514
143000 2.7972
144000 2.78367
145000 2.80783
146000 2.83967
147000 2.83875
148000 2.86793
149000 2.89669
150000 2.92736
151000 2.91215
152000 2.92521
153000 2.96602
154000 2.95678
155000 2.97334
156000 2.97359
157000 2.99843
158000 3.00849
159000 3.03899
160000 3.05583
161000 3.0667
162000 3.12
163000 3.13845
164000 3.16761
165000 3.15311
166000 3.19991
167000 3.19479
168000 3.2254
169000 3.22945
170000 3.24002
171000 3.26371
172000 3.30138
173000 3.29833
174000 3.28141
175000 3.31843
176000 3.3726
177000 3.37866
178000 3.38962
179000 3.41954
180000 3.42714
181000 3.45021
182000 3.44582
183000 3.45217
184000 3.4542
185000 3.48725
186000 3.51158
187000 3.50518
188000 3.51929
189000 3.54613
190000 3.55449
191000 3.57923
192000 3.56977
193000 3.60421
194000 3.61187
195000 3.64291
196000 3.60367
197000 3.62994
198000 3.64867
199000 3.66394
200000 3.6465
201000 3.6572
202000 3.66654
203000 3.68721
204000 3.7211
205000 3.74816
206000 3.71792
207000 3.73507
208000 3.80224
209000 3.79503
210000 3.78295
211000 3.7782
212000 3.81915
213000 3.82273
214000 3.86213
215000 3.82129
216000 3.87166
217000 3.87466
218000 3.94383
219000 3.92688
220000 3.92445
221000 3.96054
222000 3.95568
223000 3.96198
224000 3.94586
225000 4.00179
226000 3.94632
227000 3.98822
228000 4.01945
229000 4.03557
230000 4.04101
231000 4.06759
232000 4.00123
233000 4.05207
234000 4.064
235000 4.05326
236000 4.08061
237000 4.09937
238000 4.12153
239000 4.10611
240000 4.07867
241000 4.14372
242000 4.15648
243000 4.1742
244000 4.19
245000 4.17852
246000 4.18972
247000 4.21892
248000 4.21635
249000 4.20387
250000 4.22858
251000 4.21538
252000 4.23285
253000 4.25489
254000 4.26512
255000 4.25891
256000 4.30259
257000 4.32973
258000 4.3368
259000 4.32331
260000 4.34938
261000 4.3876
262000 4.37502
263000 4.40419
264000 4.44393
265000 4.47623
266000 4.45975
267000 4.51548
268000 4.46779
269000 4.53421
270000 4.50596
271000 4.51827
272000 4.51691
273000 4.51344
274000 4.55038
275000 4.55799
276000 4.58254
277000 4.56728
278000 4.54472
279000 4.59304
280000 4.60301
281000 4.58707
282000 4.62252
283000 4.55601
284000 4.63617
285000 4.65235
286000 4.63466
287000 4.63733
288000 4.64151
289000 4.63769
290000 4.64292
291000 4.678
292000 4.7056
293000 4.67888
294000 4.71219
295000 4.70666
296000 4.73003
297000 4.70031
298000 4.75166
299000 4.77724
300000 4.72734
301000 4.76146
302000 4.79481
303000 4.795
304000 4.77666
305000 4.81579
306000 4.79577
307000 4.80869
308000 4.81617
309000 4.84426
310000 4.84497
311000 4.87891
312000 4.83587
313000 4.86642
314000 4.87691
315000 4.88467
316000 4.87757
317000 4.94481
318000 4.88266
319000 4.89699
320000 4.90314
321000 4.9529
322000 4.93981
323000 4.9183
324000 4.94601
325000 4.95739
326000 4.97787
327000 5.0066
328000 4.97563
329000 4.99333
330000 5.0288
331000 5.06483
332000 5.00571
333000 5.02396
334000 5.02276
335000 5.01785
336000 5.00404
337000 4.97637
338000 4.98557
339000 5.03358
340000 5.04137
341000 5.04533
342000 5.03202
343000 5.06679
344000 5.06666
345000 5.07022
346000 5.10546
347000 5.06729
348000 5.12088
349000 5.15531
350000 5.12225
351000 5.13495
352000 5.15335
353000 5.14835
354000 5.20371
355000 5.1875
356000 5.20276
357000 5.20447
358000 5.25225
359000 5.23715
360000 5.26524
361000 5.23918
362000 5.2587
363000 5.22197
364000 5.29315
365000 5.27296
366000 5.25462
367000 5.27428
368000 5.30163
369000 5.27324
370000 5.31648
371000 5.31218
372000 5.31105
373000 5.30326
374000 5.2895
375000 5.32656
376000 5.39657
377000 5.42526
378000 5.36229
379000 5.37472
380000 5.39074
381000 5.43259
382000 5.4193
383000 5.38967
384000 5.3809
385000 5.44355
386000 5.44569
387000 5.38166
388000 5.4688
389000 5.47106
390000 5.4436
391000 5.44521
392000 5.46579
393000 5.50272
394000 5.497
395000 5.48763
396000 5.49362
397000 5.47351
398000 5.49781
399000 5.54189
400000 5.53848
401000 5.55357
402000 5.55516
403000 5.53458
404000 5.56721
405000 5.59575
406000 5.63637
407000 5.63226
408000 5.57927
409000 5.62954
410000 5.64105
411000 5.6651
412000 5.65466
413000 5.65926
414000 5.61399
415000 5.67618
416000 5.69437
417000 5.70143
418000 5.65395
419000 5.69127
420000 5.69963
421000 5.71332
422000 5.74803
423000 5.70814
424000 5.72124
425000 5.71834
426000 5.74374
