# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
10050000 2.02563e-28
10051000 0.262947
10052000 0.266729
10053000 0.264429
10054000 0.274475
10055000 0.269622
10056000 0.286881
10057000 0.29344
10058000 0.291547
10059000 0.299542
10060000 0.298627
10061000 0.299208
10062000 0.294746
10063000 0.307307
10064000 0.289459
10065000 0.290565
10066000 0.294891
10067000 0.302624
10068000 0.298598
10069000 0.295321
10070000 0.302873
10071000 0.302602
10072000 0.295664
10073000 0.317371
10074000 0.321646
10075000 0.310436
10076000 0.306551
10077000 0.30321
10078000 0.302479
10079000 0.311342
10080000 0.303341
10081000 0.297474
10082000 0.304516
10083000 0.307576
10084000 0.312284
10085000 0.310562
10086000 0.323362
10087000 0.322071
10088000 0.323889
10089000 0.319661
10090000 0.317711
10091000 0.325941
10092000 0.313804
10093000 0.326141
10094000 0.321856
10095000 0.329553
10096000 0.330675
10097000 0.32661
10098000 0.332323
10099000 0.331843
10100000 0.325225
10101000 0.33491
10102000 0.333421
10103000 0.333408
10104000 0.335528
10105000 0.34036
10106000 0.346504
10107000 0.329627
10108000 0.339705
10109000 0.344233
10110000 0.345215
10111000 0.349171
10112000 0.346462
10113000 0.339407
10114000 0.342267
10115000 0.339902
10116000 0.339171
10117000 0.336575
10118000 0.340729
10119000 0.343386
10120000 0.342459
10121000 0.353079
10122000 0.35076
10123000 0.357054
10124000 0.348785
10125000 0.345951
10126000 0.344123
10127000 0.353159
10128000 0.352606
10129000 0.340862
10130000 0.337482
10131000 0.339158
10132000 0.333404
10133000 0.353354
10134000 0.342741
10135000 0.349249
10136000 0.352381
10137000 0.349572
10138000 0.355262
10139000 0.373018
10140000 0.368017
10141000 0.351506
10142000 0.358783
10143000 0.354567
10144000 0.355084
10145000 0.343628
10146000 0.356979
10147000 0.353519
10148000 0.35532
10149000 0.350897
10150000 0.358828
10151000 0.352347
10152000 0.353219
10153000 0.353888
10154000 0.351996
10155000 0.349334
10156000 0.348419
10157000 0.356031
10158000 0.349382
10159000 0.359683
10160000 0.355056
10161000 0.360852
10162000 0.365986
10163000 0.36199
10164000 0.361537
10165000 0.368888
10166000 0.368635
10167000 0.370125
10168000 0.362567
10169000 0.367761
10170000 0.362634
10171000 0.372844
10172000 0.370045
10173000 0.375339
10174000 0.374085
10175000 0.365964
10176000 0.36947
10177000 0.369479
10178000 0.377905
10179000 0.39313
10180000 0.389742
