# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
50000 5.1059e-29
51000 0.177283
52000 0.19361
53000 0.202111
54000 0.22018
55000 0.230157
56000 0.23945
57000 0.254971
58000 0.25597
59000 0.271304
60000 0.265962
61000 0.284296
62000 0.286858
63000 0.312284
64000 0.311863
65000 0.317651
66000 0.309091
67000 0.315435
68000 0.340983
69000 0.349825
70000 0.335874
71000 0.332052
72000 0.352665
73000 0.368132
74000 0.372982
75000 0.354669
76000 0.380653
77000 0.379607
78000 0.388592
79000 0.389051
80000 0.392967
81000 0.407675
82000 0.412703
83000 0.399714
84000 0.419006
85000 0.424033
86000 0.406636
87000 0.418883
88000 0.431408
89000 0.430476
90000 0.438338
91000 0.431916
92000 0.463036
93000 0.450251
94000 0.457805
95000 0.477215
96000 0.47006
97000 0.47849
98000 0.463295
99000 0.471001
100000 0.472852
101000 0.474156
102000 0.485133
103000 0.49406
104000 0.506602
105000 0.517039
106000 0.529323
107000 0.499973
108000 0.526692
109000 0.549514
110000 0.554876
111000 0.53881
112000 0.534222
113000 0.534999
114000 0.566221
115000 0.577855
116000 0.567451
117000 0.573283
118000 0.576329
119000 0.577585
120000 0.593287
121000 0.608028
122000 0.588852
123000 0.603837
124000 0.610832
125000 0.619871
126000 0.588251
127000 0.603534
128000 0.618
129000 0.597821
130000 0.612677
131000 0.627625
132000 0.61841
133000 0.618445
134000 0.625032
135000 0.62998
136000 0.638705
137000 0.627519
138000 0.641334
139000 0.650994
140000 0.664249
141000 0.660854
142000 0.656427
143000 0.661399
144000 0.673549
145000 0.671848
146000 0.652986
147000 0.692793
148000 0.693675
149000 0.709509
150000 0.676326
151000 0.680607
152000 0.695369
153000 0.695932
154000 0.702564
155000 0.721903
156000 0.71921
157000 0.726523
158000 0.725276
159000 0.713282
160000 0.71747
161000 0.743112
162000 0.725653
163000 0.744255
164000 0.705939
165000 0.726818
166000 0.738665
167000 0.750214
168000 0.744885
169000 0.739555
170000 0.736366
171000 0.746143
172000 0.770929
173000 0.763462
174000 0.757997
175000 0.759524
176000 0.763713
177000 0.774139
178000 0.748526
179000 0.748974
180000 0.761925
181000 0.768147
182000 0.778072
183000 0.767481
184000 0.780804
185000 0.777628
186000 0.7888
187000 0.777416
188000 0.771577
189000 0.781428
190000 0.814033
191000 0.802178
192000 0.783035
193000 0.772137
194000 0.799991
195000 0.809495
196000 0.795351
197000 0.803897
198000 0.810534
199000 0.797091
200000 0.80036
201000 0.816675
202000 0.82284
203000 0.824859
204000 0.834249
205000 0.827416
206000 0.824875
207000 0.844427
208000 0.853059
209000 0.874785
210000 0.849101
211000 0.858561
212000 0.843124
213000 0.860972
214000 0.847962
215000 0.85316
216000 0.83236
217000 0.867621
218000 0.84947
219000 0.859023
220000 0.839354
221000 0.864935
222000 0.889609
223000 0.904222
224000 0.881301
225000 0.883974
226000 0.876589
227000 0.893053
228000 0.886996
229000 0.895707
