# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 8.1529626722e-06 
2.75 3.2933262109e-04 
2.85 0.0018450628 
2.95 0.0118277576 
3.05 0.0533936532 
3.15 0.1723383184 
3.25 0.4330729355 
3.35 0.8559975731 
3.45 1.3854020987 
3.55 1.8863580057 
3.65 2.247567028 
3.75 2.4320323136 
3.85 2.4973661969 
3.95 2.4569985675 
4.05 2.3392254234 
4.15 2.1684718299 
4.25 1.9400042464 
4.35 1.6818779771 
4.45 1.4319527837 
4.55 1.1986512348 
4.65 1.0043150789 
4.75 0.8529241671 
4.85 0.7366674677 
4.95 0.6603962093 
5.05 0.602119803 
5.15 0.5684850047 
5.25 0.5455904801 
5.35 0.5350777002 
5.45 0.5382057695 
5.55 0.546874218 
5.65 0.5634832354 
5.75 0.5866437062 
5.85 0.6182014326 
5.95 0.6537706125 
6.05 0.6987744807 
6.15 0.7499606889 
6.25 0.8106735047 
6.35 0.8749682337 
6.45 0.9455964514 
6.55 1.0211200858 
6.65 1.0929916719 
6.75 1.1639989658 
6.85 1.2220554441 
6.95 1.271504517 
7.05 1.3010822613 
7.15 1.3153943871 
7.25 1.3131025559 
7.35 1.3010688328 
7.45 1.2771698247 
7.55 1.2462373451 
7.65 1.2098859552 
7.75 1.170951496 
7.85 1.1282882125 
7.95 1.089708794 
8.05 1.0505434567 
8.15 1.0189213548 
8.25 0.9874956375 
8.35 0.9583131348 
8.45 0.9317355087 
8.55 0.9093219513 
8.65 0.8889414261 
8.75 0.8733294552 
8.85 0.860361251 
8.95 0.8497813003 
9.05 0.8455679002 
9.15 0.8452277924 
9.25 0.8529141943 
9.35 0.8656416413 
9.45 0.8833209564 
9.55 0.905266059 
9.65 0.9322428735 
9.75 0.9634378314 
9.85 0.9913294653 
9.95 1.0258416558 
