# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 2.0840007369e-05 
2.05 0.0036938868 
2.15 0.0921885399 
2.25 0.5854336079 
2.35 1.4836049112 
2.45 2.0146206173 
2.55 1.8426596519 
2.65 1.3649637032 
2.75 0.9408259076 
2.85 0.6936391157 
2.95 0.6946270283 
3.05 0.8433568487 
3.15 0.9854262221 
3.25 1.080433066 
3.35 1.1487748526 
3.45 1.1891570695 
3.55 1.1911759084 
3.65 1.1636660151 
3.75 1.1223108109 
3.85 1.0907861337 
3.95 1.0654539595 
4.05 1.0457657952 
4.15 1.0257665009 
4.25 1.0009281227 
4.35 0.9738478469 
4.45 0.9518261806 
4.55 0.9424064271 
4.65 0.967610856 
4.75 1.0537632619 
4.85 1.0946235291 
4.95 1.0195081657 
5.05 0.9378386094 
5.15 0.9070918528 
5.25 0.908917053 
5.35 0.9245211983 
5.45 0.9425440586 
5.55 0.96081817 
5.65 0.9763292458 
5.75 0.9867638653 
5.85 0.993941681 
5.95 0.9962854307 
6.05 0.9989011597 
6.15 1.00313872 
6.25 1.0104369511 
6.35 1.0212445804 
6.45 1.0343869416 
6.55 1.0470167323 
6.65 1.0552754555 
6.75 1.0567577158 
6.85 1.051944674 
6.95 1.042356099 
7.05 1.0278015973 
7.15 1.011873887 
7.25 0.9962860234 
7.35 0.984978183 
7.45 0.9783887796 
7.55 0.9746442755 
7.65 0.9756924019 
7.75 0.9789259717 
7.85 0.982696007 
7.95 0.9866059935 
8.05 0.9891450428 
8.15 0.9912829432 
8.25 0.9922324755 
8.35 0.9922986272 
8.45 0.9922086961 
8.55 0.991262256 
8.65 0.9917720471 
8.75 0.9925136797 
8.85 0.9939199907 
8.95 0.9947777195 
9.05 0.9968483347 
9.15 0.9994303424 
9.25 1.0024917961 
9.35 1.0055383098 
9.45 1.0089226921 
9.55 1.0111889256 
9.65 1.0128639982 
9.75 1.0137713461 
9.85 1.0128739718 
9.95 1.0134400901 
