# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 1.5948790677e-04 
2.25 0.0993365579 
2.35 1.6864820603 
2.45 3.4039665799 
2.55 2.0399594974 
2.65 0.7488252251 
2.75 0.2934478263 
2.85 0.2547255516 
2.95 0.5407194554 
3.05 0.9725706238 
3.15 1.3013821198 
3.25 1.4731046523 
3.35 1.5366726294 
3.45 1.5084270049 
3.55 1.404999613 
3.65 1.2699871359 
3.75 1.1384703902 
3.85 1.0410718898 
3.95 0.9693931894 
4.05 0.9201700385 
4.15 0.8799421938 
4.25 0.8479377725 
4.35 0.8260044668 
4.45 0.804447644 
4.55 0.8056808963 
4.65 0.8904900808 
4.75 1.1043618724 
4.85 1.2135105322 
4.95 1.0623357482 
5.05 0.8878070618 
5.15 0.8167747261 
5.25 0.8135444462 
5.35 0.8350475348 
5.45 0.8611411203 
5.55 0.8850818172 
5.65 0.9057959097 
5.75 0.922458625 
5.85 0.9387478437 
5.95 0.9559599708 
6.05 0.9759210105 
6.15 0.9990832623 
6.25 1.0235365257 
6.35 1.0509654879 
6.45 1.0745242404 
6.55 1.0941871494 
6.65 1.1115403563 
6.75 1.122726733 
6.85 1.1312612077 
6.95 1.1353214453 
7.05 1.1362573339 
7.15 1.1300947701 
7.25 1.1078042206 
7.35 1.0700988392 
7.45 1.0317459904 
7.55 1.0036439663 
7.65 0.9885802347 
7.75 0.9793877564 
7.85 0.9732304949 
7.95 0.9657879851 
8.05 0.9593341433 
8.15 0.95066177 
8.25 0.9439488781 
8.35 0.9372667703 
8.45 0.9323311266 
8.55 0.9288489094 
8.65 0.9300078616 
8.75 0.9346114071 
8.85 0.9417681359 
8.95 0.9516554365 
9.05 0.9638250337 
9.15 0.9768504595 
9.25 0.9911434992 
9.35 1.0047171119 
9.45 1.0177720308 
9.55 1.029530216 
9.65 1.038002924 
9.75 1.0433405494 
9.85 1.0467663561 
9.95 1.0498084089 
