# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 7.3146807478e-07 
2.45 8.9506755019e-05 
2.55 0.0047282707 
2.65 0.0445228634 
2.75 0.1153229955 
2.85 0.2611810058 
2.95 0.6970948587 
3.05 1.2894170371 
3.15 1.7339154912 
3.25 1.965266837 
3.35 2.0505809715 
3.45 2.0129475201 
3.55 1.8742028537 
3.65 1.6925448653 
3.75 1.5147642442 
3.85 1.3811894543 
3.95 1.2805117434 
4.05 1.2066730123 
4.15 1.1396104462 
4.25 1.0693742934 
4.35 1.0011994952 
4.45 0.9419101101 
4.55 0.9076554005 
4.65 0.9492027449 
4.75 1.1259965282 
4.85 1.1915960578 
4.95 0.9791503703 
5.05 0.7512116786 
5.15 0.6387958032 
5.25 0.6036927828 
5.35 0.6019675136 
5.45 0.6147791272 
5.55 0.6381731531 
5.65 0.6721876635 
5.75 0.7135466713 
5.85 0.764702786 
5.95 0.8229325336 
6.05 0.888819724 
6.15 0.9581657664 
6.25 1.0251726044 
6.35 1.0884021313 
6.45 1.1409106253 
6.55 1.1816289094 
6.65 1.2123996258 
6.75 1.2265270809 
6.85 1.2310891558 
6.95 1.2273699914 
7.05 1.2143082604 
7.15 1.1951293227 
7.25 1.1725770048 
7.35 1.1467838242 
7.45 1.121222605 
7.55 1.092947029 
7.65 1.0679661013 
7.75 1.0433145525 
7.85 1.018157678 
7.95 0.9907320334 
8.05 0.9633354609 
8.15 0.9348133557 
8.25 0.9089086028 
8.35 0.8854149954 
8.45 0.8657140872 
8.55 0.8508677217 
8.65 0.8451220943 
8.75 0.8463735848 
8.85 0.8551818623 
8.95 0.8696684821 
9.05 0.8900115974 
9.15 0.9138691663 
9.25 0.9413453107 
9.35 0.9689285378 
9.45 0.9960897338 
9.55 1.0206655431 
9.65 1.0411883686 
9.75 1.0573306893 
9.85 1.069843815 
9.95 1.0798363427 
