# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 6.38049e-31
51000 0.618707
52000 0.741662
53000 0.811705
54000 0.903069
55000 0.999032
56000 1.07865
57000 1.16179
58000 1.21202
59000 1.2788
60000 1.34186
61000 1.41351
62000 1.43232
63000 1.53318
64000 1.50411
65000 1.6059
66000 1.63896
67000 1.67724
68000 1.75489
69000 1.80648
70000 1.85991
71000 1.87961
72000 1.9229
73000 1.95692
74000 1.98968
75000 2.02794
76000 2.11436
77000 2.16438
78000 2.19841
79000 2.23101
80000 2.28307
81000 2.30431
82000 2.36909
83000 2.33393
84000 2.42626
85000 2.47266
86000 2.48795
87000 2.52769
88000 2.59166
89000 2.59547
90000 2.65721
91000 2.69522
92000 2.77041
93000 2.82419
94000 2.86755
95000 2.9467
96000 2.97747
97000 3.03536
98000 3.0163
99000 3.04328
100000 3.08747
101000 3.12865
102000 3.18637
103000 3.21292
104000 3.25061
105000 3.28401
106000 3.3187
107000 3.31112
108000 3.43115
109000 3.4751
110000 3.48044
111000 3.49236
112000 3.5356
113000 3.55429
114000 3.61569
115000 3.68624
116000 3.70802
117000 3.74028
118000 3.77059
119000 3.81397
120000 3.82741
121000 3.90843
122000 3.8552
123000 3.94458
124000 3.96064
125000 3.92302
126000 3.9443
127000 3.9886
128000 4.03265
129000 4.03684
130000 4.09507
131000 4.1686
132000 4.12698
133000 4.18577
134000 4.19096
135000 4.25189
136000 4.30052
137000 4.32165
138000 4.35209
139000 4.37443
140000 4.45791
141000 4.42461
142000 4.4719
143000 4.46922
144000 4.5378
145000 4.55117
146000 4.53862
147000 4.57709
148000 4.67319
149000 4.73496
150000 4.68946
151000 4.74666
152000 4.74731
153000 4.77798
154000 4.80954
155000 4.87847
156000 4.91742
157000 4.96104
158000 4.9189
159000 4.94872
160000 4.9783
161000 5.04805
162000 5.00159
163000 5.02497
164000 5.05414
165000 5.08126
166000 5.15852
167000 5.14017
168000 5.13699
169000 5.18163
170000 5.17934
171000 5.19299
172000 5.28454
173000 5.3447
174000 5.35572
175000 5.36664
176000 5.42825
177000 5.39703
178000 5.4734
179000 5.4624
180000 5.49245
181000 5.53007
182000 5.56674
183000 5.55676
184000 5.58854
185000 5.60303
186000 5.64841
187000 5.65098
188000 5.6824
189000 5.71792
190000 5.78684
191000 5.80631
192000 5.79521
193000 5.83989
194000 5.83513
195000 5.90982
196000 5.89142
197000 5.91742
198000 5.92581
199000 5.96875
200000 6.00086
201000 6.07069
202000 6.11015
203000 6.12654
204000 6.13567
205000 6.12345
206000 6.17334
207000 6.21032
208000 6.27844
209000 6.28889
210000 6.2473
211000 6.35384
212000 6.36064
213000 6.35854
214000 6.4128
215000 6.46515
216000 6.47294
217000 6.54612
218000 6.55305
219000 6.58928
220000 6.58343
221000 6.67357
222000 6.75307
223000 6.76119
224000 6.77161
225000 6.80165
226000 6.78243
227000 6.86108
228000 6.86981
229000 6.87587
230000 6.95544
231000 6.96808
232000 6.99408
233000 7.00413
234000 6.99139
235000 7.00013
236000 7.05043
237000 7.08882
238000 7.10742
239000 7.14133
240000 7.13823
241000 7.13286
242000 7.14286
243000 7.19589
244000 7.25661
245000 7.22506
246000 7.23872
247000 7.27782
248000 7.31031
249000 7.33873
250000 7.36923
251000 7.35891
252000 7.37854
253000 7.4291
254000 7.42964
255000 7.45875
256000 7.50684
257000 7.54939
258000 7.58358
259000 7.62377
260000 7.58403
261000 7.63456
262000 7.7158
263000 7.71064
264000 7.74967
265000 7.74472
266000 7.72723
267000 7.79956
268000 7.79538
269000 7.81333
270000 7.78973
271000 7.84137
272000 7.91517
273000 7.86345
274000 7.9208
275000 7.96987
276000 7.95091
277000 7.99732
278000 8.03571
279000 8.03164
280000 8.00981
281000 8.02596
282000 8.0562
283000 8.09105
284000 8.07095
285000 8.22283
286000 8.18004
287000 8.18476
288000 8.25148
289000 8.26521
290000 8.26373
291000 8.25015
292000 8.27822
293000 8.31042
294000 8.34295
295000 8.36781
296000 8.37402
297000 8.30524
298000 8.37852
299000 8.36373
300000 8.4232
301000 8.42756
302000 8.48827
303000 8.53783
304000 8.5082
305000 8.57736
306000 8.57274
307000 8.60854
308000 8.61238
309000 8.66906
310000 8.63442
311000 8.64315
312000 8.72893
313000 8.69503
314000 8.72125
315000 8.70775
316000 8.73483
317000 8.76945
318000 8.82352
319000 8.84914
320000 8.80726
321000 8.90183
322000 8.87163
323000 8.97718
324000 8.98587
325000 9.00733
326000 8.99181
327000 9.03165
328000 9.02011
329000 9.04176
330000 9.06938
331000 9.05966
332000 9.13246
333000 9.13233
334000 9.18511
335000 9.23033
336000 9.31575
337000 9.24764
338000 9.28842
339000 9.24051
340000 9.33704
341000 9.35072
342000 9.35036
343000 9.33776
344000 9.38163
345000 9.3852
346000 9.41244
347000 9.457
348000 9.45513
349000 9.4396
350000 9.51592
351000 9.56076
352000 9.55037
353000 9.59616
354000 9.61341
355000 9.68263
356000 9.62268
357000 9.69661
358000 9.76116
359000 9.72448
360000 9.69678
361000 9.73444
362000 9.74097
363000 9.77644
364000 9.82887
365000 9.82498
366000 9.78985
367000 9.8109
368000 9.81174
369000 9.85504
370000 9.83717
371000 9.84437
372000 9.85631
373000 9.90221
374000 10.004
375000 9.95471
376000 10.012
377000 10.0273
378000 10.0828
379000 10.0883
380000 10.0658
381000 10.0881
382000 10.0966
383000 10.1551
384000 10.2268
385000 10.1576
386000 10.2476
387000 10.2048
388000 10.2502
389000 10.2589
390000 10.3261
391000 10.3534
392000 10.3997
393000 10.468
394000 10.3993
395000 10.4938
396000 10.4847
397000 10.489
398000 10.5598
399000 10.5898
400000 10.5855
401000 10.6404
402000 10.6136
403000 10.6649
404000 10.6237
405000 10.6273
406000 10.6925
407000 10.7284
408000 10.6729
409000 10.777
410000 10.725
411000 10.7766
412000 10.8089
413000 10.808
414000 10.8537
415000 10.8196
416000 10.8379
417000 10.9038
418000 10.9114
419000 10.9818
420000 10.9427
421000 10.9129
422000 10.9914
423000 11.0878
424000 11.0745
425000 11.0629
426000 11.1151
427000 11.109
428000 11.099
429000 11.1842
430000 11.1768
431000 11.1926
432000 11.1938
433000 11.2523
434000 11.2383
435000 11.3005
436000 11.2935
437000 11.2764
438000 11.289
439000 11.3129
440000 11.383
441000 11.347
442000 11.4264
443000 11.4336
444000 11.4405
445000 11.4336
446000 11.4297
447000 11.4627
448000 11.5192
449000 11.4877
450000 11.5257
451000 11.4859
452000 11.5404
453000 11.5747
454000 11.6018
455000 11.5754
456000 11.62
457000 11.6454
458000 11.6332
459000 11.6683
460000 11.6547
461000 11.742
462000 11.7548
463000 11.7654
464000 11.7411
465000 11.7844
466000 11.8093
467000 11.8454
468000 11.899
469000 11.8802
470000 11.8504
471000 11.8978
472000 11.9024
473000 11.929
474000 12.0283
475000 11.9646
476000 12.0245
477000 11.9933
478000 11.9883
479000 12.058
480000 12.1044
481000 12.0929
482000 12.1178
483000 12.166
484000 12.1875
485000 12.2756
486000 12.2724
487000 12.2355
488000 12.3159
489000 12.341
490000 12.3437
491000 12.3792
492000 12.4346
493000 12.4335
494000 12.4964
495000 12.5443
496000 12.5841
497000 12.5572
498000 12.5871
499000 12.5969
500000 12.6267
501000 12.6586
502000 12.6927
503000 12.746
504000 12.7331
505000 12.7117
506000 12.7548
507000 12.8471
508000 12.8572
509000 12.8532
510000 12.8105
511000 12.8651
512000 12.9099
513000 12.942
514000 12.9197
515000 12.9866
516000 12.9902
517000 13.0175
518000 13.0493
519000 13.049
520000 13.0885
521000 13.0396
522000 13.167
523000 13.1222
524000 13.1223
525000 13.154
526000 13.1422
527000 13.0887
528000 13.1687
529000 13.2086
530000 13.1979
531000 13.2417
532000 13.2611
533000 13.2446
534000 13.2243
535000 13.3211
536000 13.3108
537000 13.2684
538000 13.3249
539000 13.3567
540000 13.4349
541000 13.3552
542000 13.3774
543000 13.4431
544000 13.4095
545000 13.4256
546000 13.4471
547000 13.4471
548000 13.5394
549000 13.4891
550000 13.5136
551000 13.4716
552000 13.539
553000 13.5422
554000 13.5812
555000 13.619
556000 13.5845
557000 13.6101
558000 13.6613
559000 13.7225
560000 13.7176
561000 13.795
562000 13.7154
563000 13.7219
564000 13.766
565000 13.803
566000 13.7944
567000 13.748
568000 13.8326
569000 13.8182
570000 13.8056
571000 13.8065
572000 13.8435
573000 13.809
574000 13.944
575000 13.8736
576000 13.91
577000 13.9569
578000 13.9855
579000 13.9922
580000 14.0019
581000 13.967
582000 14.103
583000 14.0495
584000 14.1161
585000 14.0206
586000 14.0019
587000 14.0569
588000 14.0819
589000 14.1361
590000 14.1731
591000 14.1672
592000 14.2145
593000 14.196
594000 14.199
595000 14.2358
596000 14.2931
597000 14.2957
598000 14.2948
599000 14.2525
600000 14.3046
601000 14.3
602000 14.3434
603000 14.3146
604000 14.4
605000 14.3765
606000 14.4456
607000 14.3908
608000 14.4601
609000 14.4744
610000 14.4878
611000 14.49
612000 14.4435
613000 14.5492
614000 14.5522
615000 14.5279
616000 14.5366
617000 14.4606
618000 14.5741
619000 14.6014
620000 14.61
621000 14.63
622000 14.6414
623000 14.6557
624000 14.6789
625000 14.6529
626000 14.6449
627000 14.6882
628000 14.7879
629000 14.729
630000 14.7724
631000 14.8415
632000 14.8281
633000 14.8051
634000 14.79
635000 14.8233
636000 14.8677
637000 14.8935
638000 14.8745
639000 14.8667
640000 14.9464
641000 14.9639
642000 15.0074
643000 14.9045
644000 15.033
645000 15.0327
646000 15.0261
647000 15.0753
648000 15.1235
649000 15.1807
650000 15.2188
651000 15.2092
652000 15.2662
653000 15.2867
654000 15.3349
655000 15.3295
656000 15.3766
657000 15.371
658000 15.4016
659000 15.4188
660000 15.397
661000 15.4179
662000 15.497
663000 15.5556
664000 15.5211
665000 15.5693
666000 15.5635
667000 15.6253
668000 15.6454
669000 15.6589
670000 15.5662
671000 15.6028
672000 15.7086
673000 15.7239
674000 15.6867
675000 15.6923
676000 15.714
677000 15.7511
678000 15.7859
679000 15.8522
680000 15.8407
681000 15.8952
682000 15.8906
683000 15.8899
684000 15.9576
685000 15.8909
686000 15.9255
687000 15.9887
688000 15.9652
689000 15.9275
690000 15.9439
691000 16.0092
692000 15.9907
693000 16.0084
694000 16.0613
695000 16.0808
696000 16.1252
697000 16.1098
698000 16.1355
699000 16.0828
700000 16.145
701000 16.1655
702000 16.1476
703000 16.0694
704000 16.117
705000 16.1916
706000 16.2206
707000 16.2314
708000 16.2372
709000 16.2769
710000 16.2921
711000 16.3245
712000 16.337
713000 16.3256
714000 16.3689
715000 16.3383
716000 16.3066
717000 16.3669
718000 16.3541
719000 16.3536
720000 16.3743
721000 16.3766
722000 16.3401
723000 16.4532
724000 16.4318
725000 16.4333
726000 16.4791
727000 16.5248
728000 16.537
729000 16.4555
730000 16.482
731000 16.6159
732000 16.6253
733000 16.6145
734000 16.6388
735000 16.6069
736000 16.6782
737000 16.6266
738000 16.6646
739000 16.7126
740000 16.6995
741000 16.7474
742000 16.7746
743000 16.755
744000 16.8467
745000 16.8957
746000 16.8255
747000 16.864
748000 16.8565
749000 16.909
750000 16.9075
751000 16.9202
752000 16.9197
753000 16.9092
754000 16.9916
755000 17.0126
756000 17.0285
757000 17.061
758000 17.0389
759000 17.0691
760000 17.1208
761000 17.0986
762000 17.1046
763000 17.1598
764000 17.105
765000 17.0857
766000 17.0802
767000 17.1924
768000 17.1794
769000 17.2028
770000 17.2177
771000 17.2178
772000 17.3018
773000 17.2653
774000 17.2934
775000 17.2763
776000 17.2985
777000 17.3763
778000 17.4084
779000 17.3916
780000 17.4435
781000 17.4769
782000 17.4533
783000 17.4305
784000 17.4894
785000 17.6146
786000 17.5633
787000 17.5156
788000 17.5085
789000 17.6262
790000 17.5985
791000 17.5853
792000 17.6278
793000 17.6497
794000 17.65
795000 17.6945
796000 17.6987
797000 17.6924
798000 17.7381
799000 17.6897
800000 17.6886
801000 17.7073
802000 17.8222
803000 17.7812
804000 17.7383
805000 17.8773
806000 17.7828
807000 17.7986
808000 17.8385
809000 17.899
810000 17.8815
811000 17.8961
812000 17.962
813000 17.9548
814000 17.9414
815000 18.0382
816000 17.9964
817000 18.0226
818000 18.0755
819000 18.1325
820000 18.1208
821000 18.154
822000 18.0993
823000 18.1351
824000 18.1496
825000 18.0903
826000 18.1203
827000 18.1919
828000 18.1052
829000 18.1273
830000 18.2437
831000 18.2573
832000 18.2455
833000 18.2251
834000 18.2707
835000 18.3776
836000 18.3808
837000 18.464
838000 18.3281
839000 18.3531
840000 18.3927
841000 18.3871
842000 18.4701
843000 18.3929
844000 18.5364
845000 18.525
846000 18.4887
847000 18.4736
848000 18.5611
849000 18.516
850000 18.5983
851000 18.6444
852000 18.6282
853000 18.6552
854000 18.7311
855000 18.7383
856000 18.7144
857000 18.6625
858000 18.8407
859000 18.8155
860000 18.8212
861000 18.8012
862000 18.8568
863000 18.8387
864000 18.8928
865000 18.9617
866000 18.8456
867000 18.9058
868000 18.9704
869000 18.9331
870000 18.9526
871000 18.9367
872000 18.9647
873000 18.9721
874000 18.9383
875000 18.9457
876000 19.0244
877000 19.067
878000 19.1679
879000 19.1319
880000 19.1605
881000 19.1869
882000 19.1727
883000 19.1856
884000 19.1447
885000 19.1899
886000 19.2323
887000 19.2512
888000 19.2603
889000 19.279
890000 19.2942
891000 19.2818
892000 19.2593
893000 19.3084
894000 19.3749
895000 19.3793
896000 19.3423
897000 19.3572
898000 19.4231
899000 19.4626
900000 19.3904
901000 19.5035
902000 19.5432
903000 19.5552
904000 19.5084
905000 19.5294
906000 19.5435
907000 19.5238
908000 19.5745
909000 19.583
910000 19.6075
911000 19.618
912000 19.6225
913000 19.6551
914000 19.6338
915000 19.6563
916000 19.6631
917000 19.6754
918000 19.7169
919000 19.7327
920000 19.6562
921000 19.7539
922000 19.7211
923000 19.7437
924000 19.7401
925000 19.7708
926000 19.7564
927000 19.8337
928000 19.885
929000 19.8609
930000 19.9151
931000 19.8505
932000 19.8796
933000 19.9338
934000 19.8956
935000 20.0038
936000 20.0181
937000 20.0069
938000 20.0276
939000 20.0178
940000 19.9848
941000 19.9772
942000 20.0136
943000 20.0308
944000 20.0833
945000 20.1152
946000 20.0616
947000 20.1465
948000 20.1277
949000 20.1407
950000 20.2367
951000 20.2007
952000 20.2426
953000 20.2137
954000 20.2009
955000 20.1611
956000 20.1803
957000 20.2151
958000 20.1844
959000 20.1372
960000 20.2129
961000 20.2501
962000 20.2512
963000 20.2278
964000 20.2413
965000 20.2196
966000 20.2537
967000 20.3187
968000 20.2922
969000 20.3556
970000 20.3838
971000 20.3364
972000 20.3749
973000 20.4579
974000 20.4426
975000 20.4592
976000 20.4838
977000 20.485
978000 20.4067
979000 20.4955
980000 20.5332
981000 20.5729
982000 20.6083
983000 20.6175
984000 20.6865
985000 20.6408
986000 20.658
987000 20.6622
988000 20.7051
989000 20.734
990000 20.6821
991000 20.6951
992000 20.6855
993000 20.7809
994000 20.8241
995000 20.8145
996000 20.7749
997000 20.7866
998000 20.8381
999000 20.8976
1000000 20.875
1001000 20.9248
1002000 20.9143
1003000 21.0447
1004000 21.028
1005000 21.0307
1006000 20.9685
1007000 21.093
1008000 21.1237
1009000 21.1687
1010000 21.1719
1011000 21.1818
1012000 21.1739
1013000 21.1773
1014000 21.2522
1015000 21.2035
1016000 21.2563
1017000 21.2864
1018000 21.2487
1019000 21.2624
1020000 21.362
1021000 21.3728
1022000 21.3939
1023000 21.3709
1024000 21.3483
1025000 21.4152
1026000 21.4117
1027000 21.3422
1028000 21.4121
1029000 21.4157
1030000 21.5089
1031000 21.4991
1032000 21.4727
1033000 21.5323
1034000 21.4521
1035000 21.5144
1036000 21.4254
1037000 21.5452
1038000 21.5033
1039000 21.6228
1040000 21.6127
1041000 21.7113
1042000 21.615
1043000 21.654
1044000 21.7509
1045000 21.6199
1046000 21.7008
1047000 21.77
1048000 21.705
1049000 21.7396
1050000 21.774
1051000 21.8404
1052000 21.8071
1053000 21.8849
1054000 21.8322
1055000 21.7588
1056000 21.781
1057000 21.8817
1058000 21.9384
1059000 21.9273
1060000 21.881
1061000 21.8931
1062000 21.8952
1063000 21.9657
1064000 22.0119
1065000 22.0876
1066000 21.9675
1067000 22.0222
1068000 22.0033
1069000 22.0262
1070000 22.0184
1071000 22.0767
1072000 22.0495
1073000 22.081
1074000 22.1258
1075000 22.1347
1076000 22.0737
1077000 22.0762
1078000 22.0964
1079000 22.1195
1080000 22.1157
1081000 22.1996
1082000 22.2119
1083000 22.1619
1084000 22.1407
1085000 22.1598
1086000 22.2572
1087000 22.218
1088000 22.204
1089000 22.2613
1090000 22.2828
1091000 22.2512
1092000 22.2508
1093000 22.2846
1094000 22.2872
1095000 22.3116
1096000 22.3276
1097000 22.3081
1098000 22.3553
1099000 22.276
1100000 22.4402
1101000 22.4053
1102000 22.428
1103000 22.4194
1104000 22.4627
1105000 22.513
1106000 22.6015
1107000 22.6076
1108000 22.5288
1109000 22.6524
1110000 22.5766
1111000 22.5708
1112000 22.6106
1113000 22.6056
1114000 22.6152
1115000 22.6247
1116000 22.595
1117000 22.6727
1118000 22.6311
1119000 22.6968
1120000 22.7028
1121000 22.694
1122000 22.5671
1123000 22.6261
1124000 22.7425
1125000 22.691
1126000 22.6773
1127000 22.679
1128000 22.7117
1129000 22.7227
1130000 22.732
1131000 22.7716
1132000 22.7535
1133000 22.7662
1134000 22.8544
1135000 22.8529
1136000 22.8237
1137000 22.888
1138000 22.8837
1139000 22.8991
1140000 22.7961
1141000 22.8991
1142000 22.8899
1143000 22.896
1144000 22.9138
1145000 22.9403
1146000 22.8716
1147000 22.9158
1148000 22.8595
1149000 22.9724
1150000 22.9847
1151000 23.0367
1152000 23.0794
1153000 23.0836
1154000 23.0352
1155000 23.0408
1156000 23.0227
1157000 22.9556
1158000 23.028
1159000 23.0783
1160000 23.0582
1161000 23.1382
1162000 23.1247
1163000 23.1813
1164000 23.1345
1165000 23.1061
1166000 23.1052
1167000 23.1579
1168000 23.1602
1169000 23.2386
1170000 23.2435
1171000 23.2498
1172000 23.2571
1173000 23.3577
1174000 23.3035
1175000 23.327
1176000 23.3416
1177000 23.3948
1178000 23.3742
1179000 23.3903
1180000 23.4244
1181000 23.4134
1182000 23.3982
1183000 23.4202
1184000 23.4144
1185000 23.3921
1186000 23.4715
1187000 23.4805
1188000 23.5652
1189000 23.5607
1190000 23.5593
1191000 23.5523
1192000 23.6045
1193000 23.5882
1194000 23.5696
1195000 23.5686
1196000 23.6457
1197000 23.6607
1198000 23.5798
1199000 23.705
