# Radial distribution function (100 data points):
# "Pair separation distance" Li-Li Li-Sc Li-Cl Sc-Sc Sc-Cl Cl-Cl
0.03 0.0 0.0 0.0 0.0 0.0 0.0 
0.09 0.0 0.0 0.0 0.0 0.0 0.0 
0.15 0.0 0.0 0.0 0.0 0.0 0.0 
0.21 0.0 0.0 0.0 0.0 0.0 0.0 
0.27 0.0 0.0 0.0 0.0 0.0 0.0 
0.33 0.0 0.0 0.0 0.0 0.0 0.0 
0.39 0.0 0.0 0.0 0.0 0.0 0.0 
0.45 0.0 0.0 0.0 0.0 0.0 0.0 
0.51 0.0 0.0 0.0 0.0 0.0 0.0 
0.57 0.0 0.0 0.0 0.0 0.0 0.0 
0.63 0.0 0.0 0.0 0.0 0.0 0.0 
0.69 0.0 0.0 0.0 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 0.0 0.0 0.0 
0.81 0.0 0.0 0.0 0.0 0.0 0.0 
0.87 0.0 0.0 0.0 0.0 0.0 0.0 
0.93 0.0 0.0 0.0 0.0 0.0 0.0 
0.99 0.0 0.0 0.0 0.0 0.0 0.0 
1.05 0.0 0.0 0.0 0.0 0.0 0.0 
1.11 0.0 0.0 0.0 0.0 0.0 0.0 
1.17 0.0 0.0 0.0 0.0 0.0 0.0 
1.23 0.0 0.0 0.0 0.0 0.0 0.0 
1.29 0.0 0.0 0.0 0.0 0.0 0.0 
1.35 0.0 0.0 0.0 0.0 0.0 0.0 
1.41 0.0 0.0 0.0 0.0 0.0 0.0 
1.47 0.0 0.0 0.0 0.0 0.0 0.0 
1.53 0.0 0.0 0.0 0.0 0.0 0.0 
1.59 0.0 0.0 0.0 0.0 0.0 0.0 
1.65 0.0 0.0 0.0 0.0 0.0 0.0 
1.71 0.0 0.0 0.0 0.0 0.0 0.0 
1.77 0.0 0.0 0.0 0.0 0.0 0.0 
1.83 0.0 0.0 0.0 0.0 0.0 0.0 
1.89 0.0 0.0 0.0 0.0 0.0 0.0 
1.95 0.0 0.0 0.0 0.0 0.0 0.0 
2.01 0.0 0.0 0.0 0.0 0.0 0.0 
2.07 0.0 0.0 0.0 0.0 0.0 0.0 
2.13 0.0 0.0 0.0 0.0 1.8378076091e-04 0.0 
2.19 0.0 0.0 0.0 0.0 0.0085186084 0.0 
2.25 0.0 0.0 0.0 0.0 0.7314387599 0.0 
2.31 0.0 0.0 0.0 0.0 7.4151778343 0.0 
2.37 0.0 0.0 0.0 0.0 18.4053564816 0.0 
2.43 0.0 0.0 0.0 0.0 17.8834660063 7.9428412834e-04 
2.49 0.0 0.0 0.0 0.0 10.2148112693 0.0093297769 
2.55 0.0 0.0 0.0 0.0 4.6248493597 0.0489275261 
2.61 0.0 0.0 0.0 0.0 1.875562885 0.1321939513 
2.67 0.0 0.0 0.0 0.0 0.7100802005 0.1741281335 
2.73 0.0 0.0 0.0 0.0 0.246131883 0.1529234171 
2.79 0.0 0.0 0.0 0.0 0.0945852744 0.1820672805 
2.85 0.0 0.0 0.0 0.0 0.0391117442 0.3698805865 
2.91 0.0 0.0 0.0 0.0 0.0169361641 0.693878088 
2.97 0.0 0.0 0.0 0.0 0.0067114854 1.0554342484 
3.03 0.0 0.0 0.0 0.0 0.0039961446 1.3891143637 
3.09 0.0 0.0 0.0 0.0 0.0028818496 1.6532701484 
3.15 0.0 0.0 0.0 0.0 0.0015966412 1.8333537621 
3.21 0.0 0.0 0.0 0.0 0.0016993567 2.0226643994 
3.27 0.0 0.0 0.0 0.0 0.0014036305 2.1138772196 
3.33 0.0 0.0 0.0 0.0 9.7753227365e-04 2.1528503441 
3.39 0.0 0.0 0.0 0.0 0.0018139163 2.1000615987 
3.45 0.0 0.0 0.0 0.0 0.0018214287 1.9478997992 
3.51 0.0 0.0 0.0 0.0 0.0017596914 1.8008284043 
3.57 0.0 0.0 0.0 0.0 0.0023552869 1.6274173707 
3.63 0.0 0.0 0.0 0.0 0.0031639881 1.4866788881 
3.69 0.0 0.0 0.0 0.0 0.0044704221 1.3711909731 
3.75 0.0 0.0 0.0 0.0 0.0071153688 1.3002224686 
3.81 0.0 0.0 0.0 0.0 0.0096502447 1.2388250266 
3.87 0.0 0.0 0.0 0.0 0.0140856814 1.2175867597 
3.93 0.0 0.0 0.0 0.0020731258 0.0207852457 1.185619431 
3.99 0.0 0.0 0.0 0.0174307997 0.0281783961 1.1613113139 
4.05 0.0 0.0 0.0 0.1399002236 0.0380252061 1.1473489566 
4.11 0.0 0.0 0.0 0.5446454094 0.0518799236 1.1152517597 
4.17 0.0 0.0 0.0 1.3411266023 0.0779222944 1.0957373093 
4.23 0.0 0.0 0.0 2.3573651454 0.1007058546 1.0733054996 
4.29 0.0 0.0 0.0 2.3214635274 0.1346074066 1.0496664948 
4.35 0.0 0.0 0.0 1.463128638 0.1784668642 1.0230998564 
4.41 0.0 0.0 0.0 0.6426447371 0.224493478 1.0051506829 
4.47 0.0 0.0 0.0 0.4524387375 0.2854867735 0.9835908231 
4.53 0.0 0.0 0.0 0.6756228611 0.3462388375 0.986647104 
4.59 0.0 0.0 0.0 1.4037924714 0.4361125621 1.0378031404 
4.65 0.0 0.0 0.0 2.3856284325 0.5155163861 1.1810422368 
4.71 0.0 0.0 0.0 3.2398385088 0.616392928 1.3586607792 
4.77 0.0 0.0 0.0 3.4271658525 0.7205283738 1.3513571768 
4.83 0.0 0.0 0.0 2.6466801204 0.8303758718 1.1426626267 
4.89 0.0 0.0 0.0 1.6376552555 0.9300104265 0.891586908 
4.95 0.0 0.0 0.0 0.8023647653 1.028002631 0.7323536106 
5.01 0.0 0.0 0.0 0.3380527121 1.1153148295 0.6518190975 
5.07 0.0 0.0 0.0 0.1424200294 1.2170775063 0.6168269086 
5.13 0.0 0.0 0.0 0.0600233144 1.298308346 0.5984528652 
5.19 0.0 0.0 0.0 0.0225856837 1.3769342244 0.5958401928 
5.25 0.0 0.0 0.0 0.00929364 1.4700408711 0.597415873 
5.31 0.0 0.0 0.0 0.0022712008 1.5603563277 0.6002749613 
5.37 0.0 0.0 0.0 0.0029609756 1.632093248 0.6056861475 
5.43 0.0 0.0 0.0 0.0021719264 1.657649321 0.6173852891 
5.49 0.0 0.0 0.0 0.0021247125 1.6707488779 0.6279469584 
5.55 0.0 0.0 0.0 0.0045045467 1.6650309763 0.6434849196 
5.61 0.0 0.0 0.0 0.0115304695 1.647304559 0.6618445141 
5.67 0.0 0.0 0.0 0.0159356215 1.625231083 0.6834531017 
5.73 0.0 0.0 0.0 0.0266562209 1.6001097535 0.7080241217 
5.79 0.0 0.0 0.0 0.0452090383 1.5662235553 0.7354847796 
5.85 0.0 0.0 0.0 0.06268714 1.5289492865 0.762216281 
5.91 0.0 0.0 0.0 0.090756073 1.4783194087 0.7960269808 
5.97 0.0 0.0 0.0 0.1479355564 1.4165381662 0.8342167956 
