# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 0.0 
2.01 0.0 
2.07 0.0 
2.13 0.0 
2.19 0.0 
2.25 0.0 
2.31 0.0 
2.37 1.1987413657e-06 
2.43 1.5963892839e-05 
2.49 3.4534469709e-04 
2.55 0.0036739107 
2.61 0.0203873253 
2.67 0.0572710473 
2.73 0.100663854 
2.79 0.1472261293 
2.85 0.2515000166 
2.91 0.4734713355 
2.97 0.810864206 
3.03 1.1775966035 
3.09 1.4993427149 
3.15 1.7402920757 
3.21 1.8935868692 
3.27 1.9976112833 
3.33 2.046063605 
3.39 2.0527580281 
3.45 2.0181803867 
3.51 1.9414132132 
3.57 1.8390657574 
3.63 1.7304807843 
3.69 1.6191168841 
3.75 1.5137451098 
3.81 1.4282637465 
3.87 1.3581420783 
3.93 1.2963966382 
3.99 1.249017937 
4.05 1.2078988772 
4.11 1.1659479163 
4.17 1.1263380066 
4.23 1.0824718419 
4.29 1.042238051 
4.35 1.0004259254 
4.41 0.9634464414 
4.47 0.9328814426 
4.53 0.9098821283 
4.59 0.9075170213 
4.65 0.9428941202 
4.71 1.0442275415 
4.77 1.1658014655 
4.83 1.2133936896 
4.89 1.1370137728 
4.95 0.9790187245 
5.01 0.8267873978 
5.07 0.7157167328 
5.13 0.6514805477 
5.19 0.6170169345 
5.25 0.6030330321 
5.31 0.5999550594 
5.37 0.6028769498 
5.43 0.61067756 
5.49 0.6222669949 
5.55 0.6383878091 
5.61 0.6570947536 
5.67 0.6798425422 
5.73 0.7044590417 
5.79 0.7321665723 
5.85 0.7649663946 
5.91 0.7977739349 
5.97 0.8354495815 
