# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 0.0 
2.01 0.0 
2.07 0.0 
2.13 0.0 
2.19 0.0 
2.25 0.0 
2.31 0.0 
2.37 0.0 
2.43 0.0 
2.49 0.0 
2.55 0.0 
2.61 0.0 
2.67 1.3386489017e-05 
2.73 1.2484447427e-04 
2.79 6.2524829564e-04 
2.85 0.0016742357 
2.91 0.0053840219 
2.97 0.0153843592 
3.03 0.0389511877 
3.09 0.0846365067 
3.15 0.1685125056 
3.21 0.3019967564 
3.27 0.5005890705 
3.33 0.751795995 
3.39 1.0617205456 
3.45 1.3846659972 
3.51 1.7021186103 
3.57 1.9717249195 
3.63 2.1916826438 
3.69 2.3440487775 
3.75 2.4357094334 
3.81 2.4898610543 
3.87 2.4982619621 
3.93 2.4691536851 
3.99 2.4259592093 
4.05 2.3390664271 
4.11 2.2462968377 
4.17 2.1290932466 
4.23 1.98820028 
4.29 1.8399777773 
4.35 1.6834931164 
4.41 1.5295323502 
4.47 1.3847793257 
4.53 1.2400703379 
4.59 1.1154983253 
4.65 1.0042643776 
4.71 0.9085935453 
4.77 0.8266136937 
4.83 0.7549172185 
4.89 0.7028292686 
4.95 0.661229283 
5.01 0.6210834672 
5.07 0.5926964104 
5.13 0.5748627863 
5.19 0.5570033 
5.25 0.5442996734 
5.31 0.5363985546 
5.37 0.5361415462 
5.43 0.5371784829 
5.49 0.5407178256 
5.55 0.546712818 
5.61 0.5549724537 
5.67 0.567904076 
5.73 0.5812426713 
5.79 0.5974456249 
5.85 0.6196420557 
5.91 0.6367193999 
5.97 0.6623348638 
