# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 9.062143534e-06 
2.01 3.7955093919e-04 
2.07 0.0057037787 
2.13 0.0456947555 
2.19 0.2028367165 
2.25 0.5672727676 
2.31 1.1145064661 
2.37 1.6571472215 
2.43 1.9894910656 
2.49 2.0342295218 
2.55 1.8512061421 
2.61 1.5645700467 
2.67 1.2693655026 
2.73 1.01248322 
2.79 0.8092879787 
2.85 0.6869196041 
2.91 0.6602988109 
2.97 0.7152361157 
3.03 0.8102838012 
3.09 0.9066305902 
3.15 0.9872572284 
3.21 1.0447565246 
3.27 1.0977070767 
3.33 1.1364347862 
3.39 1.1702917476 
3.45 1.1912593172 
3.51 1.1965192325 
3.57 1.187020059 
3.63 1.1709756084 
3.69 1.1481982724 
3.75 1.1219555288 
3.81 1.1020205043 
3.87 1.0852717976 
3.93 1.0690284533 
3.99 1.0576171926 
4.05 1.0460899397 
4.11 1.0346638172 
4.17 1.0211618788 
4.23 1.005704795 
4.29 0.9904500532 
4.35 0.9733837017 
4.41 0.9592949314 
4.47 0.9490578883 
4.53 0.942042995 
4.59 0.9449100089 
4.65 0.9648133982 
4.71 1.0141160819 
4.77 1.073172637 
4.83 1.1003514811 
4.89 1.0777074323 
4.95 1.0191403999 
5.01 0.964072072 
5.07 0.9259984903 
5.13 0.908685365 
5.19 0.9044472881 
5.25 0.908568826 
5.31 0.9177398412 
5.37 0.928025858 
5.43 0.9383039037 
5.49 0.9502159562 
5.55 0.960963764 
5.61 0.9703991208 
5.67 0.9794182524 
5.73 0.9856316223 
5.79 0.9896951577 
5.85 0.994034305 
5.91 0.9954184393 
5.97 0.9968376002 
