# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 0.0 
2.01 0.0 
2.07 0.0 
2.13 0.0 
2.19 0.0 
2.25 0.0 
2.31 0.0 
2.37 0.0 
2.43 0.0 
2.49 0.0 
2.55 0.0 
2.61 0.0 
2.67 7.9931721612e-06 
2.73 7.4545564183e-05 
2.79 3.7334040794e-04 
2.85 9.9969856742e-04 
2.91 0.0032148395 
2.97 0.0091861153 
3.03 0.0232580439 
3.09 0.0505370877 
3.15 0.1006200705 
3.21 0.1803245095 
3.27 0.2989054574 
3.33 0.4489068346 
3.39 0.6339959443 
3.45 0.8270169859 
3.51 1.0174288347 
3.57 1.1809610216 
3.63 1.3205710578 
3.69 1.4306013771 
3.75 1.5239732816 
3.81 1.6215691375 
3.87 1.7299403487 
3.93 1.8483740034 
3.99 1.9750900424 
4.05 2.0673606021 
4.11 2.1429266238 
4.17 2.1803396876 
4.23 2.1865534245 
4.29 2.1921418131 
4.35 2.1666515254 
4.41 2.1169977702 
4.47 2.0301442064 
4.53 1.9145571503 
4.59 1.7927325207 
4.65 1.6727237772 
4.71 1.5698319572 
4.77 1.4687144359 
4.83 1.3413521299 
4.89 1.1721094029 
4.95 0.9853410366 
5.01 0.8074844906 
5.07 0.6762825152 
5.13 0.5897549338 
5.19 0.5321387434 
5.25 0.4972545876 
5.31 0.4770656273 
5.37 0.4678602241 
5.43 0.4649863766 
5.49 0.4657089635 
5.55 0.4718264968 
5.61 0.4804877688 
5.67 0.491590056 
5.73 0.5056155348 
5.79 0.521448574 
5.85 0.5427973431 
5.91 0.5614332494 
5.97 0.5859484474 
