# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 0.0 
2.01 0.0 
2.07 0.0 
2.13 0.0 
2.19 0.0 
2.25 0.0 
2.31 0.0 
2.37 0.0 
2.43 0.0 
2.49 0.0 
2.55 0.0 
2.61 0.0 
2.67 0.0 
2.73 0.0 
2.79 0.0 
2.85 0.0 
2.91 0.0 
2.97 0.0 
3.03 0.0 
3.09 0.0 
3.15 0.0 
3.21 0.0 
3.27 0.0 
3.33 0.0 
3.39 0.0 
3.45 0.0 
3.51 0.0 
3.57 0.0 
3.63 0.0 
3.69 0.0 
3.75 0.0 
3.81 0.0 
3.87 0.0 
3.93 5.3571406103e-05 
3.99 0.001368606 
4.05 0.0036487749 
4.11 0.0250787096 
4.17 0.1109147368 
4.23 0.3550785035 
4.29 0.7755218131 
4.35 1.1458290335 
4.41 1.2594711077 
4.47 1.0954733999 
4.53 1.0120128225 
4.59 1.2967580211 
4.65 2.1637078375 
4.71 3.6050451521 
4.77 5.1673634225 
4.83 5.9922047623 
4.89 5.5499814721 
4.95 4.1886135193 
5.01 2.6572210066 
5.07 1.4787669535 
5.13 0.7494428101 
5.19 0.361617617 
5.25 0.17784544 
5.31 0.0925734386 
5.37 0.0551093758 
5.43 0.0416350263 
5.49 0.0353584675 
5.55 0.0413941553 
5.61 0.0489176175 
5.67 0.0624120078 
5.73 0.0807515854 
5.79 0.1063593457 
5.85 0.1387948567 
5.91 0.1710824158 
5.97 0.2150742597 
