# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0 
1.11 0.0 
1.17 0.0 
1.23 0.0 
1.29 0.0 
1.35 0.0 
1.41 0.0 
1.47 0.0 
1.53 0.0 
1.59 0.0 
1.65 0.0 
1.71 0.0 
1.77 0.0 
1.83 0.0 
1.89 0.0 
1.95 0.0 
2.01 0.0 
2.07 0.0 
2.13 6.660475187e-06 
2.19 0.0013966196 
2.25 0.0632187885 
2.31 0.6444646632 
2.37 2.2428628391 
2.43 3.4789706162 
2.49 3.1254735003 
2.55 2.0305261257 
2.61 1.1171275512 
2.67 0.5887418132 
2.73 0.3318194448 
2.79 0.2307992872 
2.85 0.2454459134 
2.91 0.3828221387 
2.97 0.6218950025 
3.03 0.8900651397 
3.09 1.1275380926 
3.15 1.3061889393 
3.21 1.4197150158 
3.27 1.4972201134 
3.33 1.5333272258 
3.39 1.5382511859 
3.45 1.5123122389 
3.51 1.4550875245 
3.57 1.3787973322 
3.63 1.298053433 
3.69 1.2156538219 
3.75 1.1377216878 
3.81 1.0749925311 
3.87 1.0244503487 
3.93 0.9803492314 
3.99 0.9477787398 
4.05 0.921108918 
4.11 0.8946639512 
4.17 0.872539917 
4.23 0.8521554004 
4.29 0.8388047959 
4.35 0.8254699118 
4.41 0.8129161058 
4.47 0.8014802209 
4.53 0.79994674 
4.59 0.8219521222 
4.65 0.8848168937 
4.71 1.0087894259 
4.77 1.1505279148 
4.83 1.2240924624 
4.89 1.1819073882 
4.95 1.0622339766 
5.01 0.9436274756 
5.07 0.8622856344 
5.13 0.8224327704 
5.19 0.8081749509 
5.25 0.8132844796 
5.31 0.8252954876 
5.37 0.8397314726 
5.43 0.8553720168 
5.49 0.8711053621 
5.55 0.8856355567 
5.61 0.8982122637 
5.67 0.9094637383 
5.73 0.9192752338 
5.79 0.9287772321 
5.85 0.9393904873 
5.91 0.9478663634 
5.97 0.9598218584 
