# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 4.8681946535e-06 
2.75 1.9664695763e-04 
2.85 0.0011017007 
2.95 0.007062442 
3.05 0.0318817475 
3.15 0.1029044918 
3.25 0.258591071 
3.35 0.5111316571 
3.45 0.8275024658 
3.55 1.1290800628 
3.65 1.3597448057 
3.75 1.5235309501 
3.85 1.6942605577 
3.95 1.892445188 
4.05 2.0671073527 
4.15 2.1699723567 
4.25 2.1895983968 
4.35 2.1668467272 
4.45 2.0586391401 
4.55 1.8744438992 
4.65 1.6731907461 
4.75 1.5022529723 
4.85 1.2847937658 
4.95 0.9850395878 
5.05 0.7179631068 
5.15 0.568952274 
5.25 0.4988865991 
5.35 0.4702700511 
5.45 0.4647324146 
5.55 0.4722106115 
5.65 0.4878658535 
5.75 0.5106906183 
5.85 0.5422284982 
5.95 0.5776090192 
6.05 0.6226149799 
6.15 0.6746075259 
6.25 0.7329156544 
6.35 0.7963243285 
6.45 0.8632608359 
6.55 0.9338888055 
6.65 1.0031149584 
6.75 1.0761871598 
6.85 1.1408609486 
6.95 1.2038545521 
7.05 1.2518783497 
7.15 1.2882956098 
7.25 1.3087670053 
7.35 1.3185584053 
7.45 1.3127630668 
7.55 1.2956039237 
7.65 1.2684395946 
7.75 1.2321781995 
7.85 1.1880365592 
7.95 1.1387563494 
8.05 1.085951588 
8.15 1.0373310521 
8.25 0.9895987937 
8.35 0.9479929047 
8.45 0.9115854797 
8.55 0.8825221709 
8.65 0.8625113243 
8.75 0.8480686575 
8.85 0.8404028252 
8.95 0.8356729162 
9.05 0.8344812192 
9.15 0.8354302686 
9.25 0.8412578018 
9.35 0.8508994152 
9.45 0.8635887577 
9.55 0.8810226588 
9.65 0.903279759 
9.75 0.9305460586 
9.85 0.9591258525 
9.95 0.9955491193 
