# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 0.0 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.0 
3.45 0.0 
3.55 0.0 
3.65 0.0 
3.75 0.0 
3.85 0.0 
3.95 1.4847974973e-04 
4.05 0.0054074095 
4.15 0.0795361918 
4.25 0.4956281289 
4.35 1.1344778174 
4.45 1.1510498254 
4.55 1.0801022379 
4.65 2.2199935933 
4.75 4.6575018063 
4.85 5.8864918904 
4.95 4.1735722669 
5.05 1.8496770632 
5.15 0.608277719 
5.25 0.1862973237 
5.35 0.0653534499 
5.45 0.0384136574 
5.55 0.0423550772 
5.65 0.0571047549 
5.75 0.0895356532 
5.85 0.138056098 
5.95 0.1999739876 
6.05 0.2790732093 
6.15 0.3700009484 
6.25 0.4778213771 
6.35 0.5927432045 
6.45 0.7056739684 
6.55 0.8001639501 
6.65 0.883077264 
6.75 0.965556637 
6.85 1.0493359211 
6.95 1.1495939898 
7.05 1.2533972756 
7.15 1.3505959193 
7.25 1.4283033065 
7.35 1.5088766503 
7.45 1.5558875511 
7.55 1.5938188302 
7.65 1.6165942619 
7.75 1.6121141917 
7.85 1.593098209 
7.95 1.521717307 
8.05 1.4252948451 
8.15 1.3073045475 
8.25 1.1750967825 
8.35 1.0550799577 
8.45 0.9455220085 
8.55 0.8512224068 
8.65 0.7897593598 
8.75 0.7533894274 
8.85 0.7432676002 
8.95 0.752950774 
9.05 0.7816416723 
9.15 0.8171811815 
9.25 0.8516225599 
9.35 0.8791491748 
9.45 0.9012678958 
9.55 0.9115560852 
9.65 0.897778381 
9.75 0.8734565519 
9.85 0.8587145238 
9.95 0.8767359463 
