# Radial distribution function (100 data points):
# "Pair separation distance" Li-Li Li-Sc Li-Cl Sc-Sc Sc-Cl Cl-Cl
0.05 0.0 0.0 0.0 0.0 0.0 0.0 
0.15 0.0 0.0 0.0 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 0.0 0.0 0.0 
0.35 0.0 0.0 0.0 0.0 0.0 0.0 
0.45 0.0 0.0 0.0 0.0 0.0 0.0 
0.55 0.0 0.0 0.0 0.0 0.0 0.0 
0.65 0.0 0.0 0.0 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 0.0 0.0 0.0 
0.85 0.0 0.0 0.0 0.0 0.0 0.0 
0.95 0.0 0.0 0.0 0.0 0.0 0.0 
1.05 0.0 0.0 0.0 0.0 0.0 0.0 
1.15 0.0 0.0 0.0 0.0 0.0 0.0 
1.25 0.0 0.0 0.0 0.0 0.0 0.0 
1.35 0.0 0.0 0.0 0.0 0.0 0.0 
1.45 0.0 0.0 0.0 0.0 0.0 0.0 
1.55 0.0 0.0 0.0 0.0 0.0 0.0 
1.65 0.0 0.0 0.0 0.0 0.0 0.0 
1.75 0.0 0.0 0.0 0.0 0.0 0.0 
1.85 0.0 0.0 0.0 0.0 0.0 0.0 
1.95 0.0 0.0 0.0 0.0 0.0 0.0 
2.05 0.0 0.0 0.0 0.0 0.0 0.0 
2.15 0.0 0.0 0.0 0.0 6.8230920117e-04 0.0 
2.25 0.0 0.0 0.0 0.0 0.424974212 0.0 
2.35 0.0 0.0 0.0 0.0 7.2149787234 7.3146807478e-07 
2.45 0.0 0.0 0.0 0.0 14.562308103 8.9506755019e-05 
2.55 0.0 0.0 0.0 0.0 8.7120712584 0.0047282707 
2.65 0.0 0.0 0.0 0.0 3.0610947533 0.0445228634 
2.75 0.0 0.0 0.0 0.0 0.8863728963 0.1153229955 
2.85 0.0 0.0 0.0 0.0 0.2539685317 0.2611810058 
2.95 0.0 0.0 0.0 0.0 0.0825618723 0.6970948587 
3.05 0.0 0.0 0.0 0.0 0.0346441815 1.2894170371 
3.15 0.0 0.0 0.0 0.0 0.0189458096 1.7339154912 
3.25 0.0 0.0 0.0 0.0 0.0132719621 1.965266837 
3.35 0.0 0.0 0.0 0.0 0.0122184837 2.0505809715 
3.45 0.0 0.0 0.0 0.0 0.011807216 2.0129475201 
3.55 0.0 0.0 0.0 0.0 0.0133148377 1.8742028537 
3.65 0.0 0.0 0.0 0.0 0.0170201469 1.6925448653 
3.75 0.0 0.0 0.0 0.0 0.0232730565 1.5147642442 
3.85 0.0 0.0 0.0 0.0 0.0340294247 1.3811894543 
3.95 0.0 0.0 0.0 1.4847974973e-04 0.0495360594 1.2805117434 
4.05 0.0 0.0 0.0 0.0054074095 0.0748263526 1.2066730123 
4.15 0.0 0.0 0.0 0.0795361918 0.1115355051 1.1396104462 
4.25 0.0 0.0 0.0 0.4956281289 0.1668650964 1.0693742934 
4.35 0.0 0.0 0.0 1.1344778174 0.2412808955 1.0011994952 
4.45 0.0 0.0 0.0 1.1510498254 0.3374894571 0.9419101101 
4.55 0.0 0.0 0.0 1.0801022379 0.4579233153 0.9076554005 
4.65 0.0 0.0 0.0 2.2199935933 0.5987420938 0.9492027449 
4.75 0.0 0.0 0.0 4.6575018063 0.7575419165 1.1259965282 
4.85 0.0 0.0 0.0 5.8864918904 0.9185601814 1.1915960578 
4.95 0.0 0.0 0.0 4.1735722669 1.0854636045 0.9791503703 
5.05 0.0 0.0 0.0 1.8496770632 1.2497661942 0.7512116786 
5.15 0.0 0.0 0.0 0.608277719 1.402596108 0.6387958032 
5.25 0.0 0.0 0.0 0.1862973237 1.5340734508 0.6036927828 
5.35 0.0 0.0 0.0 0.0653534499 1.6410359529 0.6019675136 
5.45 0.0 0.0 0.0 0.0384136574 1.7137750811 0.6147791272 
5.55 0.0 0.0 0.0 0.0423550772 1.7410275687 0.6381731531 
5.65 0.0 0.0 0.0 0.0571047549 1.7196462939 0.6721876635 
5.75 0.0 0.0 0.0 0.0895356532 1.6560489839 0.7135466713 
5.85 0.0 0.0 0.0 0.138056098 1.5582460708 0.764702786 
5.95 0.0 0.0 0.0 0.1999739876 1.4407091747 0.8229325336 
6.05 0.0 0.0 0.0 0.2790732093 1.3090863619 0.888819724 
6.15 0.0 0.0 0.0 0.3700009484 1.1791663049 0.9581657664 
6.25 0.0 0.0 0.0 0.4778213771 1.0609350698 1.0251726044 
6.35 0.0 0.0 0.0 0.5927432045 0.9669668448 1.0884021313 
6.45 0.0 0.0 0.0 0.7056739684 0.8909042364 1.1409106253 
6.55 0.0 0.0 0.0 0.8001639501 0.8373440796 1.1816289094 
6.65 0.0 0.0 0.0 0.883077264 0.8066393731 1.2123996258 
6.75 0.0 0.0 0.0 0.965556637 0.8028445333 1.2265270809 
6.85 0.0 0.0 0.0 1.0493359211 0.8182121867 1.2310891558 
6.95 0.0 0.0 0.0 1.1495939898 0.839651055 1.2273699914 
7.05 0.0 0.0 0.0 1.2533972756 0.8773428113 1.2143082604 
7.15 0.0 0.0 0.0 1.3505959193 0.9047575498 1.1951293227 
7.25 0.0 0.0 0.0 1.4283033065 0.87549232 1.1725770048 
7.35 0.0 0.0 0.0 1.5088766503 0.7904273706 1.1467838242 
7.45 0.0 0.0 0.0 1.5558875511 0.7044722644 1.121222605 
7.55 0.0 0.0 0.0 1.5938188302 0.6717667545 1.092947029 
7.65 0.0 0.0 0.0 1.6165942619 0.6854818657 1.0679661013 
7.75 0.0 0.0 0.0 1.6121141917 0.7253902561 1.0433145525 
7.85 0.0 0.0 0.0 1.593098209 0.7810363439 1.018157678 
7.95 0.0 0.0 0.0 1.521717307 0.8425350523 0.9907320334 
8.05 0.0 0.0 0.0 1.4252948451 0.9101267472 0.9633354609 
8.15 0.0 0.0 0.0 1.3073045475 0.9735139787 0.9348133557 
8.25 0.0 0.0 0.0 1.1750967825 1.0380193291 0.9089086028 
8.35 0.0 0.0 0.0 1.0550799577 1.0939882948 0.8854149954 
8.45 0.0 0.0 0.0 0.9455220085 1.144475115 0.8657140872 
8.55 0.0 0.0 0.0 0.8512224068 1.1844532806 0.8508677217 
8.65 0.0 0.0 0.0 0.7897593598 1.2125992313 0.8451220943 
8.75 0.0 0.0 0.0 0.7533894274 1.2311304055 0.8463735848 
8.85 0.0 0.0 0.0 0.7432676002 1.2343520656 0.8551818623 
8.95 0.0 0.0 0.0 0.752950774 1.2295374924 0.8696684821 
9.05 0.0 0.0 0.0 0.7816416723 1.214261105 0.8900115974 
9.15 0.0 0.0 0.0 0.8171811815 1.1908647601 0.9138691663 
9.25 0.0 0.0 0.0 0.8516225599 1.161397776 0.9413453107 
9.35 0.0 0.0 0.0 0.8791491748 1.1290505443 0.9689285378 
9.45 0.0 0.0 0.0 0.9012678958 1.0962572665 0.9960897338 
9.55 0.0 0.0 0.0 0.9115560852 1.0671138984 1.0206655431 
9.65 0.0 0.0 0.0 0.897778381 1.0387645438 1.0411883686 
9.75 0.0 0.0 0.0 0.8734565519 1.011844289 1.0573306893 
9.85 0.0 0.0 0.0 0.8587145238 0.9876100371 1.069843815 
9.95 0.0 0.0 0.0 0.8767359463 0.967240307 1.0798363427 
