# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 3.1766292762 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 0.1493114083 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.0 
3.45 0.0 
3.55 0.0 
3.65 20.0680339632 
3.75 0.0 
3.85 0.0 
3.95 0.0 
4.05 0.0 
4.15 0.0 
4.25 0.0 
4.35 4.5709009511 
4.45 0.0 
4.55 0.0873309138 
4.65 0.0 
4.75 0.0 
4.85 0.0 
4.95 0.0 
5.05 0.0 
5.15 0.0 
5.25 2.8649655169 
5.35 0.0 
5.45 0.0 
5.55 0.0 
5.65 1.4900055274 
5.75 0.0 
5.85 0.109042466 
5.95 0.0 
6.05 0.0 
6.15 0.0 
6.25 0.0 
6.35 13.2419088813 
6.45 0.0 
6.55 0.0 
6.65 0.0 
6.75 2.5247231349 
6.85 0.0 
6.95 0.0 
7.05 0.0 
7.15 0.0 
7.25 0.0 
7.35 6.9803078764 
7.45 0.0 
7.55 0.0 
7.65 1.6207182065 
7.75 0.0 
7.85 0.080509513 
7.95 0.0 
8.05 0.0 
8.15 0.0 
8.25 7.8443779735 
8.35 0.0 
8.45 0.0 
8.55 1.1739117082 
8.65 0.0717191483 
8.75 0.0 
8.85 0.0 
8.95 0.0 
9.05 1.2866370444 
9.15 0.0 
9.25 1.0963621514 
9.35 0.0478982308 
9.45 0.0 
9.55 0.0 
9.65 0.0 
9.75 11.2385227874 
9.85 0.0 
9.95 2.6119651727 
