# Radial distribution function (20 data points):
# "Pair separation distance" Li-Li Li-Sc Li-Cl Sc-Sc Sc-Cl Cl-Cl
0.25 0.0 0.0 0.0 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 0.0 0.0 0.0 
1.25 0.0 0.0 0.0 0.0 0.0 0.0 
1.75 0.0 0.0 0.0 0.0 0.0 0.0 
2.25 0.0 0.0 0.0 0.0 0.0 0.0 
2.75 0.0 0.0 0.0 0.0 4.4312343502 0.0 
3.25 0.0 0.0 0.0 0.0 0.0 0.0 
3.75 0.0 0.0 0.0 4.7800520286 0.0 4.772098531 
4.25 0.0 0.0 0.0 0.0 0.0 0.0 
4.75 0.0 0.0 0.0 0.0 1.983972083 0.0 
5.25 0.0 0.0 0.0 0.0 0.0 1.2182547609 
5.75 0.0 0.0 0.0 0.0 4.062894971 0.0 
6.25 0.0 0.0 0.0 3.5115327631 0.0 3.4391669584 
6.75 0.0 0.0 0.0 0.0 0.0 0.0 
7.25 0.0 0.0 0.0 2.5684597698 0.0 1.2781056288 
7.75 0.0 0.0 0.0 0.0 2.7964100269 0.0 
8.25 0.0 0.0 0.0 1.9685003791 0.0 1.9742586334 
8.75 0.0 0.0 0.0 0.0 1.7551352595 0.0 
9.25 0.0 0.0 0.0 0.0 1.5705640735 0.5235213578 
9.75 0.0 0.0 0.0 2.8414270815 0.0 2.8272906284 
