# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
50000 9.45473e-31
51000 1.35143
52000 1.9197
53000 2.31757
54000 2.69505
55000 3.22172
56000 3.67557
57000 4.11619
58000 4.46875
59000 4.91182
60000 5.27705
61000 5.62142
62000 6.05358
63000 6.44651
64000 6.90125
65000 7.30989
66000 7.63332
67000 8.09304
68000 8.42755
69000 8.77384
70000 9.18456
71000 9.44563
72000 9.88369
73000 10.2343
74000 10.6034
75000 11.1545
76000 11.4453
77000 11.8855
78000 12.2352
79000 12.6637
80000 13.1339
81000 13.3779
82000 13.9053
83000 14.293
84000 14.5876
85000 14.9962
86000 15.3469
87000 15.721
88000 16.172
89000 16.4997
90000 16.9628
91000 17.315
92000 17.8263
93000 18.1113
94000 18.5418
95000 18.9359
96000 19.2425
97000 19.6371
98000 20.0785
99000 20.5018
100000 20.7789
101000 21.0639
102000 21.4634
103000 21.844
104000 22.3002
105000 22.6947
106000 23.0443
107000 23.4471
108000 23.7933
109000 24.129
110000 24.6018
111000 24.9103
112000 25.1011
113000 25.4395
114000 25.7483
115000 26.078
116000 26.5979
117000 27.0389
118000 27.1285
119000 27.6298
120000 27.9796
121000 28.343
122000 28.6624
123000 28.9657
124000 29.3
125000 29.7555
126000 30.2564
127000 30.4161
128000 30.8862
129000 31.0663
130000 31.4157
131000 31.7428
132000 32.0852
133000 32.555
134000 32.8289
135000 32.9625
136000 33.4703
137000 34.1317
138000 34.4007
139000 34.6279
140000 34.9713
141000 35.2633
142000 35.6826
143000 36.0308
144000 36.328
145000 36.7545
146000 37.2312
147000 37.4437
148000 37.7616
149000 37.8095
150000 38.24
151000 38.5474
152000 38.9747
153000 39.3946
154000 39.5379
155000 39.9192
156000 40.3066
157000 40.822
158000 41.211
159000 41.5425
160000 41.9593
161000 42.2662
162000 42.4643
163000 42.8417
164000 43.1426
165000 43.5978
166000 44.0084
167000 44.3667
168000 44.7936
169000 45.1665
170000 45.7677
171000 45.9392
172000 46.1879
173000 46.5877
174000 46.8261
175000 47.0773
176000 47.6877
177000 48.028
178000 48.1952
179000 48.5678
180000 49.0902
181000 49.3379
182000 49.7581
183000 50.095
184000 50.6509
185000 50.879
186000 51.272
187000 51.4795
188000 52.0888
189000 52.5483
190000 52.8682
191000 53.2468
192000 53.443
193000 53.8689
194000 54.151
195000 54.5306
196000 54.9552
197000 55.3382
198000 55.5555
199000 55.8952
200000 56.349
201000 56.646
202000 56.8938
203000 57.2106
204000 57.5358
205000 57.6053
206000 57.9701
207000 58.6409
208000 58.9884
209000 59.232
210000 59.6837
211000 60.2689
212000 60.5059
213000 60.8582
214000 61.0104
215000 61.6783
216000 61.7791
217000 62.1817
218000 62.6234
219000 62.9868
220000 63.2994
221000 63.6001
222000 64.0363
223000 64.467
224000 64.9096
225000 65.3843
226000 65.7233
227000 66.1578
228000 66.4397
229000 66.687
230000 67.2589
231000 67.4841
232000 67.7895
233000 68.2065
234000 68.6881
235000 68.9398
236000 69.1784
237000 69.5268
238000 69.7711
239000 70.1083
240000 70.4464
241000 70.7601
242000 70.8386
243000 71.3726
244000 71.4455
245000 71.8057
246000 72.1943
247000 72.7896
248000 72.9483
249000 73.1925
250000 73.605
251000 73.7363
252000 74.1467
253000 74.6372
254000 74.846
255000 75.4491
256000 75.7599
257000 76.0562
258000 76.4922
259000 76.6401
260000 76.9908
261000 77.3327
262000 77.7474
263000 78.1354
264000 78.707
265000 78.8418
266000 79.2111
267000 79.5612
268000 79.9769
269000 80.2314
270000 80.388
271000 80.8249
272000 81.1925
273000 81.6787
274000 81.8843
275000 82.1666
276000 82.315
277000 82.7619
278000 83.2018
279000 83.2887
280000 83.4539
281000 83.8889
282000 84.2938
283000 84.515
284000 84.7827
285000 85.1638
286000 85.4413
287000 86.0005
288000 86.2559
289000 86.3453
290000 86.6287
291000 87.0384
292000 87.4199
293000 87.6597
294000 88.2392
295000 88.4019
296000 88.736
297000 89.1667
298000 89.5636
299000 90.0678
300000 90.5903
301000 90.9029
302000 91.297
303000 91.3734
304000 91.7836
305000 92.1672
306000 92.4787
307000 93.2084
308000 93.2267
309000 93.4962
310000 93.9619
311000 94.3895
312000 94.3599
313000 94.8076
314000 95.0053
315000 95.6353
316000 96.0022
317000 96.3433
318000 96.293
319000 96.4948
320000 97.0038
321000 97.2843
322000 97.4728
323000 97.5137
324000 98.0226
325000 98.3233
326000 98.6259
327000 98.7776
328000 99.2836
329000 99.6807
330000 99.8795
331000 100.182
332000 100.618
333000 100.827
334000 101.238
335000 101.476
336000 101.706
337000 102.178
338000 102.509
339000 102.909
340000 103.174
341000 103.623
342000 104.079
343000 104.439
344000 104.843
345000 105.423
346000 105.739
347000 106.198
348000 106.456
349000 107.018
350000 107.502
351000 108.089
352000 108.289
353000 108.363
354000 108.712
355000 109.218
356000 109.492
357000 109.885
358000 110.344
359000 110.377
360000 110.971
361000 111.244
362000 111.646
363000 111.901
364000 112.438
365000 112.416
366000 112.793
367000 113.092
368000 113.691
369000 113.968
370000 114.39
371000 114.668
372000 114.987
373000 115.236
374000 115.647
375000 116.052
376000 116.176
377000 116.374
378000 116.856
379000 116.965
380000 117.407
381000 118.126
382000 118.555
383000 118.81
384000 118.938
385000 119.37
386000 119.623
387000 119.971
388000 120.176
389000 120.828
390000 121.306
391000 121.627
392000 121.954
393000 122.318
394000 122.345
395000 122.9
396000 123.419
397000 123.686
398000 124.085
399000 124.435
400000 124.745
401000 125.547
402000 125.457
403000 125.991
404000 126.743
405000 126.71
406000 127.171
407000 127.612
408000 127.713
409000 127.947
410000 128.536
411000 128.771
412000 129.166
413000 129.576
414000 130.175
415000 130.42
416000 130.728
417000 131.164
418000 131.639
419000 132.203
420000 132.476
421000 132.911
422000 133.197
423000 133.564
424000 134.105
425000 134.62
426000 134.976
427000 135.426
428000 135.974
429000 135.86
430000 136.314
431000 136.499
432000 136.862
433000 137.067
434000 137.612
435000 137.765
436000 138.075
437000 138.169
438000 138.786
439000 138.913
440000 139.47
441000 139.892
442000 140.33
443000 140.4
444000 140.896
445000 141.392
446000 141.443
447000 141.726
448000 142.1
449000 142.389
450000 142.688
451000 143.386
452000 143.619
453000 143.849
454000 144.307
455000 144.682
456000 144.93
457000 145.317
458000 145.795
459000 146.092
