# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
50000 1.02394e-28
51000 0.328946
52000 0.404046
53000 0.435089
54000 0.439822
55000 0.499545
56000 0.555878
57000 0.616223
58000 0.614882
59000 0.6699
60000 0.687677
61000 0.688576
62000 0.723574
63000 0.764418
64000 0.795022
65000 0.814601
66000 0.84259
67000 0.868702
68000 0.891306
69000 0.929451
70000 0.904298
71000 0.932666
72000 0.951299
73000 0.992803
74000 1.03688
75000 1.03785
76000 1.03285
77000 1.08896
78000 1.13919
79000 1.15403
80000 1.19735
81000 1.20124
82000 1.23166
83000 1.26452
84000 1.2694
85000 1.31447
86000 1.32821
87000 1.36524
88000 1.38923
89000 1.39677
90000 1.42061
91000 1.41173
92000 1.48526
93000 1.45984
94000 1.51325
95000 1.53449
96000 1.56246
97000 1.64677
98000 1.62775
99000 1.60597
100000 1.60236
101000 1.58575
102000 1.58441
103000 1.63757
104000 1.71321
105000 1.67652
106000 1.75102
107000 1.78426
108000 1.7957
109000 1.78644
110000 1.83546
111000 1.84148
112000 1.874
113000 1.83325
114000 1.84753
115000 1.9067
116000 1.9363
117000 1.93688
118000 1.95935
119000 1.96889
120000 1.98442
121000 1.97905
122000 1.95302
123000 2.03553
124000 2.07153
125000 2.00905
126000 2.09063
127000 2.05267
128000 2.10267
129000 2.10798
130000 2.14791
131000 2.19476
132000 2.23535
133000 2.25677
134000 2.26301
135000 2.21361
136000 2.24118
137000 2.29434
138000 2.30773
139000 2.31231
140000 2.31345
141000 2.28854
142000 2.31666
143000 2.31412
144000 2.31561
145000 2.39605
146000 2.43191
147000 2.48107
148000 2.44957
149000 2.41728
150000 2.44324
151000 2.46528
152000 2.52964
153000 2.52821
154000 2.51523
155000 2.49923
156000 2.60139
157000 2.65403
158000 2.64701
159000 2.67645
160000 2.62516
161000 2.61445
162000 2.56514
163000 2.61252
164000 2.66403
165000 2.65328
166000 2.62614
167000 2.7136
168000 2.67731
169000 2.76438
170000 2.75917
171000 2.85872
172000 2.77565
173000 2.80634
174000 2.81353
175000 2.82
176000 2.8941
177000 2.83989
178000 2.9295
179000 2.90005
180000 2.9504
181000 2.91791
182000 2.88227
183000 2.95827
184000 2.97407
185000 3.0059
186000 2.99859
187000 3.03922
188000 3.06027
189000 3.07639
190000 3.08736
191000 3.04387
192000 3.07462
193000 3.05875
194000 3.06613
195000 3.09978
196000 3.09978
197000 3.07637
198000 3.14207
199000 3.1091
200000 3.20309
201000 3.20146
202000 3.20097
203000 3.20354
204000 3.21286
205000 3.23282
206000 3.2441
207000 3.25327
208000 3.19333
209000 3.22109
210000 3.2439
211000 3.31586
212000 3.24954
213000 3.31191
214000 3.35071
215000 3.31044
216000 3.39044
217000 3.36521
218000 3.41871
219000 3.37978
220000 3.37698
221000 3.44896
222000 3.46377
223000 3.43441
224000 3.41065
225000 3.48716
226000 3.50316
227000 3.48672
228000 3.50872
229000 3.52266
230000 3.59859
231000 3.6761
232000 3.62817
233000 3.5382
234000 3.62969
235000 3.71906
236000 3.68932
237000 3.7487
238000 3.78708
239000 3.72001
240000 3.67454
241000 3.76651
242000 3.76378
243000 3.79849
244000 3.75731
245000 3.7936
246000 3.72261
247000 3.77429
248000 3.79525
249000 3.78681
250000 3.78805
251000 3.79215
252000 3.8143
253000 3.82747
254000 3.85179
255000 3.87362
256000 3.89939
257000 3.91407
258000 3.93312
259000 3.94963
260000 3.98325
261000 3.9961
262000 4.02607
263000 4.0104
264000 4.08013
265000 4.05728
266000 4.09913
267000 4.1413
268000 4.17334
269000 4.13965
270000 4.10782
271000 4.04457
272000 4.00745
273000 4.05937
274000 4.07486
275000 4.06273
276000 4.08485
277000 4.09855
278000 4.17626
279000 4.14543
280000 4.1638
281000 4.12544
282000 4.22181
283000 4.24235
284000 4.25723
285000 4.26895
286000 4.28622
287000 4.28346
288000 4.30584
289000 4.27562
290000 4.26623
291000 4.38278
292000 4.38185
293000 4.42599
294000 4.33821
295000 4.39366
296000 4.38051
297000 4.47785
298000 4.36985
299000 4.48424
300000 4.52676
301000 4.51892
302000 4.53994
303000 4.51829
304000 4.58182
305000 4.60725
306000 4.59507
307000 4.61241
308000 4.6157
309000 4.61585
310000 4.70104
311000 4.72237
312000 4.66311
313000 4.75212
314000 4.69616
315000 4.80699
316000 4.69778
317000 4.68489
318000 4.7452
319000 4.69502
320000 4.74252
321000 4.76337
322000 4.80588
323000 4.79197
324000 4.74685
325000 4.84277
326000 4.88523
327000 4.81992
328000 4.91849
329000 4.9649
330000 4.93299
331000 4.88831
332000 4.88193
333000 4.97383
334000 5.00275
335000 4.99659
336000 4.98829
337000 4.99219
338000 4.96528
339000 4.9571
340000 5.03309
341000 4.89415
342000 5.01989
343000 5.01059
344000 5.00981
345000 5.04823
346000 5.08077
347000 5.07976
348000 5.03919
349000 5.08003
350000 5.15829
351000 5.08827
352000 5.09631
353000 5.10795
354000 5.17249
355000 5.19078
356000 5.22302
357000 5.30088
358000 5.21174
359000 5.2615
360000 5.26325
361000 5.2676
362000 5.33792
363000 5.35401
364000 5.40804
365000 5.44308
366000 5.43661
367000 5.46577
368000 5.37077
369000 5.43175
370000 5.37624
371000 5.444
372000 5.37613
373000 5.34927
374000 5.28105
375000 5.42366
376000 5.48911
377000 5.52111
378000 5.47941
379000 5.48608
380000 5.53826
381000 5.57318
382000 5.52507
383000 5.52051
384000 5.54818
385000 5.58258
386000 5.55898
387000 5.60057
388000 5.53238
389000 5.56882
390000 5.64034
391000 5.6606
392000 5.75417
393000 5.67766
394000 5.70925
395000 5.6652
396000 5.73609
397000 5.65002
398000 5.75562
399000 5.74218
400000 5.65406
401000 5.69324
402000 5.73297
403000 5.75346
404000 5.81708
405000 5.92613
406000 5.75276
407000 5.72798
408000 5.80379
409000 5.8456
410000 5.86379
411000 5.83041
412000 5.78162
413000 5.8292
414000 5.86984
415000 5.8625
416000 5.87183
417000 5.90662
418000 5.82861
419000 6.00051
420000 5.96407
421000 5.96488
422000 5.92987
423000 5.97105
424000 5.98219
425000 5.9622
426000 5.96463
427000 6.02112
428000 6.11458
429000 6.10104
430000 6.06271
431000 6.07938
432000 6.09214
433000 5.99438
434000 6.12477
435000 6.07871
436000 6.12416
437000 6.12605
438000 6.12492
439000 6.15214
440000 6.17733
441000 6.14013
442000 6.13417
443000 6.15818
444000 6.18804
445000 6.21745
446000 6.223
447000 6.1608
448000 6.14877
449000 6.22472
450000 6.23896
451000 6.16678
452000 6.2893
453000 6.28485
454000 6.30793
455000 6.29808
456000 6.31918
457000 6.29197
458000 6.32459
459000 6.2608
460000 6.36884
461000 6.29738
462000 6.39347
463000 6.29122
464000 6.36586
465000 6.35728
466000 6.43364
467000 6.41904
468000 6.47259
469000 6.42771
470000 6.41825
471000 6.37423
472000 6.41583
473000 6.53747
474000 6.52085
475000 6.51215
476000 6.51678
477000 6.52608
478000 6.57895
479000 6.6213
480000 6.58438
481000 6.49709
482000 6.54796
483000 6.65214
484000 6.57421
485000 6.72949
486000 6.73116
487000 6.66517
488000 6.72013
489000 6.67733
490000 6.56753
491000 6.72945
492000 6.70056
493000 6.8466
494000 6.80744
495000 6.84287
496000 6.7366
497000 6.82497
498000 6.83839
499000 6.84597
500000 6.7444
501000 6.82853
502000 6.86281
503000 6.81332
504000 6.9063
505000 6.80288
506000 6.78929
507000 6.92011
508000 6.83655
509000 6.85879
510000 6.85446
511000 6.96168
512000 6.85753
513000 6.93865
514000 6.89052
515000 6.89738
516000 7.053
517000 6.96772
518000 7.04974
519000 7.05169
520000 6.9231
521000 6.98917
522000 7.06991
523000 7.04716
524000 7.09415
525000 7.11527
526000 7.10372
527000 7.06925
528000 7.14724
529000 7.13351
530000 7.02329
531000 7.01812
532000 7.02993
533000 7.10112
534000 7.14911
535000 7.10427
536000 7.20881
537000 7.26342
538000 7.30617
539000 7.20284
540000 7.19082
541000 7.28077
542000 7.28179
543000 7.32815
544000 7.35988
545000 7.36005
546000 7.35176
547000 7.37291
548000 7.46354
549000 7.40606
550000 7.3766
551000 7.43663
552000 7.47551
553000 7.54804
554000 7.4622
555000 7.46605
556000 7.52486
557000 7.55811
558000 7.52987
559000 7.52668
560000 7.54092
561000 7.54195
562000 7.53615
563000 7.67284
564000 7.6044
565000 7.60391
566000 7.70353
567000 7.62902
568000 7.66404
569000 7.71137
570000 7.74452
571000 7.66875
572000 7.72101
573000 7.66857
574000 7.64125
575000 7.76943
576000 7.71613
577000 7.71075
578000 7.77023
579000 7.71175
580000 7.76633
581000 7.79484
582000 7.7592
583000 7.74905
584000 7.68274
585000 7.71589
586000 7.78054
587000 7.75595
588000 7.77406
589000 7.85271
590000 7.82591
591000 7.81729
592000 7.9386
593000 7.87374
594000 7.98858
595000 7.93464
596000 7.91414
597000 7.9596
598000 7.98225
599000 7.95384
600000 7.97747
601000 8.05453
602000 8.03628
603000 8.02635
604000 8.01397
605000 8.00938
606000 8.01073
607000 8.06318
608000 8.10794
609000 8.14376
