# Time-averaged data for fix lithiummsdt
# TimeStep c_lithiummsd[4]
10050000 5.50056e-29
10051000 0.635923
10052000 0.731002
10053000 0.82127
10054000 0.899394
10055000 0.994303
10056000 1.07008
10057000 1.1087
10058000 1.19529
10059000 1.27794
10060000 1.31839
10061000 1.36791
10062000 1.43444
10063000 1.46486
10064000 1.52599
10065000 1.56304
10066000 1.6092
10067000 1.68197
10068000 1.74617
10069000 1.79023
10070000 1.83506
10071000 1.88286
10072000 1.90686
10073000 1.96197
10074000 1.99499
10075000 2.04846
10076000 2.1112
10077000 2.14773
10078000 2.20073
10079000 2.23357
10080000 2.23567
10081000 2.25637
10082000 2.31307
10083000 2.3715
10084000 2.39167
10085000 2.45112
10086000 2.45167
10087000 2.52173
10088000 2.53716
10089000 2.56829
10090000 2.58351
10091000 2.65017
10092000 2.68774
10093000 2.77029
10094000 2.8236
10095000 2.88039
10096000 2.91038
10097000 2.95808
10098000 3.00837
10099000 3.04916
10100000 3.07996
10101000 3.09031
10102000 3.16785
10103000 3.18486
10104000 3.228
10105000 3.31349
10106000 3.32708
10107000 3.39763
10108000 3.45853
10109000 3.49138
10110000 3.52464
10111000 3.56721
10112000 3.60867
10113000 3.67339
10114000 3.69209
10115000 3.7304
10116000 3.76686
10117000 3.83615
10118000 3.89989
10119000 3.94906
10120000 3.97621
10121000 4.05854
10122000 4.14933
10123000 4.24002
10124000 4.28906
10125000 4.35394
10126000 4.4387
10127000 4.43826
10128000 4.48183
10129000 4.5482
10130000 4.58103
10131000 4.68175
10132000 4.71799
10133000 4.71805
10134000 4.75042
10135000 4.79515
10136000 4.86592
10137000 4.90123
10138000 4.9253
10139000 4.98638
10140000 5.0038
10141000 5.0399
10142000 5.0382
10143000 5.08183
10144000 5.16825
10145000 5.1967
10146000 5.24027
10147000 5.29988
10148000 5.30606
10149000 5.34594
10150000 5.396
10151000 5.47159
10152000 5.54003
10153000 5.56639
10154000 5.60366
10155000 5.63371
10156000 5.72438
10157000 5.73318
10158000 5.79146
10159000 5.82773
