# Time-averaged data for fix chloridemymsdt
# TimeStep c_chloridemsd[4]
10050000 3.38964e-31
10051000 0.2351
10052000 0.243644
10053000 0.252512
10054000 0.26047
10055000 0.259667
10056000 0.265309
10057000 0.252961
10058000 0.256392
10059000 0.268027
10060000 0.270658
10061000 0.274828
10062000 0.270596
10063000 0.275019
10064000 0.271572
10065000 0.278288
10066000 0.281661
10067000 0.28003
10068000 0.28875
10069000 0.293777
10070000 0.292805
10071000 0.300214
10072000 0.298725
10073000 0.299771
10074000 0.302015
10075000 0.298279
10076000 0.303401
10077000 0.293994
10078000 0.299003
10079000 0.304351
10080000 0.308224
10081000 0.303961
10082000 0.310704
10083000 0.305009
10084000 0.307802
10085000 0.305176
10086000 0.307368
10087000 0.308572
10088000 0.308228
10089000 0.308973
10090000 0.312263
10091000 0.311113
10092000 0.311363
10093000 0.305901
10094000 0.314058
10095000 0.310626
10096000 0.307717
10097000 0.320551
10098000 0.314527
10099000 0.3061
10100000 0.306452
10101000 0.306835
10102000 0.310631
10103000 0.310678
10104000 0.319964
10105000 0.319811
10106000 0.3148
10107000 0.316657
10108000 0.32435
10109000 0.32896
10110000 0.333345
10111000 0.326726
10112000 0.336709
10113000 0.332306
10114000 0.334104
10115000 0.327413
10116000 0.326102
10117000 0.337253
10118000 0.331584
10119000 0.314301
10120000 0.326005
10121000 0.329064
10122000 0.325875
10123000 0.335685
10124000 0.330605
10125000 0.333799
10126000 0.334736
10127000 0.340788
10128000 0.34256
10129000 0.342784
10130000 0.33887
10131000 0.347046
10132000 0.348174
10133000 0.343404
10134000 0.34115
10135000 0.332101
10136000 0.339041
10137000 0.345635
10138000 0.343591
10139000 0.342506
10140000 0.342687
10141000 0.349399
10142000 0.336665
10143000 0.34772
10144000 0.341579
10145000 0.345013
10146000 0.341654
10147000 0.34523
10148000 0.343173
10149000 0.346973
10150000 0.347575
10151000 0.346746
10152000 0.344767
10153000 0.346893
10154000 0.338042
10155000 0.345147
10156000 0.348956
10157000 0.345823
10158000 0.336347
10159000 0.338966
10160000 0.352119
10161000 0.354253
10162000 0.349857
10163000 0.34894
10164000 0.355024
10165000 0.348285
10166000 0.357094
10167000 0.350515
10168000 0.354679
10169000 0.352584
10170000 0.35253
10171000 0.362094
10172000 0.356962
10173000 0.361368
10174000 0.365008
10175000 0.354822
10176000 0.362291
10177000 0.37312
10178000 0.366987
10179000 0.351578
10180000 0.362727
10181000 0.366211
10182000 0.370943
10183000 0.373765
10184000 0.368617
10185000 0.372844
10186000 0.367587
10187000 0.365477
10188000 0.369241
10189000 0.374277
10190000 0.368059
10191000 0.370301
10192000 0.369598
10193000 0.371545
10194000 0.376101
10195000 0.37259
10196000 0.36741
10197000 0.370731
10198000 0.37937
10199000 0.371174
10200000 0.366046
10201000 0.37128
10202000 0.370818
10203000 0.374859
10204000 0.37278
10205000 0.377887
10206000 0.371987
10207000 0.370142
10208000 0.373503
10209000 0.375236
10210000 0.36975
10211000 0.373575
10212000 0.374643
10213000 0.376439
10214000 0.379113
10215000 0.377026
10216000 0.376728
10217000 0.372561
10218000 0.374749
10219000 0.374265
10220000 0.377452
10221000 0.378987
10222000 0.385368
10223000 0.376202
10224000 0.386008
10225000 0.376539
10226000 0.378012
10227000 0.374232
10228000 0.374373
10229000 0.371999
10230000 0.371068
10231000 0.376493
10232000 0.373266
10233000 0.383413
10234000 0.380958
10235000 0.378825
10236000 0.378368
10237000 0.380761
10238000 0.377634
10239000 0.381667
10240000 0.384337
10241000 0.365063
10242000 0.37918
10243000 0.384682
10244000 0.382553
10245000 0.37462
10246000 0.373437
10247000 0.38871
10248000 0.385882
10249000 0.392533
10250000 0.387149
10251000 0.378693
10252000 0.378259
10253000 0.387609
10254000 0.385303
10255000 0.388189
10256000 0.394831
10257000 0.386182
10258000 0.383849
10259000 0.395927
10260000 0.392017
10261000 0.390063
10262000 0.39598
10263000 0.390658
10264000 0.387865
10265000 0.395303
10266000 0.393605
10267000 0.401021
10268000 0.39863
10269000 0.391659
10270000 0.403398
10271000 0.386542
10272000 0.404959
10273000 0.388813
10274000 0.400234
10275000 0.393675
10276000 0.400104
10277000 0.40265
10278000 0.395857
10279000 0.401979
10280000 0.401283
10281000 0.395944
10282000 0.400004
10283000 0.39235
10284000 0.397546
10285000 0.395183
10286000 0.40792
10287000 0.401654
10288000 0.401182
10289000 0.400739
10290000 0.404674
10291000 0.401694
10292000 0.398619
10293000 0.39674
10294000 0.406752
10295000 0.402182
10296000 0.400874
10297000 0.413867
10298000 0.413415
10299000 0.410071
10300000 0.416335
10301000 0.413385
10302000 0.40743
10303000 0.411159
10304000 0.412151
10305000 0.421133
10306000 0.419868
10307000 0.418469
10308000 0.415679
10309000 0.414433
10310000 0.409336
10311000 0.410622
10312000 0.408686
10313000 0.408752
10314000 0.417123
10315000 0.409086
10316000 0.416831
10317000 0.415387
10318000 0.416408
10319000 0.422652
10320000 0.428554
10321000 0.427048
10322000 0.417687
10323000 0.421054
10324000 0.423722
10325000 0.420013
10326000 0.426142
10327000 0.427801
10328000 0.422533
10329000 0.42641
10330000 0.422213
10331000 0.422174
10332000 0.429796
10333000 0.426324
10334000 0.422831
10335000 0.431154
10336000 0.429185
10337000 0.427715
10338000 0.427531
10339000 0.430458
10340000 0.43578
10341000 0.428409
10342000 0.435539
10343000 0.425259
10344000 0.426606
10345000 0.431316
10346000 0.42849
10347000 0.430337
10348000 0.425801
10349000 0.4315
10350000 0.433884
10351000 0.431933
10352000 0.439746
10353000 0.431478
10354000 0.438841
10355000 0.437702
10356000 0.43431
10357000 0.442427
10358000 0.440225
10359000 0.433089
10360000 0.438014
10361000 0.435328
10362000 0.439079
10363000 0.433123
10364000 0.441462
10365000 0.446219
10366000 0.441986
10367000 0.440747
10368000 0.447343
10369000 0.436217
10370000 0.446387
10371000 0.442859
10372000 0.448497
10373000 0.448593
10374000 0.438702
10375000 0.446422
10376000 0.44841
10377000 0.451279
10378000 0.444563
10379000 0.448886
10380000 0.456026
10381000 0.454413
10382000 0.452996
10383000 0.458307
10384000 0.463894
10385000 0.454919
10386000 0.459794
10387000 0.468249
10388000 0.460903
10389000 0.457267
10390000 0.45167
10391000 0.460395
10392000 0.460325
10393000 0.459035
10394000 0.462421
10395000 0.459182
10396000 0.463604
10397000 0.46823
10398000 0.466957
10399000 0.466072
10400000 0.468166
10401000 0.476592
10402000 0.463912
10403000 0.47702
10404000 0.468531
10405000 0.470282
10406000 0.476083
10407000 0.481758
10408000 0.468736
10409000 0.474001
10410000 0.476144
10411000 0.470512
10412000 0.465175
10413000 0.465947
10414000 0.467333
10415000 0.476071
10416000 0.47532
10417000 0.483359
10418000 0.470148
10419000 0.486488
10420000 0.482353
10421000 0.483685
10422000 0.487107
10423000 0.488276
10424000 0.48337
10425000 0.488753
10426000 0.483009
10427000 0.488499
10428000 0.479796
10429000 0.483289
10430000 0.487925
10431000 0.480849
10432000 0.47602
10433000 0.479053
10434000 0.48168
10435000 0.477396
10436000 0.479605
10437000 0.488053
10438000 0.496889
10439000 0.48975
10440000 0.494644
10441000 0.502045
10442000 0.484706
10443000 0.494114
10444000 0.496409
10445000 0.495802
10446000 0.49031
