# Time-averaged data for fix scandiummymsdt
# TimeStep c_scandiummsd[4]
10050000 1.02098e-28
10051000 0.0874205
10052000 0.0885868
10053000 0.0871743
10054000 0.0945938
10055000 0.0900994
10056000 0.0979518
10057000 0.0858166
10058000 0.0877946
10059000 0.0974251
10060000 0.0939933
10061000 0.0983933
10062000 0.0922671
10063000 0.0966959
10064000 0.0919508
10065000 0.0933117
10066000 0.0991011
10067000 0.092488
10068000 0.0971925
10069000 0.0979027
10070000 0.095633
10071000 0.102592
10072000 0.0947043
10073000 0.0981757
10074000 0.0996523
10075000 0.0973351
10076000 0.104895
10077000 0.0945873
10078000 0.0971948
10079000 0.100484
10080000 0.098104
10081000 0.0964884
10082000 0.105251
10083000 0.0979615
10084000 0.103754
10085000 0.0976253
10086000 0.0977121
10087000 0.100398
10088000 0.0981486
10089000 0.0993291
10090000 0.0999854
10091000 0.0946755
10092000 0.100303
10093000 0.0969059
10094000 0.101402
10095000 0.101255
10096000 0.0953844
10097000 0.101933
10098000 0.0977292
10099000 0.0972201
10100000 0.0991227
10101000 0.0994244
10102000 0.0978955
10103000 0.0972287
10104000 0.101863
10105000 0.102177
10106000 0.101648
10107000 0.099805
10108000 0.100275
10109000 0.105028
10110000 0.10485
10111000 0.100879
10112000 0.102871
10113000 0.102427
10114000 0.108639
10115000 0.104006
10116000 0.102604
10117000 0.104469
10118000 0.106355
10119000 0.0963946
10120000 0.103461
10121000 0.0989939
10122000 0.100594
10123000 0.104768
10124000 0.102589
10125000 0.104095
10126000 0.103556
10127000 0.104199
10128000 0.105006
10129000 0.108946
10130000 0.106927
10131000 0.107579
10132000 0.114206
10133000 0.105219
10134000 0.103689
10135000 0.101102
10136000 0.105104
10137000 0.106523
10138000 0.106479
10139000 0.104363
10140000 0.102058
10141000 0.107995
10142000 0.101924
10143000 0.109924
10144000 0.102443
10145000 0.10368
10146000 0.105962
10147000 0.106558
10148000 0.104882
10149000 0.108625
10150000 0.10624
10151000 0.103944
10152000 0.105037
10153000 0.108094
10154000 0.101304
10155000 0.10257
10156000 0.108993
10157000 0.10557
10158000 0.103367
10159000 0.102076
10160000 0.103071
10161000 0.109367
10162000 0.100684
10163000 0.102569
10164000 0.110846
10165000 0.105811
10166000 0.106841
10167000 0.101329
10168000 0.107376
10169000 0.106598
10170000 0.104279
10171000 0.109898
10172000 0.109026
10173000 0.106032
10174000 0.109788
10175000 0.106467
10176000 0.109712
10177000 0.111469
10178000 0.108944
10179000 0.10774
10180000 0.10965
10181000 0.111756
10182000 0.114601
10183000 0.113181
10184000 0.110521
10185000 0.110046
10186000 0.111166
10187000 0.109163
10188000 0.111502
10189000 0.110336
10190000 0.110458
10191000 0.108481
10192000 0.108924
10193000 0.111346
10194000 0.113362
10195000 0.109129
10196000 0.111611
10197000 0.111221
10198000 0.111974
10199000 0.112117
10200000 0.108498
10201000 0.114123
10202000 0.109324
10203000 0.112067
10204000 0.109433
10205000 0.115744
10206000 0.112892
10207000 0.105008
10208000 0.108698
10209000 0.112737
10210000 0.106326
10211000 0.105563
10212000 0.113166
10213000 0.110379
10214000 0.10958
10215000 0.108871
10216000 0.107506
10217000 0.108214
10218000 0.109448
10219000 0.108784
10220000 0.110508
10221000 0.110075
10222000 0.11155
10223000 0.107362
10224000 0.115449
10225000 0.110165
10226000 0.112158
10227000 0.10955
10228000 0.109727
10229000 0.110174
10230000 0.105542
10231000 0.111329
10232000 0.110633
10233000 0.113284
10234000 0.114757
10235000 0.116397
10236000 0.109373
10237000 0.109613
10238000 0.109894
10239000 0.112315
10240000 0.115856
10241000 0.106733
10242000 0.112146
10243000 0.112427
10244000 0.11441
10245000 0.112351
10246000 0.111233
10247000 0.113693
10248000 0.111136
10249000 0.115958
10250000 0.108803
10251000 0.104755
10252000 0.108352
10253000 0.111687
10254000 0.110371
10255000 0.112888
10256000 0.112955
10257000 0.110079
10258000 0.108094
10259000 0.113502
10260000 0.112174
10261000 0.110865
10262000 0.111983
10263000 0.114917
10264000 0.109254
10265000 0.11116
10266000 0.111932
10267000 0.116203
10268000 0.114508
10269000 0.10825
10270000 0.117332
10271000 0.111574
10272000 0.118914
10273000 0.112251
10274000 0.114334
10275000 0.113858
10276000 0.114091
10277000 0.114867
10278000 0.113215
10279000 0.11671
10280000 0.113606
10281000 0.111206
10282000 0.115784
10283000 0.110015
10284000 0.115104
10285000 0.10881
10286000 0.111204
10287000 0.113006
10288000 0.111883
10289000 0.115928
10290000 0.116557
10291000 0.109535
10292000 0.112514
10293000 0.108934
10294000 0.112584
10295000 0.111195
10296000 0.112418
10297000 0.114651
10298000 0.114708
10299000 0.110112
10300000 0.115621
10301000 0.11705
10302000 0.114273
10303000 0.114243
10304000 0.110025
10305000 0.118956
10306000 0.117194
10307000 0.118083
10308000 0.11775
10309000 0.119598
10310000 0.115961
10311000 0.109496
10312000 0.114938
10313000 0.117237
10314000 0.114128
10315000 0.110783
10316000 0.117272
10317000 0.117629
10318000 0.113651
10319000 0.114588
10320000 0.118944
10321000 0.117549
10322000 0.113302
10323000 0.112756
10324000 0.116032
10325000 0.118618
10326000 0.121326
10327000 0.119575
10328000 0.118177
10329000 0.115738
10330000 0.114837
10331000 0.116154
10332000 0.118313
10333000 0.116291
10334000 0.11362
10335000 0.12076
10336000 0.119217
10337000 0.117473
10338000 0.114215
10339000 0.119779
10340000 0.118244
10341000 0.112971
10342000 0.12072
10343000 0.118917
10344000 0.114785
10345000 0.115799
10346000 0.118131
10347000 0.116026
10348000 0.114505
10349000 0.123342
10350000 0.117291
10351000 0.117553
10352000 0.120553
10353000 0.115367
10354000 0.114096
10355000 0.116663
10356000 0.118428
10357000 0.117873
10358000 0.117062
10359000 0.114304
10360000 0.118985
10361000 0.11358
10362000 0.11827
10363000 0.113705
10364000 0.116576
10365000 0.118632
10366000 0.119694
10367000 0.116351
10368000 0.117199
10369000 0.115157
10370000 0.118638
10371000 0.11372
10372000 0.115971
10373000 0.116812
10374000 0.114161
10375000 0.118561
10376000 0.117528
10377000 0.11984
10378000 0.115791
10379000 0.116667
10380000 0.120351
10381000 0.117402
10382000 0.119607
10383000 0.121831
10384000 0.121584
10385000 0.116841
10386000 0.120914
10387000 0.123368
10388000 0.119121
10389000 0.119619
10390000 0.117739
10391000 0.118187
10392000 0.120147
10393000 0.118593
10394000 0.12297
10395000 0.117011
10396000 0.118842
10397000 0.124267
10398000 0.124413
10399000 0.121664
10400000 0.121194
10401000 0.125083
10402000 0.118479
10403000 0.12517
10404000 0.117774
10405000 0.116394
10406000 0.120103
10407000 0.124506
10408000 0.117569
10409000 0.120692
10410000 0.122127
10411000 0.11938
10412000 0.117212
10413000 0.121085
10414000 0.118694
10415000 0.121304
10416000 0.120323
10417000 0.128168
10418000 0.119179
10419000 0.1238
10420000 0.121905
10421000 0.124124
10422000 0.123158
10423000 0.123006
10424000 0.125056
10425000 0.128888
10426000 0.118317
10427000 0.123696
10428000 0.126683
10429000 0.120129
10430000 0.121678
10431000 0.125897
10432000 0.121511
10433000 0.120379
10434000 0.122623
10435000 0.121503
10436000 0.122484
10437000 0.122761
10438000 0.125015
10439000 0.124122
10440000 0.12676
10441000 0.129207
10442000 0.119906
10443000 0.12067
10444000 0.12393
10445000 0.123898
10446000 0.118798
10447000 0.127712
10448000 0.118847
10449000 0.123549
10450000 0.121776
10451000 0.124698
10452000 0.118407
10453000 0.118842
10454000 0.12188
10455000 0.120763
10456000 0.120199
10457000 0.126355
10458000 0.120278
10459000 0.1286
10460000 0.121318
10461000 0.124539
10462000 0.126207
10463000 0.123188
10464000 0.118949
10465000 0.128415
10466000 0.128411
10467000 0.121593
10468000 0.127177
10469000 0.122483
10470000 0.127811
10471000 0.124284
10472000 0.126573
10473000 0.126275
10474000 0.123186
10475000 0.130906
10476000 0.12501
10477000 0.124939
10478000 0.124194
10479000 0.124878
10480000 0.133018
10481000 0.129762
10482000 0.125422
10483000 0.131628
10484000 0.13305
10485000 0.131048
10486000 0.127538
10487000 0.133064
10488000 0.129176
10489000 0.127934
10490000 0.130498
10491000 0.132256
10492000 0.127911
10493000 0.132314
10494000 0.131299
10495000 0.133107
10496000 0.129668
10497000 0.128951
10498000 0.131382
10499000 0.127381
10500000 0.128716
10501000 0.130633
10502000 0.127644
10503000 0.134269
10504000 0.132738
10505000 0.128475
10506000 0.129121
10507000 0.130212
10508000 0.135003
10509000 0.1228
10510000 0.12768
10511000 0.131952
10512000 0.122694
10513000 0.128885
10514000 0.134282
10515000 0.123276
10516000 0.131996
10517000 0.132679
10518000 0.131245
10519000 0.131068
10520000 0.136744
10521000 0.138599
10522000 0.132066
10523000 0.134175
10524000 0.140286
10525000 0.133965
10526000 0.133139
10527000 0.140114
10528000 0.137163
10529000 0.129655
10530000 0.129618
10531000 0.133756
10532000 0.137344
10533000 0.130153
10534000 0.130418
10535000 0.130477
10536000 0.135343
10537000 0.130621
10538000 0.134996
10539000 0.138299
10540000 0.133899
10541000 0.131772
10542000 0.131388
10543000 0.137125
10544000 0.131912
10545000 0.137085
10546000 0.130093
10547000 0.132756
10548000 0.135375
10549000 0.135875
10550000 0.134314
10551000 0.132933
10552000 0.135227
10553000 0.138829
10554000 0.133281
10555000 0.13166
10556000 0.137522
10557000 0.133061
10558000 0.137103
10559000 0.13798
10560000 0.132058
10561000 0.137258
10562000 0.134037
10563000 0.141655
10564000 0.132517
10565000 0.133899
10566000 0.13896
10567000 0.133263
10568000 0.13523
10569000 0.142411
10570000 0.134271
10571000 0.13452
10572000 0.132203
10573000 0.138198
10574000 0.132209
10575000 0.135035
10576000 0.142589
10577000 0.13657
10578000 0.132292
10579000 0.141453
10580000 0.132059
10581000 0.138334
10582000 0.140969
10583000 0.139627
10584000 0.139154
10585000 0.132662
10586000 0.140762
10587000 0.138116
10588000 0.133815
10589000 0.137317
10590000 0.144507
10591000 0.1358
10592000 0.1406
10593000 0.139393
10594000 0.142468
10595000 0.133923
10596000 0.13578
10597000 0.139901
10598000 0.134806
10599000 0.138513
10600000 0.132878
10601000 0.13616
10602000 0.140998
10603000 0.13272
10604000 0.138678
10605000 0.13476
10606000 0.137036
10607000 0.136592
10608000 0.137069
10609000 0.140567
10610000 0.1371
10611000 0.138655
10612000 0.139908
10613000 0.141257
10614000 0.136293
10615000 0.138369
10616000 0.141892
10617000 0.138976
10618000 0.138975
10619000 0.133626
10620000 0.134633
10621000 0.134226
10622000 0.134882
10623000 0.136372
10624000 0.131481
10625000 0.136033
10626000 0.141448
10627000 0.12796
10628000 0.130522
10629000 0.134694
10630000 0.136502
10631000 0.139116
10632000 0.137891
10633000 0.14229
10634000 0.134785
10635000 0.135898
10636000 0.146629
10637000 0.138607
10638000 0.132101
10639000 0.138696
10640000 0.138681
10641000 0.140048
10642000 0.135229
10643000 0.13768
10644000 0.139729
10645000 0.139603
10646000 0.136039
10647000 0.141973
10648000 0.14287
10649000 0.138706
10650000 0.134972
10651000 0.13453
10652000 0.138952
10653000 0.13669
10654000 0.137452
10655000 0.147391
10656000 0.132431
10657000 0.138763
10658000 0.137908
10659000 0.140872
10660000 0.141534
10661000 0.134872
10662000 0.142789
10663000 0.135793
10664000 0.138877
10665000 0.140336
10666000 0.137827
10667000 0.142458
10668000 0.13482
10669000 0.139088
10670000 0.137815
10671000 0.138991
10672000 0.139343
10673000 0.134667
10674000 0.138327
10675000 0.140217
10676000 0.136162
10677000 0.136071
10678000 0.13578
10679000 0.132308
10680000 0.141466
10681000 0.138777
10682000 0.141097
10683000 0.139003
10684000 0.134728
10685000 0.142361
10686000 0.138819
10687000 0.13973
10688000 0.140408
10689000 0.1401
10690000 0.14036
10691000 0.136425
10692000 0.1416
10693000 0.140756
10694000 0.135359
10695000 0.138367
10696000 0.144132
10697000 0.13929
10698000 0.140484
10699000 0.151212
10700000 0.137612
10701000 0.144329
10702000 0.134423
10703000 0.143854
10704000 0.134321
10705000 0.136426
10706000 0.147429
10707000 0.13972
10708000 0.139641
10709000 0.137721
10710000 0.144935
10711000 0.148895
10712000 0.135321
10713000 0.14424
10714000 0.143484
10715000 0.139722
10716000 0.136346
10717000 0.139875
10718000 0.134957
10719000 0.132158
10720000 0.14268
10721000 0.142526
10722000 0.138631
10723000 0.145282
10724000 0.147195
10725000 0.141981
10726000 0.146349
10727000 0.1444
10728000 0.143865
10729000 0.142581
10730000 0.142448
10731000 0.141302
10732000 0.137052
10733000 0.139232
10734000 0.144262
10735000 0.136213
10736000 0.138848
10737000 0.146062
10738000 0.138988
10739000 0.139573
10740000 0.136533
10741000 0.140514
10742000 0.141726
10743000 0.141469
10744000 0.136512
10745000 0.14314
10746000 0.140067
10747000 0.140012
10748000 0.13839
10749000 0.142933
10750000 0.129774
10751000 0.140352
10752000 0.136356
10753000 0.141967
10754000 0.136705
10755000 0.135356
10756000 0.141965
10757000 0.134246
10758000 0.134186
10759000 0.141448
10760000 0.131361
10761000 0.142662
10762000 0.135556
10763000 0.140946
10764000 0.136682
10765000 0.138944
10766000 0.141679
10767000 0.138114
10768000 0.141114
10769000 0.13741
10770000 0.141597
10771000 0.13834
10772000 0.143969
10773000 0.138788
10774000 0.146347
10775000 0.144848
10776000 0.140923
10777000 0.142961
10778000 0.140551
10779000 0.143927
10780000 0.145338
10781000 0.139272
10782000 0.137754
10783000 0.143035
10784000 0.141658
10785000 0.147727
10786000 0.139793
10787000 0.141818
10788000 0.146932
10789000 0.143926
10790000 0.147144
10791000 0.141619
10792000 0.147036
10793000 0.143439
10794000 0.141618
10795000 0.143631
10796000 0.1416
10797000 0.144072
10798000 0.141553
10799000 0.148291
10800000 0.144147
10801000 0.140994
10802000 0.140017
10803000 0.144714
10804000 0.145365
10805000 0.147937
10806000 0.142316
10807000 0.143448
10808000 0.13882
10809000 0.145962
10810000 0.140486
10811000 0.1448
10812000 0.13872
10813000 0.138257
10814000 0.140963
10815000 0.149682
10816000 0.147408
10817000 0.138327
10818000 0.148582
10819000 0.143582
10820000 0.14496
10821000 0.142035
10822000 0.149109
10823000 0.142477
10824000 0.140843
10825000 0.144306
10826000 0.142535
10827000 0.143121
10828000 0.150573
10829000 0.141341
10830000 0.138075
10831000 0.144311
10832000 0.140733
10833000 0.138706
10834000 0.140542
10835000 0.146027
10836000 0.146364
10837000 0.139539
10838000 0.143421
10839000 0.140951
10840000 0.141316
10841000 0.148446
10842000 0.146895
10843000 0.143449
10844000 0.142337
10845000 0.155545
10846000 0.144769
10847000 0.142406
10848000 0.142461
10849000 0.148646
10850000 0.146628
10851000 0.140759
10852000 0.144659
10853000 0.146119
10854000 0.148368
10855000 0.149588
10856000 0.151477
10857000 0.147371
10858000 0.148886
10859000 0.148728
10860000 0.152343
10861000 0.155673
10862000 0.144827
10863000 0.14481
10864000 0.150595
10865000 0.154423
10866000 0.147712
10867000 0.149064
10868000 0.147513
10869000 0.148163
10870000 0.146544
10871000 0.146289
10872000 0.146393
10873000 0.144729
10874000 0.143157
10875000 0.147835
10876000 0.143432
10877000 0.150696
10878000 0.145384
10879000 0.149232
10880000 0.142442
10881000 0.142812
10882000 0.145347
10883000 0.141457
10884000 0.138895
10885000 0.140341
10886000 0.149317
10887000 0.141486
10888000 0.144181
10889000 0.140448
10890000 0.142827
10891000 0.141801
10892000 0.145841
10893000 0.14482
10894000 0.141963
10895000 0.144686
10896000 0.147386
10897000 0.150856
10898000 0.140278
10899000 0.141856
10900000 0.147859
10901000 0.146568
10902000 0.141001
10903000 0.14433
10904000 0.147437
10905000 0.144097
10906000 0.142972
10907000 0.148985
10908000 0.143685
10909000 0.141894
10910000 0.144409
10911000 0.155323
10912000 0.142657
10913000 0.145047
10914000 0.150504
10915000 0.144484
10916000 0.146587
10917000 0.146038
10918000 0.152702
10919000 0.149418
10920000 0.14195
10921000 0.150758
10922000 0.150987
10923000 0.149687
10924000 0.146228
10925000 0.157168
10926000 0.145835
10927000 0.145887
10928000 0.153706
10929000 0.152713
10930000 0.147827
10931000 0.147956
10932000 0.152575
10933000 0.14692
10934000 0.144139
10935000 0.150548
10936000 0.149463
10937000 0.150208
10938000 0.149717
10939000 0.152414
10940000 0.148986
10941000 0.153029
10942000 0.14958
10943000 0.152979
10944000 0.145827
10945000 0.149342
10946000 0.145222
10947000 0.156496
10948000 0.148214
10949000 0.142676
10950000 0.161337
10951000 0.151845
10952000 0.14522
10953000 0.148186
10954000 0.146121
10955000 0.151065
10956000 0.146588
10957000 0.142949
10958000 0.145503
10959000 0.145221
10960000 0.14384
10961000 0.151931
10962000 0.153475
10963000 0.155994
10964000 0.150108
10965000 0.152006
10966000 0.150606
10967000 0.152203
10968000 0.157962
10969000 0.153009
10970000 0.16
10971000 0.152398
10972000 0.157868
10973000 0.156107
10974000 0.150024
10975000 0.155283
10976000 0.151471
10977000 0.151634
10978000 0.150254
10979000 0.152388
10980000 0.159207
10981000 0.153935
10982000 0.154764
10983000 0.156754
10984000 0.158601
10985000 0.151228
10986000 0.147837
10987000 0.152763
10988000 0.150559
10989000 0.149366
10990000 0.150449
10991000 0.154143
10992000 0.150814
10993000 0.153531
10994000 0.157211
10995000 0.15332
10996000 0.15239
10997000 0.156002
10998000 0.153549
10999000 0.15552
11000000 0.157623
11001000 0.158693
11002000 0.15424
11003000 0.15391
11004000 0.153602
11005000 0.15247
11006000 0.155817
11007000 0.152152
11008000 0.156075
11009000 0.151957
11010000 0.151342
11011000 0.155713
11012000 0.151293
11013000 0.156943
11014000 0.151678
11015000 0.150058
11016000 0.15361
11017000 0.151486
11018000 0.150988
11019000 0.154518
11020000 0.147379
11021000 0.152532
11022000 0.152277
11023000 0.153038
11024000 0.155726
11025000 0.153394
11026000 0.153802
11027000 0.150938
11028000 0.149221
11029000 0.155439
11030000 0.150486
11031000 0.147678
11032000 0.156003
11033000 0.152897
11034000 0.152728
11035000 0.15264
11036000 0.154586
11037000 0.151183
11038000 0.150382
11039000 0.15297
11040000 0.153424
11041000 0.148502
11042000 0.152868
11043000 0.146029
11044000 0.151899
11045000 0.152408
11046000 0.155668
11047000 0.156579
11048000 0.148517
11049000 0.15698
11050000 0.15722
11051000 0.156413
11052000 0.155999
11053000 0.153712
11054000 0.152128
11055000 0.154277
11056000 0.154404
11057000 0.159376
11058000 0.150073
11059000 0.156789
11060000 0.153804
11061000 0.154117
11062000 0.1589
11063000 0.14422
11064000 0.156587
11065000 0.15249
11066000 0.147064
11067000 0.149577
11068000 0.157932
11069000 0.157186
11070000 0.156182
11071000 0.155344
11072000 0.155992
11073000 0.162824
11074000 0.158517
11075000 0.157655
11076000 0.157148
11077000 0.157707
11078000 0.158187
11079000 0.156273
11080000 0.156749
11081000 0.153261
11082000 0.157907
11083000 0.159258
11084000 0.158661
11085000 0.155731
11086000 0.152848
11087000 0.158414
11088000 0.156675
11089000 0.155244
11090000 0.154518
11091000 0.154805
11092000 0.156801
11093000 0.150394
11094000 0.157069
11095000 0.161053
11096000 0.157622
11097000 0.157977
11098000 0.163532
11099000 0.154873
11100000 0.160927
11101000 0.161102
11102000 0.157748
11103000 0.15649
11104000 0.157636
11105000 0.15675
11106000 0.153766
11107000 0.162845
11108000 0.162309
11109000 0.161086
11110000 0.163152
11111000 0.159693
11112000 0.158734
11113000 0.160354
11114000 0.161842
11115000 0.156509
11116000 0.159045
11117000 0.15931
11118000 0.165693
11119000 0.163626
11120000 0.159312
11121000 0.159711
11122000 0.165267
11123000 0.161537
11124000 0.162517
11125000 0.169694
11126000 0.158703
11127000 0.168153
11128000 0.167239
11129000 0.163106
11130000 0.158911
11131000 0.158514
11132000 0.161994
11133000 0.16115
11134000 0.159261
11135000 0.165695
11136000 0.161869
11137000 0.158478
11138000 0.160456
11139000 0.154582
11140000 0.163809
11141000 0.161093
11142000 0.152874
11143000 0.163591
11144000 0.157952
11145000 0.162892
11146000 0.158761
11147000 0.153159
11148000 0.162147
11149000 0.162212
11150000 0.157147
11151000 0.164076
11152000 0.157189
11153000 0.156186
11154000 0.171529
11155000 0.158979
11156000 0.164872
11157000 0.169511
11158000 0.161227
11159000 0.15722
11160000 0.156743
11161000 0.169065
11162000 0.159058
11163000 0.157738
11164000 0.168775
11165000 0.161406
11166000 0.161106
11167000 0.170332
11168000 0.160611
11169000 0.167354
11170000 0.161355
11171000 0.166494
11172000 0.164753
11173000 0.158135
11174000 0.169212
11175000 0.157968
11176000 0.162358
11177000 0.166743
11178000 0.163028
11179000 0.160014
11180000 0.16066
11181000 0.168401
11182000 0.156773
11183000 0.162148
11184000 0.159718
11185000 0.158201
11186000 0.165262
11187000 0.161168
11188000 0.167896
11189000 0.163584
11190000 0.161851
11191000 0.16454
11192000 0.16369
11193000 0.163619
11194000 0.165473
11195000 0.163054
11196000 0.161185
11197000 0.158417
11198000 0.172488
11199000 0.159754
11200000 0.161484
11201000 0.164726
11202000 0.167099
11203000 0.163848
11204000 0.155071
11205000 0.166878
11206000 0.166795
11207000 0.160006
11208000 0.16409
11209000 0.161626
11210000 0.16727
11211000 0.158289
11212000 0.163149
11213000 0.168447
11214000 0.15694
11215000 0.156283
11216000 0.160555
11217000 0.160492
11218000 0.160054
11219000 0.163618
11220000 0.158699
11221000 0.162174
11222000 0.163386
11223000 0.167894
11224000 0.164942
11225000 0.166146
11226000 0.163723
11227000 0.17077
11228000 0.161887
11229000 0.169344
11230000 0.167192
11231000 0.170277
11232000 0.167113
11233000 0.163674
11234000 0.161829
11235000 0.17177
11236000 0.164332
11237000 0.166737
11238000 0.163342
11239000 0.169291
11240000 0.167555
11241000 0.162794
11242000 0.17311
11243000 0.164232
11244000 0.161205
11245000 0.173337
11246000 0.165268
11247000 0.16185
11248000 0.160665
11249000 0.171341
11250000 0.167269
11251000 0.162068
11252000 0.169056
11253000 0.166175
11254000 0.16048
11255000 0.16857
11256000 0.166261
11257000 0.164283
11258000 0.167104
11259000 0.167466
11260000 0.168921
11261000 0.16789
11262000 0.163499
11263000 0.166173
11264000 0.16853
11265000 0.16401
11266000 0.162705
11267000 0.163323
11268000 0.165548
11269000 0.161368
11270000 0.170799
11271000 0.16722
11272000 0.165271
11273000 0.166453
11274000 0.17591
11275000 0.1599
11276000 0.167402
11277000 0.163751
11278000 0.165599
11279000 0.165099
11280000 0.16818
11281000 0.163754
11282000 0.157276
11283000 0.165972
11284000 0.166974
11285000 0.164298
11286000 0.160452
11287000 0.159921
11288000 0.16188
11289000 0.159637
11290000 0.16203
11291000 0.163402
11292000 0.156797
11293000 0.160195
11294000 0.16163
11295000 0.158252
11296000 0.157875
11297000 0.156334
11298000 0.159516
11299000 0.16357
11300000 0.158941
11301000 0.164508
11302000 0.163037
11303000 0.165697
11304000 0.166952
11305000 0.16477
11306000 0.16105
11307000 0.162158
11308000 0.162098
11309000 0.166334
11310000 0.16286
11311000 0.159843
11312000 0.165755
11313000 0.164381
11314000 0.165205
11315000 0.163628
11316000 0.163532
11317000 0.163497
11318000 0.158084
11319000 0.163469
11320000 0.161871
11321000 0.166836
11322000 0.165127
11323000 0.1647
11324000 0.167246
11325000 0.164689
11326000 0.16748
11327000 0.171067
11328000 0.16619
11329000 0.164377
11330000 0.166375
11331000 0.168244
11332000 0.167416
11333000 0.164555
11334000 0.170247
11335000 0.161999
11336000 0.16357
11337000 0.165318
11338000 0.165565
11339000 0.166079
11340000 0.157135
11341000 0.166002
11342000 0.171862
11343000 0.166373
11344000 0.16118
11345000 0.172412
11346000 0.165748
11347000 0.160439
11348000 0.16839
11349000 0.165035
11350000 0.16468
11351000 0.168976
11352000 0.172632
11353000 0.167851
11354000 0.165811
11355000 0.169599
11356000 0.161102
11357000 0.164985
11358000 0.173828
11359000 0.164611
11360000 0.163167
11361000 0.173169
11362000 0.171557
11363000 0.1717
11364000 0.169728
11365000 0.177186
11366000 0.172262
11367000 0.175014
11368000 0.164312
11369000 0.175111
11370000 0.170184
11371000 0.170883
11372000 0.167643
11373000 0.174147
11374000 0.172886
11375000 0.171778
11376000 0.175805
11377000 0.171347
11378000 0.173338
11379000 0.169742
11380000 0.1688
11381000 0.177725
11382000 0.172586
11383000 0.172373
11384000 0.171109
11385000 0.170666
11386000 0.166517
11387000 0.168872
11388000 0.172362
11389000 0.174034
11390000 0.168589
11391000 0.169531
11392000 0.170951
11393000 0.173323
11394000 0.172967
11395000 0.17415
11396000 0.170772
11397000 0.178983
11398000 0.17392
11399000 0.168923
11400000 0.167618
11401000 0.181392
11402000 0.170834
11403000 0.177799
11404000 0.166488
11405000 0.176331
11406000 0.175283
11407000 0.17751
11408000 0.174108
11409000 0.170018
11410000 0.17202
11411000 0.184246
11412000 0.177073
11413000 0.180737
11414000 0.177298
11415000 0.177948
11416000 0.172783
11417000 0.176221
11418000 0.179574
11419000 0.180464
11420000 0.175592
11421000 0.179252
11422000 0.178955
11423000 0.175526
11424000 0.178683
11425000 0.180408
11426000 0.171117
11427000 0.177274
11428000 0.177654
11429000 0.177518
11430000 0.174187
11431000 0.182268
11432000 0.186226
11433000 0.178518
11434000 0.175009
11435000 0.177085
11436000 0.177538
11437000 0.180599
11438000 0.178915
11439000 0.178953
11440000 0.182626
11441000 0.178916
11442000 0.182755
11443000 0.175076
11444000 0.181199
11445000 0.183103
11446000 0.184571
11447000 0.182015
11448000 0.179913
11449000 0.181228
11450000 0.173788
11451000 0.177208
11452000 0.178127
11453000 0.171817
11454000 0.182121
11455000 0.177181
11456000 0.177156
11457000 0.175247
