# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0018204119 
2.65 0.0252844592 
2.75 0.0720029485 
2.85 0.3075061963 
2.95 0.6447604876 
3.05 1.0880108428 
3.15 1.5628575899 
3.25 1.9612942482 
3.35 2.3332912448 
3.45 2.6555125385 
3.55 2.5794125036 
3.65 2.4000339279 
3.75 2.0767612383 
3.85 1.6260638296 
3.95 1.3641998312 
4.05 1.0587750388 
4.15 0.8743304325 
4.25 0.7740298188 
4.35 0.6931828533 
4.45 0.671944965 
4.55 0.6318699383 
4.65 0.646048399 
4.75 0.6742260973 
4.85 0.6960316813 
4.95 0.7107112584 
5.05 0.7028046373 
5.15 0.7324638041 
5.25 0.7374698138 
5.35 0.8172829193 
5.45 0.82941633 
5.55 0.8439958492 
5.65 0.9089516221 
5.75 0.9610402265 
5.85 1.0440050962 
5.95 1.0744154923 
6.05 1.1109942086 
6.15 1.1612341519 
6.25 1.1958961613 
6.35 1.2395598293 
6.45 1.1999997706 
6.55 1.2193788458 
6.65 1.1859269605 
6.75 1.1609228682 
6.85 1.1472070013 
6.95 1.107569353 
7.05 1.0439787184 
7.15 1.000160576 
7.25 0.957895592 
7.35 0.9230233244 
7.45 0.9050230829 
7.55 0.9061302963 
7.65 0.9088936195 
7.75 0.950437287 
7.85 0.954041396 
7.95 0.9818897436 
8.05 0.9854152682 
8.15 1.0178814143 
8.25 1.0150975026 
8.35 1.0174178516 
8.45 1.0002775675 
8.55 1.0364503064 
8.65 1.0061377957 
8.75 0.994405155 
8.85 0.9982092567 
8.95 1.0110547926 
9.05 1.013262876 
9.15 1.007497665 
9.25 1.0226362833 
9.35 1.0030455918 
9.45 1.0369452641 
9.55 1.0231313911 
9.65 1.0335648305 
9.75 1.0262958343 
9.85 1.0152028437 
9.95 1.0249138655 
