# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.688705141 
2.45 3.168196609 
2.55 2.3396912733 
2.65 0.0 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.3389321112 
3.45 3.408746513 
3.55 4.1248841718 
3.65 4.5681637971 
3.75 3.8769795369 
3.85 2.3095704446 
3.95 0.0 
4.05 0.0 
4.15 0.0 
4.25 0.0 
4.35 0.3350315362 
4.45 0.9604312562 
4.55 0.9799254386 
4.65 0.234558228 
4.75 0.0 
4.85 0.0539031892 
4.95 1.1901891637 
5.05 0.69605637 
5.15 0.9561261938 
5.25 0.7820427748 
5.35 0.7973805184 
5.45 0.1280646862 
5.55 0.1234914423 
5.65 0.7546727908 
5.75 1.9175058281 
5.85 1.5561100477 
5.95 0.2148920852 
6.05 0.0692823616 
6.15 2.1455245965 
6.25 4.1223773689 
6.35 4.2765721783 
6.45 1.7067630115 
6.55 0.2955440962 
6.65 0.0286722549 
6.75 0.0 
6.85 0.0 
6.95 0.0262504179 
7.05 0.1785771339 
7.15 0.6448630737 
7.25 2.1469425931 
7.35 1.3378480874 
7.45 0.3655226052 
7.55 0.4671241992 
7.65 0.9099835883 
7.75 1.118870344 
7.85 0.7201719163 
7.95 0.6821066088 
8.05 2.0936291478 
8.15 2.8825019187 
8.25 1.4903562611 
8.35 0.5819493139 
8.45 0.6570471887 
8.55 0.6938029386 
8.65 0.4744979094 
8.75 0.4802755618 
8.85 0.4856723916 
8.95 0.6015148198 
9.05 0.356073442 
9.15 0.7875355306 
9.25 0.7113230238 
9.35 0.4351181678 
9.45 1.7890241342 
9.55 2.7110481052 
9.65 3.1317179877 
9.75 2.4675843874 
9.85 0.7187863517 
9.95 0.0128074747 
