# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 5.1376860468e-04 
2.65 0.0123689731 
2.75 0.1276698 
2.85 0.5507441327 
2.95 1.1601453923 
3.05 1.7134617396 
3.15 2.0744224577 
3.25 2.2637768236 
3.35 2.3762571595 
3.45 2.3244369246 
3.55 2.1611371302 
3.65 1.837957246 
3.75 1.5559308663 
3.85 1.2421902407 
3.95 1.0152106043 
4.05 0.8196518781 
4.15 0.6958533886 
4.25 0.6154014018 
4.35 0.5711895089 
4.45 0.5350095336 
4.55 0.557585349 
4.65 0.5989143263 
4.75 0.6457826962 
4.85 0.7935666082 
4.95 0.9472741966 
5.05 1.0973452751 
5.15 1.1316102509 
5.25 1.0492744241 
5.35 0.901157432 
5.45 0.7892016199 
5.55 0.8018032629 
5.65 0.8363662023 
5.75 0.8971645023 
5.85 0.9751239044 
5.95 1.0553072224 
6.05 1.1255926214 
6.15 1.1586311074 
6.25 1.2015691672 
6.35 1.2236827399 
6.45 1.2135003683 
6.55 1.1877891056 
6.65 1.1447800801 
6.75 1.0949797032 
6.85 1.0421665304 
6.95 1.003123433 
7.05 0.980178949 
7.15 0.9253733659 
7.25 0.9073958633 
7.35 0.9027262138 
7.45 0.9180848727 
7.55 0.9163168065 
7.65 0.9299700142 
7.75 0.9599183153 
7.85 0.9857712706 
7.95 0.9896750834 
8.05 0.9989596401 
8.15 1.0092035828 
8.25 1.0083514909 
8.35 0.9973308478 
8.45 0.9954371168 
8.55 0.9860914672 
8.65 0.976284242 
8.75 0.9849502679 
8.85 0.9840191041 
8.95 0.9880555961 
9.05 0.9928574208 
9.15 1.0182458258 
9.25 1.0173966192 
9.35 1.0295360625 
9.45 1.0394399724 
9.55 1.0307910897 
9.65 1.041471084 
9.75 1.0230993864 
9.85 1.0254010108 
9.95 1.009820954 
