# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0010465032 
1.75 0.0311667788 
1.85 0.4603809145 
1.95 1.5312694609 
2.05 2.1974882826 
2.15 1.9901552345 
2.25 1.356787974 
2.35 0.8333216053 
2.45 0.497994331 
2.55 0.3354675749 
2.65 0.2375882657 
2.75 0.2351325303 
2.85 0.4220585686 
2.95 0.7092742677 
3.05 0.9842683328 
3.15 1.2088230001 
3.25 1.3558750266 
3.35 1.4533867425 
3.45 1.4994103773 
3.55 1.4477898691 
3.65 1.3253783874 
3.75 1.2029483767 
3.85 1.0668668454 
3.95 0.9758172999 
4.05 0.9067687725 
4.15 0.8604536985 
4.25 0.8643808536 
4.35 0.8425680903 
4.45 0.8497402656 
4.55 0.8615318765 
4.65 0.8988169615 
4.75 0.9668407283 
4.85 1.0407242398 
4.95 1.1344855067 
5.05 1.1964986812 
5.15 1.1937345914 
5.25 1.1202074661 
5.35 1.0222678973 
5.45 0.928825156 
5.55 0.89301955 
5.65 0.8816865534 
5.75 0.8828780222 
5.85 0.8995040675 
5.95 0.9244245903 
6.05 0.9583927146 
6.15 0.985687194 
6.25 1.03260903 
6.35 1.0692184859 
6.45 1.0802328835 
6.55 1.0887860187 
6.65 1.0692408582 
6.75 1.0532446973 
6.85 1.0304923555 
6.95 1.0058603842 
7.05 0.9874192973 
7.15 0.9541672009 
7.25 0.9526973323 
7.35 0.9506107639 
7.45 0.9639276005 
7.55 0.9744601801 
7.65 0.9822170003 
7.75 1.0064994843 
7.85 1.0196141057 
7.95 1.0262532871 
8.05 1.0375933771 
8.15 1.033955155 
8.25 1.028072812 
8.35 1.0118937875 
8.45 1.0060268785 
8.55 0.9939962729 
8.65 0.9810690948 
8.75 0.9853322115 
8.85 0.9749803524 
8.95 0.9772595279 
9.05 0.9803661372 
9.15 0.9903718611 
9.25 0.9966037576 
9.35 1.0006650218 
9.45 1.0162996388 
9.55 1.0149547444 
9.65 1.0222304803 
9.75 1.0148302831 
9.85 1.0148472032 
9.95 1.004208873 
