# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0010869815 
2.65 0.0150975386 
2.75 0.0429934961 
2.85 0.183614237 
2.95 0.3849912829 
3.05 0.6496593669 
3.15 0.9331938915 
3.25 1.1711033837 
3.35 1.3957449525 
3.45 1.6010668441 
3.55 1.6159056789 
3.65 1.682978069 
3.75 1.7532602121 
3.85 1.7511162144 
3.95 1.7328949044 
4.05 1.5927881788 
4.15 1.50956803 
4.25 1.5352481525 
4.35 1.533837944 
4.45 1.3668008502 
4.55 1.2271452477 
4.65 1.0912439796 
4.75 0.8662635639 
4.85 0.7028935056 
4.95 0.6444899839 
5.05 0.6519263601 
5.15 0.6982828239 
5.25 0.7093794613 
5.35 0.7110164167 
5.45 0.6775485962 
5.55 0.6643684866 
5.65 0.7205555829 
5.75 0.771397212 
5.85 0.8386135936 
5.95 0.8787500971 
6.05 0.9181142163 
6.15 0.9862464787 
6.25 1.0314869261 
6.35 1.0969021826 
6.45 1.0942483753 
6.55 1.135236531 
6.65 1.150424706 
6.75 1.1781844204 
6.85 1.1780834874 
6.95 1.175012611 
7.05 1.1503070955 
7.15 1.126376068 
7.25 1.0914838434 
7.35 1.0640797151 
7.45 1.0315030215 
7.55 1.0163887961 
7.65 0.9920440119 
7.75 0.9986207542 
7.85 0.9591161602 
7.95 0.9623179568 
8.05 0.9417216762 
8.15 0.9459984214 
8.25 0.9354597803 
8.35 0.93975125 
8.45 0.9275405905 
8.55 0.9569311193 
8.65 0.9555294329 
8.75 0.9540338144 
8.85 0.9585889497 
8.95 0.9776174472 
9.05 0.9941945376 
9.15 1.000023163 
9.25 1.008838639 
9.35 0.9999888805 
9.45 1.0339515328 
9.55 1.0180697592 
9.65 1.0326053161 
9.75 1.0391947635 
9.85 1.0246860839 
9.95 1.0337533426 
