# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 0.0 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.0 
3.45 0.0 
3.55 0.0 
3.65 0.0 
3.75 0.0 
3.85 0.0 
3.95 0.0 
4.05 0.0 
4.15 0.1112434255 
4.25 0.8561385874 
4.35 1.7501740936 
4.45 2.0041177053 
4.55 3.4373724645 
4.65 3.9809940345 
4.75 2.9720515997 
4.85 1.3264763426 
4.95 1.1505502123 
5.05 1.9479293548 
5.15 2.6366732999 
5.25 2.7010379557 
5.35 1.7977577155 
5.45 0.8201217655 
5.55 0.3865316509 
5.65 0.1586196605 
5.75 0.082784091 
5.85 0.0959737488 
5.95 0.1352967657 
6.05 0.1233834267 
6.15 0.1519683034 
6.25 0.2207164867 
6.35 0.3665479999 
6.45 0.4013240874 
6.55 0.4625306226 
6.65 0.5787002323 
6.75 0.7449029884 
6.85 0.8662258064 
6.95 1.0114738026 
7.05 1.1812322655 
7.15 1.3384876428 
7.25 1.5101101258 
7.35 1.606095647 
7.45 1.6471036172 
7.55 1.6877907303 
7.65 1.5971848197 
7.75 1.6542102773 
7.85 1.4746413831 
7.95 1.4615958926 
8.05 1.3917191194 
8.15 1.3351125072 
8.25 1.1742569986 
8.35 1.1207828869 
8.45 0.9372466509 
8.55 0.838695588 
8.65 0.8431937876 
8.75 0.7400192765 
8.85 0.751347452 
8.95 0.6423929717 
9.05 0.7034675085 
9.15 0.6881753454 
9.25 0.7741429997 
9.35 0.7968084763 
9.45 0.9056978479 
9.55 0.9543549465 
9.65 1.0331427597 
9.75 0.9947834089 
9.85 0.9394238084 
9.95 0.9634883896 
