# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0037467105 
2.55 0.4523145239 
2.65 2.432177817 
2.75 2.6745458287 
2.85 1.4865952344 
2.95 1.1911136886 
3.05 1.368691883 
3.15 1.5833829552 
3.25 1.7122125393 
3.35 1.7863266649 
3.45 1.749156322 
3.55 1.6246417791 
3.65 1.3813412193 
3.75 1.1734189883 
3.85 0.9438154981 
3.95 0.7773077361 
4.05 0.6399075956 
4.15 0.5587999993 
4.25 0.5169030043 
4.35 0.5140143898 
4.45 0.5181801024 
4.55 0.5866729708 
4.65 0.6620342396 
4.75 0.7276056916 
4.85 0.8540892409 
4.95 1.0032136604 
5.05 1.1593767644 
5.15 1.2335160497 
5.25 1.1880619553 
5.35 1.0736903503 
5.45 0.9874497336 
5.55 0.996567733 
5.65 1.0350376735 
5.75 1.0611813863 
5.85 1.0983847362 
5.95 1.1178960563 
6.05 1.1339575174 
6.15 1.1223579954 
6.25 1.1187196325 
6.35 1.1138842651 
6.45 1.0861614951 
6.55 1.0436385273 
6.65 1.0010153411 
6.75 0.969162423 
6.85 0.9418716727 
6.95 0.9360726633 
7.05 0.9416354065 
7.15 0.9199780478 
7.25 0.9195464168 
7.35 0.9193526669 
7.45 0.9371642285 
7.55 0.9419220779 
7.65 0.9547814715 
7.75 0.9810646286 
7.85 1.0014082544 
7.95 1.0049237891 
8.05 1.0214161417 
8.15 1.0294268987 
8.25 1.0413780287 
8.35 1.0327861913 
8.45 1.0313071864 
8.55 1.0278708695 
8.65 1.0150981208 
8.75 1.0216351773 
8.85 1.0094312877 
8.95 1.0033490229 
9.05 0.9983250806 
9.15 1.0104738456 
9.25 0.99762352 
9.35 1.0049569823 
9.45 1.0130176008 
9.55 1.0050944167 
9.65 1.006915037 
9.75 0.9993273355 
9.85 0.9978919296 
9.95 0.9930051567 
