# Radial distribution function (100 data points):
# "Pair separation distance" Li-Li Li-Sc Li-Cl Sc-Sc Sc-Cl Cl-Cl
0.05 0.0 0.0 0.0 0.0 0.0 0.0 
0.15 0.0 0.0 0.0 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 0.0 0.0 0.0 
0.35 0.0 0.0 0.0 0.0 0.0 0.0 
0.45 0.0 0.0 0.0 0.0 0.0 0.0 
0.55 0.0 0.0 0.0 0.0 0.0 0.0 
0.65 0.0 0.0 0.0 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 0.0 0.0 0.0 
0.85 0.0 0.0 0.0 0.0 0.0 0.0 
0.95 0.0 0.0 0.0 0.0 0.0 0.0 
1.05 0.0 0.0 0.0 0.0 0.0 0.0 
1.15 0.0 0.0 0.0 0.0 0.0 0.0 
1.25 0.0 0.0 0.0 0.0 0.0 0.0 
1.35 0.0 0.0 0.0 0.0 0.0 0.0 
1.45 0.0 0.0 0.0 0.0 0.0 0.0 
1.55 0.0 0.0 0.0 0.0 0.0 0.0 
1.65 0.0 0.0 0.0 0.0 0.0 0.0 
1.75 0.0 0.0 0.0 0.0 0.0 0.0 
1.85 0.0 0.0 0.0 0.0 0.0 0.0 
1.95 0.0 0.0 0.0 0.0 0.0 0.0 
2.05 0.0 0.0 0.0 0.0 0.0 0.0 
2.15 0.0 0.0 0.0 0.0 0.0 0.0 
2.25 0.0 0.0 0.0 0.0 0.0 0.0 
2.35 0.0 0.0 0.0 0.0 0.0 0.0 
2.45 0.0 0.0 0.0 0.0 0.0160288958 0.0 
2.55 0.0 0.0 0.0 0.0 1.9334140131 5.1376860468e-04 
2.65 0.0 0.0 0.0 0.0 10.3655800095 0.0123689731 
2.75 0.0 0.0 0.0 0.0 11.0334980133 0.1276698 
2.85 0.0 0.0 0.0 0.0 4.5974590125 0.5507441327 
2.95 0.0 0.0 0.0 0.0 1.3832679939 1.1601453923 
3.05 0.0 0.0 0.0 0.0 0.372357395 1.7134617396 
3.15 0.0 0.0 0.0 0.0 0.1357583404 2.0744224577 
3.25 0.0 0.0 0.0 0.0 0.080973434 2.2637768236 
3.35 0.0 0.0 0.0 0.0 0.0381058527 2.3762571595 
3.45 0.0 0.0 0.0 0.0 0.0449112315 2.3244369246 
3.55 0.0 0.0 0.0 0.0 0.0347817948 2.1611371302 
3.65 0.0 0.0 0.0 0.0 0.0280872167 1.837957246 
3.75 0.0 0.0 0.0 0.0 0.0410543371 1.5559308663 
3.85 0.0 0.0 0.0 0.0 0.0627519076 1.2421902407 
3.95 0.0 0.0 0.0 0.0 0.0767457247 1.0152106043 
4.05 0.0 0.0 0.0 0.0 0.1147186724 0.8196518781 
4.15 0.0 0.0 0.0 0.1112434255 0.155194511 0.6958533886 
4.25 0.0 0.0 0.0 0.8561385874 0.1752053525 0.6154014018 
4.35 0.0 0.0 0.0 1.7501740936 0.2344790318 0.5711895089 
4.45 0.0 0.0 0.0 2.0041177053 0.3482370474 0.5350095336 
4.55 0.0 0.0 0.0 3.4373724645 0.4570424626 0.557585349 
4.65 0.0 0.0 0.0 3.9809940345 0.604724228 0.5989143263 
4.75 0.0 0.0 0.0 2.9720515997 0.8140919401 0.6457826962 
4.85 0.0 0.0 0.0 1.3264763426 1.0108564234 0.7935666082 
4.95 0.0 0.0 0.0 1.1505502123 1.1707092763 0.9472741966 
5.05 0.0 0.0 0.0 1.9479293548 1.2962718589 1.0973452751 
5.15 0.0 0.0 0.0 2.6366732999 1.4499929458 1.1316102509 
5.25 0.0 0.0 0.0 2.7010379557 1.513980805 1.0492744241 
5.35 0.0 0.0 0.0 1.7977577155 1.5692279261 0.901157432 
5.45 0.0 0.0 0.0 0.8201217655 1.634916195 0.7892016199 
5.55 0.0 0.0 0.0 0.3865316509 1.6674731061 0.8018032629 
5.65 0.0 0.0 0.0 0.1586196605 1.7392565389 0.8363662023 
5.75 0.0 0.0 0.0 0.082784091 1.6624727034 0.8971645023 
5.85 0.0 0.0 0.0 0.0959737488 1.5711327562 0.9751239044 
5.95 0.0 0.0 0.0 0.1352967657 1.3949458945 1.0553072224 
6.05 0.0 0.0 0.0 0.1233834267 1.2396762852 1.1255926214 
6.15 0.0 0.0 0.0 0.1519683034 1.0820957314 1.1586311074 
6.25 0.0 0.0 0.0 0.2207164867 0.9237576172 1.2015691672 
6.35 0.0 0.0 0.0 0.3665479999 0.8209147915 1.2236827399 
6.45 0.0 0.0 0.0 0.4013240874 0.7321800237 1.2135003683 
6.55 0.0 0.0 0.0 0.4625306226 0.6277557319 1.1877891056 
6.65 0.0 0.0 0.0 0.5787002323 0.5739615439 1.1447800801 
6.75 0.0 0.0 0.0 0.7449029884 0.5840673949 1.0949797032 
6.85 0.0 0.0 0.0 0.8662258064 0.6268379612 1.0421665304 
6.95 0.0 0.0 0.0 1.0114738026 0.7156194862 1.003123433 
7.05 0.0 0.0 0.0 1.1812322655 0.7995775661 0.980178949 
7.15 0.0 0.0 0.0 1.3384876428 0.8700169678 0.9253733659 
7.25 0.0 0.0 0.0 1.5101101258 0.9122903979 0.9073958633 
7.35 0.0 0.0 0.0 1.606095647 0.9189055216 0.9027262138 
7.45 0.0 0.0 0.0 1.6471036172 0.9427541522 0.9180848727 
7.55 0.0 0.0 0.0 1.6877907303 0.9655879578 0.9163168065 
7.65 0.0 0.0 0.0 1.5971848197 0.9839903732 0.9299700142 
7.75 0.0 0.0 0.0 1.6542102773 0.9961433273 0.9599183153 
7.85 0.0 0.0 0.0 1.4746413831 1.0144752644 0.9857712706 
7.95 0.0 0.0 0.0 1.4615958926 1.0180421391 0.9896750834 
8.05 0.0 0.0 0.0 1.3917191194 1.0643470267 0.9989596401 
8.15 0.0 0.0 0.0 1.3351125072 1.0702598211 1.0092035828 
8.25 0.0 0.0 0.0 1.1742569986 1.13668178 1.0083514909 
8.35 0.0 0.0 0.0 1.1207828869 1.1393685488 0.9973308478 
8.45 0.0 0.0 0.0 0.9372466509 1.1534398887 0.9954371168 
8.55 0.0 0.0 0.0 0.838695588 1.1763442756 0.9860914672 
8.65 0.0 0.0 0.0 0.8431937876 1.152732559 0.976284242 
8.75 0.0 0.0 0.0 0.7400192765 1.1610281297 0.9849502679 
8.85 0.0 0.0 0.0 0.751347452 1.110913075 0.9840191041 
8.95 0.0 0.0 0.0 0.6423929717 1.0804876799 0.9880555961 
9.05 0.0 0.0 0.0 0.7034675085 1.0388573398 0.9928574208 
9.15 0.0 0.0 0.0 0.6881753454 1.0107830795 1.0182458258 
9.25 0.0 0.0 0.0 0.7741429997 0.951809018 1.0173966192 
9.35 0.0 0.0 0.0 0.7968084763 0.9425655278 1.0295360625 
9.45 0.0 0.0 0.0 0.9056978479 0.9368503675 1.0394399724 
9.55 0.0 0.0 0.0 0.9543549465 0.926829084 1.0307910897 
9.65 0.0 0.0 0.0 1.0331427597 0.894286646 1.041471084 
9.75 0.0 0.0 0.0 0.9947834089 0.9236117667 1.0230993864 
9.85 0.0 0.0 0.0 0.9394238084 0.9144306918 1.0254010108 
9.95 0.0 0.0 0.0 0.9634883896 0.9415006031 1.009820954 
