# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 1.9593547871 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 9.3012955191 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.0 
3.45 0.0 
3.55 0.0 
3.65 13.0128008349 
3.75 0.0 
3.85 0.0 
3.95 0.0 
4.05 0.0 
4.15 0.0 
4.25 0.0 
4.35 1.8265731487 
4.45 0.0 
4.55 4.2111131037 
4.65 0.0 
4.75 0.0 
4.85 0.0 
4.95 0.0 
5.05 0.0 
5.15 0.0 
5.25 2.9984986144 
5.35 0.0 
5.45 0.0 
5.55 0.0 
5.65 0.9309905208 
5.75 0.0 
5.85 7.6325438159 
5.95 0.0 
6.05 0.0 
6.15 0.0 
6.25 0.0 
6.35 8.6025464741 
6.45 0.0 
6.55 0.0 
6.65 0.0 
6.75 1.0080578759 
6.85 0.0 
6.95 0.0 
7.05 0.0 
7.15 0.0 
7.25 0.0 
7.35 3.3610915302 
7.45 0.0 
7.55 0.0 
7.65 1.0171439821 
7.75 0.0 
7.85 5.2995126905 
7.95 0.0 
8.05 0.0 
8.15 0.0 
8.25 5.0919594965 
8.35 0.0 
8.45 0.0 
8.55 0.4693916926 
8.65 3.4954413308 
8.75 0.0 
8.85 0.0 
8.95 0.0 
9.05 1.3455728666 
9.15 0.0 
9.25 0.691749913 
9.35 2.9889381657 
9.45 0.0 
9.55 0.0 
9.65 0.0 
9.75 7.2927738641 
9.85 0.0 
9.95 1.0418624259 
