# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0 
2.15 0.0 
2.25 0.0 
2.35 0.0 
2.45 0.0 
2.55 0.0 
2.65 5.5918835489 
2.75 0.0 
2.85 0.0 
2.95 0.0 
3.05 0.0 
3.15 0.0 
3.25 0.0 
3.35 0.0 
3.45 0.0 
3.55 0.0 
3.65 19.3268582556 
3.75 0.0 
3.85 0.0 
3.95 0.0 
4.05 0.0 
4.15 0.0 
4.25 0.0 
4.35 0.0 
4.45 0.0 
4.55 2.5292971905 
4.65 0.0 
4.75 0.0 
4.85 0.0 
4.95 0.0 
5.05 0.0 
5.15 0.0 
5.25 4.559525413 
5.35 0.0 
5.45 0.0 
5.55 0.0 
5.65 0.0 
5.75 0.0 
5.85 4.5902790056 
5.95 0.0 
6.05 0.0 
6.15 0.0 
6.25 0.0 
6.35 12.7775681426 
6.45 0.0 
6.55 0.0 
6.65 0.0 
6.75 0.0 
6.85 0.0 
6.95 0.0 
7.05 0.0 
7.15 0.0 
7.25 0.0 
7.35 4.8809143932 
7.45 0.0 
7.55 0.0 
7.65 0.0 
7.75 0.0 
7.85 3.1865902087 
7.95 0.0 
8.05 0.0 
8.15 0.0 
8.25 7.5656021105 
8.35 0.0 
8.45 0.0 
8.55 0.0 
8.65 2.0995408986 
8.75 0.0 
8.85 0.0 
8.95 0.0 
9.05 2.0459194791 
9.15 0.0 
9.25 0.0 
9.35 1.7969418748 
9.45 0.0 
9.55 0.0 
9.65 0.0 
9.75 10.835665901 
9.85 0.0 
9.95 0.0 
