# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.0187156448 
2.15 0.2212008405 
2.25 0.8389882287 
2.35 2.0794583634 
2.45 2.6732300612 
2.55 2.4314126375 
2.65 1.4337232092 
2.75 1.0193221496 
2.85 0.5520001657 
2.95 0.479058863 
3.05 0.321324353 
3.15 0.4043069651 
3.25 0.5287568311 
3.35 0.9813067833 
3.45 1.5134410652 
3.55 1.8413452263 
3.65 1.8658331978 
3.75 1.6781532215 
3.85 1.570885255 
3.95 1.0738925857 
4.05 0.9927430654 
4.15 0.9317761448 
4.25 0.7577919351 
4.35 0.8189685297 
4.45 0.7229890458 
4.55 0.8321516281 
4.65 0.7967463793 
4.75 0.7496073349 
4.85 0.6822286156 
4.95 0.5939435731 
5.05 0.5182161714 
5.15 0.4330353787 
5.25 0.5422761333 
5.35 0.5909039303 
5.45 0.7786472756 
5.55 0.9704753482 
5.65 1.2518552255 
5.75 1.4466236826 
5.85 1.5240171282 
5.95 1.5376608861 
6.05 1.577517007 
6.15 1.5703113814 
6.25 1.5567139646 
6.35 1.5353837269 
6.45 1.3482177119 
6.55 1.0414919728 
6.65 0.8929987884 
6.75 0.7061654187 
6.85 0.4660736679 
6.95 0.4055280247 
7.05 0.3941054662 
7.15 0.4877965521 
7.25 0.6465460686 
7.35 0.6713023614 
7.45 0.881596679 
7.55 1.0033045586 
7.65 1.1425849472 
7.75 1.2259282278 
7.85 1.1514894889 
7.95 1.3654168909 
8.05 1.3559836547 
8.15 1.384498444 
8.25 1.2078185712 
8.35 1.238861696 
8.45 1.1160652492 
8.55 1.0782740867 
8.65 0.9388863691 
8.75 0.9196039524 
8.85 0.8557502989 
8.95 0.8180748466 
9.05 0.7664784361 
9.15 0.7949182707 
9.25 0.8329887371 
9.35 0.9826387893 
9.45 1.0826369371 
9.55 1.1911915229 
9.65 1.2629358939 
9.75 1.2371625957 
9.85 1.217035168 
9.95 0.9686179556 
