# Radial distribution function (100 data points):
# "Pair separation distance" g(r)
0.05 0.0 
0.15 0.0 
0.25 0.0 
0.35 0.0 
0.45 0.0 
0.55 0.0 
0.65 0.0 
0.75 0.0 
0.85 0.0 
0.95 0.0 
1.05 0.0 
1.15 0.0 
1.25 0.0 
1.35 0.0 
1.45 0.0 
1.55 0.0 
1.65 0.0 
1.75 0.0 
1.85 0.0 
1.95 0.0 
2.05 0.035405884 
2.15 0.1931369274 
2.25 0.8964634638 
2.35 2.2902713799 
2.45 2.8260618814 
2.55 2.3913852696 
2.65 1.3455496215 
2.75 0.8264285713 
2.85 0.6045732667 
2.95 0.3077911739 
3.05 0.1599671076 
3.15 0.2999450435 
3.25 0.5987661212 
3.35 1.1138499723 
3.45 1.7628679868 
3.55 2.0664357185 
3.65 2.1111455911 
3.75 1.7249186098 
3.85 1.3955268589 
3.95 0.9585570139 
4.05 0.6169444709 
4.15 0.7387851919 
4.25 0.8238940713 
4.35 0.8965540688 
4.45 0.9807119969 
4.55 0.8913549582 
4.65 0.7364281965 
4.75 0.5540453327 
4.85 0.5124546404 
4.95 0.4342603197 
5.05 0.528105762 
5.15 0.4993800371 
5.25 0.6182199611 
5.35 0.7539057715 
5.45 0.9870299052 
5.55 1.2054303128 
5.65 1.5314274072 
5.75 1.4966294544 
5.85 1.6046241821 
5.95 1.5070035656 
6.05 1.5124867441 
6.15 1.5404274188 
6.25 1.5620100765 
6.35 1.4412319668 
6.45 1.0874636003 
6.55 0.8411820203 
6.65 0.5720931147 
6.75 0.411551634 
6.85 0.3361911551 
6.95 0.3466128783 
7.05 0.4805723671 
7.15 0.5909437572 
7.25 0.8055057525 
7.35 0.9448916619 
7.45 1.0189052606 
7.55 1.1644045142 
7.65 1.2829253603 
7.75 1.2822425888 
7.85 1.392269788 
7.95 1.357464879 
8.05 1.303280191 
8.15 1.298380691 
8.25 1.1621423519 
8.35 1.1312719058 
8.45 0.9754311951 
8.55 0.8825131709 
8.65 0.8671988862 
8.75 0.7473857018 
8.85 0.7229908033 
8.95 0.7078539518 
9.05 0.800412034 
9.15 0.9109963414 
9.25 1.0479453381 
9.35 1.1848166594 
9.45 1.292359699 
9.55 1.3861873965 
9.65 1.312060672 
9.75 1.1169923866 
9.85 0.8980902514 
9.95 0.7185340503 
