structure,spg_symbol_framework,spg_number_framework,lattice_type_framework,crystal_system_framework,spg_symbol_structure,spg_number_structure,lattice_type_structure,crystal_system_structure
il0014836077_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004252324_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015666961_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014931962_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011784525_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014813005_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011188345_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011306304_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012155592_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009682514_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006803348_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013313997_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012601675_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015289755_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012118589_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011242891_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011240761_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004126140_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015317013_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0003572776_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013309631_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015850390_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014796183_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012928860_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013320444_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013322725_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012994567_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014198518_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0010520748_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012614566_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008113176_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776594_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187328_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013313961_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012697735_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0010503963_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014704743_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014671815_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004234893_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011782215_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011153424_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014812998_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015876522_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014928215_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012920784_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014881538_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014705459_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014881539_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013307319_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015600440_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014952815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008131583_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012645355_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014751862_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012660697_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013274683_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776704_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008524882_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012100646_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014731667_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011240645_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015830652_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014836342_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014883750_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014918854_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012613558_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012147084_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013008229_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009706587_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009773449_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014807993_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013918604_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776515_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012951167_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004093255_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014775214_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015872129_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012680198_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012973257_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012242475_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013292070_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015248375_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001877993_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008528614_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014904098_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008070504_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015450048_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015877280_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
