Li17Sc5Cl32_ih0000539482_w192.cif	-328.423 eV
Li17Sc5Cl32_ih0000227034_w192.cif	-328.374 eV
Li17Sc5Cl32_ih0001384449_w192.cif	-328.351 eV
Li17Sc5Cl32_ih0001385055_w192.cif	-328.351 eV
Li17Sc5Cl32_ih0000603843_w192.cif	-328.292 eV
Li17Sc5Cl32_ih0000538773_w192.cif	-328.289 eV
Li17Sc5Cl32_ih0000539413_w192.cif	-328.283 eV
Li17Sc5Cl32_ih0000538513_w192.cif	-328.281 eV
Li17Sc5Cl32_ih0000539454_w192.cif	-328.281 eV
Li17Sc5Cl32_ih0000602227_w192.cif	-328.237 eV
Li17Sc5Cl32_ih0001385000_w192.cif	-328.209 eV
Li17Sc5Cl32_ih0001384284_w192.cif	-328.209 eV
Li17Sc5Cl32_ih0000226748_w192.cif	-328.092 eV
Li17Sc5Cl32_ih0001424902_w192.cif	-328.011 eV
Li17Sc5Cl32_ih0001426275_w192.cif	-328.011 eV
Li17Sc5Cl32_ih0001368246_w192.cif	-327.944 eV
Li17Sc5Cl32_ih0001426564_w192.cif	-327.869 eV
Li17Sc5Cl32_ih0001426214_w192.cif	-327.869 eV
Li17Sc5Cl32_ih0001368697_w96.cif	-327.722 eV
Li17Sc5Cl32_ih0001384408_w192.cif	-327.572 eV
Li17Sc5Cl32_ih0003130475_w192.cif	-327.567 eV
Li17Sc5Cl32_ih0001383995_w192.cif	-327.430 eV
Li17Sc5Cl32_ih0003130509_w192.cif	-327.426 eV
Li17Sc5Cl32_ih0000599475_w192.cif	-327.309 eV
Li17Sc5Cl32_ih0001384911_w192.cif	-327.289 eV
Li17Sc5Cl32_ih0003130511_w192.cif	-327.284 eV
Li17Sc5Cl32_ih0001363761_w192.cif	-327.178 eV
Li17Sc5Cl32_ih0000600511_w192.cif	-327.026 eV
Li17Sc5Cl32_ih0001426462_w192.cif	-327.008 eV
Li17Sc5Cl32_ih0001368714_w192.cif	-326.511 eV
Li17Sc5Cl32_ih0000541209_w192.cif	-326.433 eV
Li17Sc5Cl32_ih0000541580_w192.cif	-326.433 eV
Li17Sc5Cl32_ih0001385058_w192.cif	-326.361 eV
Li17Sc5Cl32_ih0001384452_w192.cif	-326.361 eV
Li17Sc5Cl32_ih0000541149_w192.cif	-326.291 eV
Li17Sc5Cl32_ih0000541554_w192.cif	-326.291 eV
Li17Sc5Cl32_ih0001368691_w192.cif	-326.224 eV
Li17Sc5Cl32_ih0001384107_w192.cif	-326.219 eV
Li17Sc5Cl32_ih0001384898_w192.cif	-326.219 eV
Li17Sc5Cl32_ih0000539433_w192.cif	-326.149 eV
Li17Sc5Cl32_ih0001368726_w192.cif	-326.082 eV
Li17Sc5Cl32_ih0001384955_w192.cif	-326.078 eV
Li17Sc5Cl32_ih0000600016_w192.cif	-325.822 eV
Li17Sc5Cl32_ih0001368705_w192.cif	-325.013 eV
Li17Sc5Cl32_ih0001368729_w192.cif	-325.013 eV
Li17Sc5Cl32_ih0001368728_w192.cif	-324.871 eV
Li17Sc5Cl32_ih0000541198_w192.cif	-324.301 eV
Li17Sc5Cl32_ih0001384392_w192.cif	-324.229 eV
Li17Sc5Cl32_ih0001368732_w192.cif	-322.102 eV
Li17Sc5Cl32_ih0001368734_w192.cif	-320.891 eV
