Li17Sc5Cl32_ir0000117067_w192.cif	-371.769 eV
Li17Sc5Cl32_ir0000278650_w192.cif	-374.756 eV
Li17Sc5Cl32_ir0001179650_w192.cif	-354.414 eV
Li17Sc5Cl32_ir0001716670_w192.cif	-371.643 eV
Li17Sc5Cl32_ir0002268115_w192.cif	-385.050 eV
Li17Sc5Cl32_ir0002341673_w192.cif	-359.270 eV
Li17Sc5Cl32_ir0002603354_w192.cif	-382.337 eV
Li17Sc5Cl32_ir0002739321_w192.cif	-367.869 eV
Li17Sc5Cl32_ir0002786768_w192.cif	-374.370 eV
Li17Sc5Cl32_ir0002789094_w192.cif	-375.110 eV
Li17Sc5Cl32_ir0003322134_w192.cif	-382.566 eV
Li17Sc5Cl32_ir0003890823_w192.cif	-380.878 eV
Li17Sc5Cl32_ir0003965781_w192.cif	-378.808 eV
Li17Sc5Cl32_ir0004172300_w192.cif	-386.714 eV
Li17Sc5Cl32_ir0004593822_w192.cif	-383.992 eV
Li17Sc5Cl32_ir0004898437_w192.cif	-366.954 eV
Li17Sc5Cl32_ir0005284015_w192.cif	-375.884 eV
Li17Sc5Cl32_ir0005370017_w192.cif	-370.124 eV
Li17Sc5Cl32_ir0005969693_w192.cif	-365.493 eV
Li17Sc5Cl32_ir0006152662_w192.cif	-374.111 eV
Li17Sc5Cl32_ir0006186599_w192.cif	-373.113 eV
Li17Sc5Cl32_ir0006667347_w192.cif	-371.248 eV
Li17Sc5Cl32_ir0006729861_w192.cif	-373.515 eV
Li17Sc5Cl32_ir0006970193_w192.cif	-374.241 eV
Li17Sc5Cl32_ir0007158421_w192.cif	-385.415 eV
Li17Sc5Cl32_ir0007771714_w192.cif	-357.839 eV
Li17Sc5Cl32_ir0007850062_w192.cif	-385.170 eV
Li17Sc5Cl32_ir0008185760_w192.cif	-373.937 eV
Li17Sc5Cl32_ir0008400267_w192.cif	-378.752 eV
Li17Sc5Cl32_ir0009107497_w192.cif	-371.593 eV
Li17Sc5Cl32_ir0009340017_w192.cif	-380.381 eV
Li17Sc5Cl32_ir0009428456_w192.cif	-355.430 eV
Li17Sc5Cl32_ir0009547259_w192.cif	-373.310 eV
Li17Sc5Cl32_ir0009894519_w192.cif	-384.094 eV
Li17Sc5Cl32_ir0010235595_w192.cif	-374.266 eV
Li17Sc5Cl32_ir0010652386_w192.cif	-381.914 eV
Li17Sc5Cl32_ir0010836036_w192.cif	-385.249 eV
Li17Sc5Cl32_ir0012032294_w192.cif	-382.084 eV
Li17Sc5Cl32_ir0012327218_w192.cif	-379.148 eV
Li17Sc5Cl32_ir0012419314_w192.cif	-371.515 eV
Li17Sc5Cl32_ir0012878324_w192.cif	-386.874 eV
Li17Sc5Cl32_ir0013260232_w192.cif	-375.318 eV
Li17Sc5Cl32_ir0013857537_w192.cif	-386.160 eV
Li17Sc5Cl32_ir0013900485_w192.cif	-362.122 eV
Li17Sc5Cl32_ir0014193520_w192.cif	-390.456 eV
Li17Sc5Cl32_ir0014779018_w192.cif	-371.774 eV
Li17Sc5Cl32_ir0015060617_w192.cif	-390.679 eV
Li17Sc5Cl32_ir0015185041_w192.cif	-371.097 eV
Li17Sc5Cl32_ir0015274467_w192.cif	-388.301 eV
Li17Sc5Cl32_ir0015801324_w192.cif	-384.296 eV
